Borough,Date,Neighborhood,Positive,Test Positive Rate,Total,ZIPCODE,zcta_cum.perc_pos
Bronx,2020-04-01,Hunts Point and Mott Haven,55,0.5670103089999999,97,10474,
Bronx,2020-04-01,Northeast Bronx,255,0.5717488789999999,446,10475,
Queens,2020-04-01,Southeast Queens,163,0.61509434,265,11429,
Queens,2020-04-01,Southeast Queens,121,0.593137255,204,11004,
Queens,2020-04-01,Northwest Queens,148,0.4625,320,11101,
Queens,2020-04-01,Northwest Queens,105,0.454545455,231,11102,
Queens,2020-04-01,Northwest Queens,104,0.512315271,203,11103,
Queens,2020-04-01,Northwest Queens,85,0.548387097,155,11104,
Queens,2020-04-01,Northwest Queens,104,0.429752066,242,11105,
Queens,2020-04-01,Northwest Queens,144,0.49655172399999997,290,11106,
Brooklyn,2020-04-01,Northwest Brooklyn,204,0.425887265,479,11201,
Brooklyn,2020-04-01,Flatbush,343,0.628205128,546,11203,
Brooklyn,2020-04-01,Borough Park,534,0.5729613729999999,932,11204,
Brooklyn,2020-04-01,Northwest Brooklyn,182,0.570532915,319,11205,
Brooklyn,2020-04-01,Bushwick and Williamsburg,329,0.575174825,572,11206,
Brooklyn,2020-04-01,East New York and New Lots,332,0.565587734,587,11207,
Brooklyn,2020-04-01,East New York and New Lots,350,0.6238859179999999,561,11208,
Brooklyn,2020-04-01,Southwest Brooklyn,209,0.462389381,452,11209,
Brooklyn,2020-04-01,Flatbush,386,0.575260805,671,11210,
Brooklyn,2020-04-01,Greenpoint,601,0.625390219,961,11211,
Brooklyn,2020-04-01,Central Brooklyn,254,0.570786517,445,11212,
Brooklyn,2020-04-01,Central Brooklyn,394,0.634460548,621,11213,
Brooklyn,2020-04-01,Southwest Brooklyn,251,0.461397059,544,11214,
Brooklyn,2020-04-01,Northwest Brooklyn,178,0.407322654,437,11215,
Brooklyn,2020-04-01,Central Brooklyn,162,0.5126582279999999,316,11216,
Brooklyn,2020-04-01,Northwest Brooklyn,130,0.483271375,269,11217,
Brooklyn,2020-04-01,Borough Park,350,0.57096248,613,11218,
Brooklyn,2020-04-01,Borough Park,771,0.672774869,1146,11219,
Brooklyn,2020-04-01,Sunset Park,264,0.575163399,459,11220,
Brooklyn,2020-04-01,Bushwick and Williamsburg,260,0.571428571,455,11221,
Brooklyn,2020-04-01,Greenpoint,96,0.406779661,236,11222,
Brooklyn,2020-04-01,Southern Brooklyn,346,0.53894081,642,11223,
Brooklyn,2020-04-01,Southern Brooklyn,133,0.4375,304,11224,
Brooklyn,2020-04-01,Flatbush,267,0.62529274,427,11225,
Brooklyn,2020-04-01,Flatbush,344,0.573333333,600,11226,
Brooklyn,2020-04-01,Southwest Brooklyn,101,0.454954955,222,11228,
Brooklyn,2020-04-01,Southern Brooklyn,316,0.49375,640,11229,
Brooklyn,2020-04-01,Borough Park,631,0.603250478,1046,11230,
Brooklyn,2020-04-01,Northwest Brooklyn,127,0.468634686,271,11231,
Brooklyn,2020-04-01,Sunset Park,85,0.566666667,150,11232,
Brooklyn,2020-04-01,Central Brooklyn,225,0.587467363,383,11233,
Brooklyn,2020-04-01,Canarsie and Flatlands,364,0.510518934,713,11234,
Brooklyn,2020-04-01,Southern Brooklyn,348,0.50877193,684,11235,
Brooklyn,2020-04-01,Canarsie and Flatlands,416,0.593437946,701,11236,
Brooklyn,2020-04-01,Bushwick and Williamsburg,184,0.638888889,288,11237,
Brooklyn,2020-04-01,Central Brooklyn,183,0.522857143,350,11238,
Brooklyn,2020-04-01,Canarsie and Flatlands,85,0.658914729,129,11239,
Queens,2020-04-01,North Queens,162,0.50625,320,11357,
Queens,2020-04-01,North Queens,134,0.492647059,272,11354,
Queens,2020-04-01,North Queens,213,0.585164835,364,11355,
Queens,2020-04-01,North Queens,110,0.486725664,226,11356,
Queens,2020-04-01,North Queens,119,0.47983871,248,11358,
Queens,2020-04-01,North Queens,59,0.385620915,153,11360,
Queens,2020-04-01,Northeast Queens,85,0.45212766,188,11361,
Queens,2020-04-01,Northeast Queens,64,0.447552448,143,11362,
Queens,2020-04-01,Northeast Queens,27,0.415384615,65,11363,
Queens,2020-04-01,Northeast Queens,113,0.513636364,220,11364,
Queens,2020-04-01,Central Queens,166,0.5320512820000001,312,11365,
Queens,2020-04-01,Central Queens,106,0.5792349729999999,183,11366,
Queens,2020-04-01,Central Queens,318,0.622309198,511,11367,
Queens,2020-04-01,West Queens,947,0.771801141,1227,11368,
