id,Country,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-18,2021-09-19,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-02,2021-10-03,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-09,2021-10-10,2021-10-11
42,"US | New Mexico",142864,144142,145379,146394,147315,148499,149984,151819,153456,154954,156157,157087,157974,159119,160543,161805,162893,163637,164263,164954,165835,166823,167731,168579,169205,169696,170296,171047,171719,172798,173539,174064,174550,174982,175652,176211,176793,177214,177556,177867,178280,178790,179323,179724,180289,180571,180761,181060,181332,181739,182050,182475,182789,183023,183335,183781,184080,184736,184888,185132,185297,185542,185898,186156,186460,186742,186922,187040,187238,187487,187720,187984,188167,188311,188488,188664,188907,189158,189374,189560,189731,189893,190064,190275,190491,190716,190887,191048,191230,191377,191652,191945,192152,192152,192152,192595,192773,192989,193247,193368,193368,193368,193987,194164,194378,194605,194868,194868,194868,195478,195615,195783,195990,196221,196221,196221,196844,196997,197218,197447,197733,197733,197733,198372,198576,198781,199054,199333,199333,199333,199901,200037,200232,200432,200650,200650,200650,201186,201336,201489,201695,201868,201868,201868,202186,202405,202570,202698,202821,202821,202821,202821,203151,203222,203330,203472,203472,203472,203686,203747,203823,203919,204044,204044,204044,204271,204392,204472,204577,204698,204698,204698,204961,205058,205134,205215,205290,205290,205290,205438,205484,205542,205629,205715,205715,205715,205715,205915,205996,206128,206252,206252,206252,206551,206666,206846,207002,207189,207189,207189,207566,207701,207972,208243,208487,208487,208487,209118,209356,209684,210085,210416,210416,210416,211492,211970,212577,213247,213793,213793,213793,215098,215781,216494,217773,218569,218569,218569,220340,221086,221960,222927,223796,223796,223796,225994,226868,227636,228558,229509,229509,229509,231785,232614,233487,234475,235390,235390,235390,235390,237889,238430,239006,239886,239886,239886,241663,242399,243085,243962,244720,244720,244720,246229,246639,247353,248075,248788,248788,248788,250774,251384,252017,253024,253815,253815,253815,255577,256116,256947,257970,258943,258943,258943
43,"US | North Dakota",92495,92770,92891,93041,93240,93494,93832,94156,94438,94558,94716,94830,94968,95135,95378,95599,95714,95864,95934,96071,96222,96369,96565,96720,96817,96874,97006,97160,97304,97457,97561,97629,97680,97797,97936,98034,98095,98106,98155,98184,98175,98214,98353,98466,98551,98597,98643,98781,98901,99034,99153,99228,99277,99312,99416,99531,99621,99711,99780,99809,99852,99957,100067,100184,100278,100357,100391,100419,100514,100615,100726,100847,100942,100976,101001,101150,101284,101403,101514,101602,101651,101701,101865,102001,102198,102382,102536,102583,102639,102880,103091,103299,103460,103577,103638,103714,103974,104167,104364,104488,104701,104745,104808,105039,105215,105380,105557,105696,105754,105805,106042,106218,106385,106537,106656,106688,106809,106998,107154,107298,107473,107639,107708,107763,107912,108081,108218,108341,108439,108482,108526,108652,108763,108877,108973,109057,109104,109135,109235,109362,109440,109509,109577,109603,109633,109713,109780,109820,109869,109915,109935,109944,109962,110045,110098,110151,110178,110199,110215,110254,110298,110351,110386,110426,110432,110440,110473,110492,110520,110544,110559,110567,110571,110598,110614,110627,110644,110657,110663,110666,110680,110707,110718,110729,110734,110736,110745,110751,110779,110808,110821,110848,110857,110858,110899,110926,110958,110975,111000,111008,111019,111067,111093,111127,111170,111215,111227,111265,111331,111411,111486,111570,111644,111674,111699,111837,111933,112050,112169,112285,112336,112393,112560,112744,112894,113063,113225,113330,113404,113673,113925,114179,114481,114690,114806,114915,115312,115668,116022,116305,116666,116838,116977,117497,117955,118491,118931,119394,119556,119692,119963,120602,121217,121849,122351,122559,122736,123104,124047,124620,125110,125598,125797,126018,126642,127283,127912,128552,129189,129472,129690,130574,131399,132158,132808,133519,133785,134063,134922,135728,136433,137126,137678,137951
44,"US | Wyoming",44409,44409,44573,44875,45257,45569,45890,46168,46647,46719,46832,47395,48072,48289,48701,48909,49068,49363,49708,49922,50124,50424,50583,50583,50898,51062,51152,51368,51430,51690,51704,51912,52057,52128,52288,52468,52576,52618,52627,52784,52830,52874,52979,53086,53086,53136,53136,53351,53450,53531,53683,53683,53795,53900,53944,53988,54202,54350,54350,54394,54471,54527,54616,54685,54764,54764,54764,54903,54972,55014,55112,55163,55163,55163,55327,55352,55449,55479,55581,55581,55581,55730,55799,55887,55920,56046,56046,56046,56190,56236,56310,56389,56447,56447,56447,56529,56619,56700,56802,56873,56873,56873,56988,57070,57127,57203,57267,57267,57267,57378,57456,57518,57613,57696,57696,57696,57818,57883,57999,58069,58142,58142,58142,58290,58367,58438,58527,58623,58623,58623,58764,58835,58893,58996,59079,59079,59079,59222,59321,59376,59590,59661,59661,59661,59797,59870,59961,60048,60144,60144,60144,60144,60374,60447,60549,60628,60628,60628,60779,60849,60941,61012,61114,61114,61114,61234,61303,61359,61425,61490,61490,61490,61630,61704,61776,61847,61951,61951,61951,62099,62195,62290,62353,62445,62445,62445,62445,62642,62737,62865,62966,62966,62966,63138,63235,63331,63455,63523,63523,63523,63709,63840,63988,64141,64251,64251,64251,64451,64623,64623,64955,65127,65127,65127,65467,65704,65953,66200,66453,66453,66453,67026,67326,67582,67957,68272,68272,68272,68944,69356,69844,70150,70671,70671,70671,71562,72069,72528,72995,73467,73467,73467,74756,75136,76007,76602,77206,77206,77206,77206,78495,79297,79830,80643,80643,80643,81825,82463,82897,83643,83958,83958,83958,85499,86052,86594,87351,87866,87866,87866,88935,89430,89965,90602,91169,91169,91169,91979,92415,93083,93764,94303,94303,94303
45,"US | Alaska",47014,47019,47821,48118,48382,48582,48922,49255,49660,49979,50238,50413,50544,50840,51185,51485,51678,51959,52113,52243,52413,52627,52926,53175,53336,53421,53510,53692,53876,54063,54218,54350,54457,54596,54820,55004,55258,55261,55261,55766,55891,56096,56254,56409,56410,56411,56411,56912,56975,57192,57404,57406,57406,57751,57808,57996,58179,58291,58295,58296,58681,58838,59035,59185,59334,59334,59335,59677,59766,59921,60157,60266,60266,60267,60655,60758,60934,61091,61162,61165,61165,61517,61694,61914,62063,62255,62263,62264,62265,62901,62901,63298,63501,63501,63501,64001,64081,64303,64531,64782,64782,64782,65180,65336,65536,65730,65921,65921,65921,66370,66479,66680,66909,67059,67059,67059,67509,67647,67834,68002,68148,68148,68148,68426,68518,68666,68762,68880,68880,68880,69117,69178,69267,69351,69464,69464,69464,69600,69657,69756,69835,69902,69902,69902,69999,70052,70119,70162,70208,70208,70208,70208,70319,70355,70408,70469,70469,70469,70520,70520,70588,70588,70652,70652,70652,70717,70717,70770,70770,70875,70875,70875,70963,70963,71035,71035,71035,71035,71035,71181,71187,71275,71275,71384,71384,71384,71384,71384,71598,71598,71731,71731,71731,71905,71905,72153,72153,72440,72440,72440,72899,72899,73374,73374,73753,73818,73818,74383,74383,74911,74911,75486,75486,75486,76237,76532,76874,77253,77586,77586,77586,78441,78701,78701,79485,79823,79823,79823,80885,81337,82002,82687,83156,83156,83156,84272,84867,85491,86218,86753,86753,86753,87908,88547,89345,90060,90642,90642,90642,90642,92790,93632,94474,95175,95175,95175,96635,97326,98419,99472,100360,100360,100360,102471,103327,104574,105893,107679,107679,107679,111692,112391,113392,114665,115703,115703,115703,117941,118793,119659,120514,121348,121348,121348
46,"US | Maine",24201,24902,25245,25592,25967,26565,27090,27625,28407,29019,29298,29611,30326,31150,31958,32781,33219,33559,33876,34262,34963,35638,36274,36598,36598,37046,37710,38170,38454,38813,39168,39324,39543,39960,40233,40534,40799,41065,41219,41419,41636,41889,42064,42265,42425,42529,42677,42773,42877,43095,43229,43367,43497,43594,43736,43900,44118,44296,44493,44635,44763,44944,45091,45231,45456,45639,45794,45933,46066,46261,46448,46657,46863,47032,47206,47395,47591,47832,48071,48293,48464,48642,48773,48972,49190,49443,49653,49850,50030,50253,50504,50788,51189,51470,51765,51986,52277,52677,52996,53434,53745,53960,54256,54827,55374,55954,56525,56939,57285,57545,57965,58465,58868,59239,59612,59776,60005,60430,60691,60945,61213,61616,61847,62092,62510,62858,63176,63464,63751,63994,64219,64457,64748,65044,65348,65524,65716,65915,66114,66316,66535,66705,66863,66979,67078,67139,67301,67423,67551,67658,67745,67787,67819,67881,67986,68058,68155,68233,68262,68333,68386,68449,68488,68541,68590,68606,68635,68686,68720,68756,68794,68826,68846,68866,68879,68889,68925,68964,68977,68990,69022,69034,69055,69070,69099,69121,69121,69121,69159,69192,69202,69220,69220,69220,69285,69325,69374,69418,69476,69476,69476,69627,69675,69781,69835,69905,69905,69905,70077,70141,70261,70372,70463,70463,70463,70718,70847,70996,71141,71306,71306,71305,71666,71883,72119,72333,72522,72522,72522,72897,73088,73270,73455,73660,73660,73660,74022,74313,74703,74966,75381,75381,75381,75856,76290,76913,77578,78069,78071,78071,78071,78803,79423,79929,80513,80513,80513,81177,81955,82607,83322,83909,83910,83910,84542,85156,85872,86586,87192,87192,87192,88197,89064,89989,90727,91468,91468,91468,92365,93207,93887,94348,94948,94941
47,"US | Alabama",361226,365747,369458,371934,374095,379593,384184,389230,394287,399150,401900,404000,407848,410995,414583,417528,420681,422598,424028,426543,429655,432536,436087,439442,441170,443009,445909,449086,452734,455582,455582,459639,460860,462938,465056,467823,469319,471311,472423,473348,474666,476067,477570,478667,479856,480931,481605,482488,483167,484365,485212,485986,486843,487520,488973,490220,491110,491849,492683,493252,493769,494421,497154,498076,498887,499411,499819,500092,500616,501398,502263,502711,503305,503673,508229,508717,509476,510048,510579,511087,511460,511779,511789,512711,513138,513580,514072,514391,514619,514980,515388,515866,516266,516615,516809,516918,517114,517452,517916,518234,518588,518899,519071,520503,520780,521201,521623,522131,522401,522512,523955,524367,525049,525477,525898,526131,526348,526707,527083,527513,527922,528309,528597,528784,528784,529446,530011,530325,530744,530988,531094,531404,531751,532895,537813,539829,540083,540267,540603,540891,541230,541673,541928,542124,542256,542562,542831,543177,543405,543405,543405,543405,544045,544598,545028,545585,545585,545585,546324,546540,546845,547135,547323,547323,547323,547873,548163,548323,548323,548657,548657,548657,549013,549013,549394,549394,549934,549934,549934,550451,550451,550983,550983,551298,551298,551298,551298,551298,552911,552911,554071,554605,554605,555215,555215,556613,557578,558577,559478,560202,560920,562311,563943,565510,567243,569131,570667,572070,574737,577463,577463,577463,585607,587405,589110,592417,595816,599633,603318,607209,607209,612086,615901,619752,623919,627905,627905,634897,637363,641386,645851,649741,653540,659750,663065,665653,665653,665653,676795,681828,688018,691451,694523,699729,704420,709732,714860,719280,722122,724688,727360,732151,736518,741318,745812,747606,750298,754242,757893,761865,764839,768301,770391,772311,775531,778549,781915,784484,787421,789054,790648,792632,794773,796475,798320,799800,800692,801428,802977,804249,805511,806560,807479,808132
48,"US | Idaho",141077,141077,142199,142507,143305,144843,146106,147173,148258,149235,149667,150239,151273,152364,153358,154470,155276,155554,155554,156778,157588,158200,158798,159325,159506,160033,160592,161212,161720,162355,162683,162683,163165,163656,164163,164565,164969,165209,165209,165658,166095,166553,166876,167225,167483,167483,167483,167945,168353,168639,168953,169150,169150,169584,169866,170289,170595,170907,171140,171140,171462,171836,172288,172587,172827,172931,172931,173309,173790,174246,174610,174943,175236,175236,175657,176007,176461,176802,177185,177420,177420,177760,178119,178544,178887,179204,179428,179428,179763,180076,180536,180897,181181,181181,181181,181836,182182,182531,182841,183153,183153,183153,183691,183910,184347,184557,184769,184769,184769,185227,185465,185759,185993,186183,186183,186183,186725,187014,187269,187479,187656,187656,187656,188024,188233,188435,188601,188788,188788,188788,189128,189361,189586,189735,189908,189908,189908,190279,190472,190712,190900,191068,191068,191068,191397,191546,191738,191877,192012,192012,192012,192012,192305,192478,192630,192795,192795,192795,193030,193157,193295,193397,193515,193515,193515,193743,193832,193919,194006,194006,194006,194006,194249,194367,194520,194609,194690,194690,194690,194824,194901,194998,195089,195172,195172,195172,195172,195429,195552,195696,195831,195831,195831,196128,196310,196489,196695,196856,196856,196856,197211,197456,197781,198014,198296,198296,198296,198840,199158,199516,199955,200484,200484,200484,201352,202032,202669,203412,204091,204091,204091,205033,205787,206523,207274,208054,208054,208054,209411,210315,211532,212327,212939,212939,212939,214010,215042,216061,217053,217887,217887,217887,220163,221389,222552,224156,225544,225544,225544,225544,228071,229597,231056,232630,233577,233907,235343,237000,238315,239533,241263,242021,242321,243565,245395,246749,248094,249740,250556,250955,252378,253733,255417,257322,259100,260012,260351,261459,263291,264661,265982,267664,268454,268660
49,"US | Montana",81555,81555,81944,82381,82664,83378,84060,84750,85568,86102,86324,86653,87077,87653,88110,88635,89056,89393,89576,89864,90255,90649,91049,91410,91652,91816,92160,92531,92934,93246,93762,93949,94070,94384,94810,95111,95458,95717,95790,95914,96288,96595,96842,97063,97297,97401,97539,97666,97900,98100,98377,98641,98779,98810,99040,99242,99445,99613,99837,99954,100003,100158,100351,100531,100656,100656,100914,100959,101093,101243,101424,101556,101726,101760,101933,102344,102484,102616,102768,102966,103060,103098,103452,103666,103830,103980,104097,104128,104163,104321,104552,104725,104853,105035,105142,105142,105333,105526,105750,105974,106142,106183,106253,106426,106631,106823,106941,107089,107145,107202,107379,107537,107718,107873,108048,108097,108111,108287,108489,108663,108817,108985,109030,109092,109315,109455,109588,109737,109889,109924,109935,110107,110317,110429,110560,110644,110685,110723,110861,110992,111025,111161,111168,111203,111224,111377,111454,111623,111718,111785,111809,111829,111844,112002,112129,112260,112260,112260,112381,112518,112591,112690,112761,112761,112761,112850,112949,113021,113092,113167,113167,113167,113225,113341,113403,113471,113529,113529,113529,113577,113690,113755,113821,113873,113873,113873,113873,113951,114102,114189,114240,114240,114240,114325,114415,114508,114576,114663,114663,114663,114742,114899,115002,115143,115255,115255,115255,115406,115665,115888,116143,116366,116366,116366,116634,117033,117328,117610,117882,117882,117882,118270,118754,119123,119519,119864,119864,119864,120325,120946,121382,121877,122318,122318,122318,122964,123674,124278,124910,125616,125616,125616,126338,127227,128098,128835,129487,129487,129487,129487,130705,131752,132750,133715,133715,133715,134935,136175,137389,138493,139712,139712,139712,141339,142513,143826,145000,146035,146035,146035,147287,148490,149824,151033,152005,152005,152005,153479,154704,156079,157372,158680,158680,158680
50,"US | Puerto Rico",76291,77054,77932,78169,78805,79319,79612,79898,82067,82630,83119,83468,84427,84639,84816,85954,86523,87381,87939,88373,88513,88728,89282,90073,91028,91596,92069,92244,92541,92968,93406,93624,94238,94526,94662,94984,95064,95355,95839,96161,96402,96494,96636,96924,97313,97609,97837,98317,98428,98506,98624,98835,99084,99257,99476,99519,99619,99860,100044,100297,100584,100735,100765,100867,101066,101327,101327,101327,101937,102051,102407,102567,102802,102995,103211,103278,103347,103679,103895,104221,104516,104743,104888,104966,105226,105625,105893,106488,106935,107105,107470,107980,108772,109407,109833,110022,110233,110679,111760,113200,114197,115299,116378,117366,117836,118936,120571,121701,123049,124140,124695,125212,126384,127450,128459,129203,130037,130361,130671,131437,131956,132578,133047,133507,133705,133846,134368,134888,135271,135543,135726,135726,135871,136199,136426,136655,136963,137060,137086,137147,137342,137610,137763,138000,138083,138094,138217,138355,138485,138579,138579,138757,138771,138799,138873,138949,139004,139068,139132,139142,139142,139190,139323,139364,139423,139449,139460,139494,139582,139669,139713,139753,139782,139782,139802,139871,139909,139956,140009,140021,140026,140058,140106,140175,140231,140301,140301,140412,140434,140511,140622,140708,140847,140944,140974,141100,141284,141483,141668,141905,142093,142179,142359,143132,143499,143906,144200,144321,144413,144829,145314,145487,146801,147545,147775,148005,149148,149357,150688,151504,152343,152796,153175,154394,155709,156710,157597,158351,158798,159182,159740,161053,162941,163795,164599,164947,165700,166882,167871,168707,169395,170090,170431,170826,171472,171555,173178,173817,174318,174440,174717,175068,175766,176234,176693,177031,177129,177366,177878,178305,178639,178880,179144,179225,179523,179724,179975,180294,180524,180666,180745,180908,181094,181248,181402,181598,181708,181787,181797,182524,182669,182790,182831,183093
51,"US | Virgin Islands",2036,2036,2041,2042,2055,2083,2106,2130,2143,2143,2143,2166,2166,2166,2166,2252,2252,2260,2260,2283,2305,2321,2335,2341,2341,2350,2373,2373,2384,2407,2421,2421,2421,2430,2440,2440,2449,2466,2466,2473,2485,2505,2524,2524,2524,2542,2542,2542,2558,2558,2575,2579,2579,2589,2589,2623,2636,2636,2646,2646,2646,2695,2695,2714,2724,2735,2735,2744,2755,2761,2761,2767,2767,2767,2767,2767,2803,2819,2848,2852,2858,2858,2876,2876,2877,2888,2907,2907,2907,2907,2907,2931,2931,2931,2939,2945,2945,2954,2971,2971,2971,2971,3005,3005,3005,3028,3028,3028,3028,3041,3041,3044,3068,3080,3080,3080,3090,3093,3098,3098,3125,3138,3138,3138,3152,3178,3152,3210,3210,3223,3233,3233,3256,3261,3267,3267,3270,3270,3288,3308,3308,3308,3308,3353,3383,3399,3399,3442,3442,3442,3442,3442,3465,3539,3560,3560,3591,3591,3591,3608,3652,3652,3690,3690,3690,3717,3729,3747,3752,3764,3768,3768,3774,3810,3819,3835,3839,3844,3844,3850,3858,3879,3895,3902,3916,3916,3916,3942,3970,3985,4005,4033,4033,4043,4071,4104,4119,4160,4186,4186,4215,4249,4286,4301,4336,4375,4375,4403,4450,4497,4514,4606,4629,4629,4663,4691,4777,4854,4907,4960,4960,5033,5066,5093,5169,5242,5295,5295,5326,5326,5413,5432,5594,5605,5605,5638,5684,5707,5760,5774,5774,5774,5848,5924,5934,5961,5973,6026,6026,6026,6071,6102,6182,6182,6250,6250,6289,6298,6351,6374,6439,6458,6458,6489,6516,6557,6589,6620,6631,6631,6679,6699,6721,6758,6786,6811,6811,6841,6873,6885,6916,6925,6950,6950
52,"US | Guam",7308,7326,7326,7326,7344,7357,7378,7386,7399,7399,7399,7423,7429,7444,7457,7474,7474,7474,7474,7515,7521,7521,7547,7547,7547,7554,7566,7568,7572,7579,7579,7579,7608,7610,7618,7622,7636,7636,7636,7664,7673,7673,7686,7689,7689,7689,7699,7701,7703,7705,7715,7715,7715,7727,7727,7729,7729,7734,7735,7736,7737,7742,7745,7747,7748,7749,7749,7751,7752,7756,7758,7768,7768,7768,7773,7773,7776,7780,7780,7780,7780,7784,7789,7789,7794,7797,7800,7800,7804,7805,7807,7810,7812,7816,7816,7823,7825,7828,7830,7833,7835,7837,7842,7847,7851,7856,7859,7865,7869,7879,7884,7897,7909,7911,7915,7915,7923,7939,7951,7959,7964,7975,7981,7989,8004,8016,8020,8034,8034,8034,8043,8044,8061,8063,8090,8090,8091,8103,8109,8118,8124,8131,8131,8134,8136,8141,8143,8154,8156,8156,8156,8156,8173,8187,8193,8204,8204,8204,8210,8215,8224,8230,8236,8236,8236,8244,8251,8261,8266,8267,8267,8267,8284,8304,8310,8316,8328,8328,8328,8344,8348,8357,8366,8373,8373,8373,8373,8394,8408,8423,8431,8431,8431,8454,8467,8471,8473,8477,8477,8477,8478,8486,8486,8500,8501,8501,8501,8506,8514,8522,8529,8541,8541,8541,8564,8593,8623,8652,8673,8673,8673,8725,8769,8817,8865,8911,8911,8911,9018,9081,9118,9200,9298,9298,9394,9486,9612,9759,9867,10046,10155,10239,10353,10559,10740,10909,11106,11106,11292,11293,11494,11819,12034,12227,12294,12379,12553,12772,12974,13145,13349,13438,13532,13660,13859,13997,14098,14248,14248,14374,14536,14705,14897,15041,15168,15252,15362,15465,15630,15789,15927,16058,16058,16058
53,"US | West Virginia",85334,87820,89327,91058,91886,93162,94678,96002,97898,99778,101212,102282,103203,104392,105219,106649,108124,108821,109809,110820,111677,112617,113615,114752,115307,115839,116978,117775,118562,119467,120340,121001,121425,121935,122470,123044,123641,124190,124708,125106,125522,125951,126420,126887,127282,127588,127889,128117,128405,128760,129055,129364,129616,129854,130139,130382,130813,131234,131580,131855,132048,132184,132416,132677,132964,133290,133445,133627,133856,134158,134496,134842,135149,135468,135678,136019,136334,136716,137092,137478,137826,138102,138429,138818,139251,139750,140316,140613,140991,141322,141738,142233,142653,143106,143456,143733,144010,144374,144820,145299,145754,146169,146462,146790,147203,147596,148071,148517,148887,149147,149462,149888,150288,150693,151068,151382,151671,151848,152301,152733,153128,153498,153918,154207,154551,154956,155341,155680,156001,156406,156617,156875,157215,157626,157923,158230,158468,158643,158888,159149,159450,159735,159735,159735,160354,160587,160777,161046,161287,161287,161287,161287,161858,161967,162111,162232,162232,162232,162540,162636,162726,162845,162939,162939,162939,163144,163221,163311,163382,163382,163382,163382,163382,163627,163689,163744,163804,163804,163804,163967,163992,164041,164097,164149,164149,164149,164149,164279,164346,164399,164465,164465,164465,164625,164685,164763,164843,164933,164933,164933,165177,165259,165398,165524,165702,165702,165702,166108,166297,166493,166748,167016,167016,167016,167681,167948,168330,168733,169162,169162,169162,170199,170656,171199,171707,171997,171997,171997,173479,174818,175638,176608,177533,177533,177533,180019,180804,181906,183354,184682,186293,187519,188660,189690,191156,192788,194505,196484,197984,199300,200308,201660,203403,205783,208045,210289,211706,213179,214984,217119,219439,221513,223117,224435,225772,227506,228983,231668,233426,234802,235965,237002,238498,240459,242104,243671,244698,245544,246408,247806,249331,250800,252067,253138
54,"US | Northern Mariana Islands",122,122,122,122,124,125,125,125,125,125,125,125,128,128,128,128,128,128,129,129,129,129,129,129,132,132,132,132,132,132,132,132,132,133,133,133,133,133,133,133,133,133,133,134,134,134,134,134,135,135,135,135,143,143,143,143,143,143,143,143,143,143,144,144,144,144,145,145,146,146,146,146,147,150,154,156,156,157,157,157,157,157,158,158,159,159,159,159,159,159,159,159,159,159,159,159,159,160,160,160,160,160,160,160,160,161,162,162,162,162,162,162,162,164,164,164,164,164,164,164,164,168,168,168,168,168,168,168,169,169,170,170,170,170,170,172,173,173,173,174,175,176,181,181,181,181,181,181,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,184,184,184,185,185,185,185,185,187,187,187,187,187,187,188,188,188,188,188,188,190,190,190,190,190,190,190,196,198,198,198,198,206,206,206,210,210,211,211,214,214,214,219,220,221,221,224,224,224,226,229,232,232,234,236,241,242,243,243,247,248,248,248,248,249,249,250,250,250,252,256,258,258,258,258,263,263,265,265,265,265,265,265,267,268,269,269,270,270,272,272,272,273,273,273,273,273
55,"US | American Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3
