id,Country,2020-01-25,2020-02-01,2020-02-08,2020-02-15,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07
68,"Honduras",0,0,0,0,0,0,0,2,24,95,264,392,457,627,1010,1830,2565,3477,5094,6155,8455,12306,17007,22921,27583,32793,38438,42685,46973,49979,53983,59645,64352,67136,71143,74548,78788,83146,87594,92724,96888,100041
69,"Hungary",0,0,0,0,0,0,4,30,103,343,678,1310,1834,2443,2942,3213,3473,3713,3867,3990,4064,4086,4138,4174,4229,4315,4424,4526,4653,4877,5133,5669,7892,11825,16920,23077,29717,36596,44816,56098,75321,104943
70,"Iceland",0,0,0,0,0,1,50,156,473,963,1417,1689,1760,1790,1798,1801,1802,1804,1806,1806,1808,1815,1820,1830,1833,1838,1843,1893,1955,1999,2058,2100,2136,2162,2307,2601,2872,3460,3998,4394,4865,5063
71,"India",0,1,3,3,3,3,34,102,330,987,3082,8446,15722,26283,39699,62808,90648,131423,181827,246622,320922,410451,528859,673165,849522,1077781,1385635,1750723,2153010,2589952,3044940,3542733,4113811,4754356,5400619,5992532,6549373,7053806,7494551,7864811,8184082,8507754
72,"Indonesia",0,0,0,0,0,0,4,96,450,1155,2092,3842,6248,8607,10843,13645,17025,21745,25773,30514,37420,45029,52812,62142,74018,84882,97286,109936,123503,137468,151498,169195,190665,214746,240687,271339,299506,328952,357762,385980,410088,433836
73,"Iran",0,0,0,0,28,593,5823,12729,20610,35408,55743,70029,80868,89328,96448,106220,118392,133521,148950,169425,184955,202584,220180,237878,255117,271606,288839,306752,324692,341070,356792,371816,384666,399940,419043,443086,468119,496253,526490,562705,612772,673250
74,"Iraq",0,0,0,0,0,13,54,110,214,506,878,1318,1513,1763,2219,2679,3260,4272,6179,11098,18950,29222,43262,58354,75194,90220,107573,126704,147389,172583,201050,227446,256719,286778,315597,345969,375931,400124,423524,449153,472630,496019
75,"Ireland",0,0,0,0,0,1,18,129,785,2415,4604,8928,14758,18561,21176,22760,24048,24582,24929,25183,25295,25374,25437,25509,25611,25750,25869,26109,26644,27191,27908,28720,29534,30730,32538,34560,37668,41714,48678,56108,61456,64855
76,"Israel",0,0,0,0,1,7,43,155,712,3619,7851,10743,13265,15298,16185,16454,16608,16712,17012,17752,18972,20633,23421,29170,37464,49365,60678,72218,82324,92233,101933,113465,128936,152722,183602,227100,264443,289875,302770,309413,314422,318949
77,"Italy",0,2,3,3,62,1128,5883,21157,53578,92472,124632,152271,175925,195351,209328,218268,224760,229327,232664,234801,236651,238275,240136,241419,242827,244216,245864,247832,250103,253438,258136,266853,276338,286297,296569,308104,322751,349494,402536,504509,679430,902490
78,"Jamaica",0,0,0,0,0,0,0,8,16,30,53,65,163,305,463,490,517,550,581,596,615,657,690,728,758,774,837,883,1003,1082,1346,2113,3024,3623,4758,5854,6795,7559,8195,8670,9094,9472
79,"Japan",2,20,24,54,137,245,466,795,1059,1728,3525,6951,10548,13186,14861,15755,16202,16410,16716,17000,17293,17725,18254,19461,21430,24946,29684,37804,47342,55051,61916,67353,71467,75206,78662,81703,85345,88962,92670,96599,101327,107439
80,"Jordan",0,0,0,0,0,0,1,1,85,246,323,381,413,444,460,522,607,704,734,795,953,1015,1111,1150,1176,1214,1154,1208,1246,1339,1576,1893,2353,3062,4540,8061,14749,23998,36053,50750,72607,104802
81,"Kazakhstan",0,0,0,0,0,0,0,6,53,228,531,865,1615,2601,3857,4975,5850,7919,10382,12511,14238,17225,20319,47171,58253,68703,81720,90367,98701,102696,104543,105684,106301,106803,107262,107723,108177,108757,109406,110402,112418,116162
82,"Kenya",0,0,0,0,0,0,0,1,7,38,126,191,262,343,435,649,830,1192,1888,2600,3457,4478,5811,7577,9726,12750,16643,21363,25837,29849,32118,33794,35020,35969,36829,37871,39184,41158,44196,48790,55192,61769
83,"Korea, South",2,12,24,28,433,3150,7041,8086,8799,9478,10156,10480,10653,10728,10793,10874,11050,11190,11468,11776,12085,12421,12715,13091,13417,13745,14150,14366,14598,15318,17399,19699,21177,22176,22975,23611,24091,24606,25199,25836,26635,27427
84,"Kuwait",0,0,0,0,0,45,61,104,176,235,479,1154,1751,2892,4619,7623,13802,20464,26192,31131,35466,39145,44391,49303,54058,58904,63309,67448,71199,75697,79957,84224,88963,94211,99049,103199,106458,110568,115483,120927,125926,131205
85,"Kyrgyzstan",0,0,0,0,0,0,0,0,14,58,144,339,506,665,769,931,1117,1365,1722,1974,2207,2981,4513,7094,10410,24606,32124,36299,39571,41645,42889,43712,44293,44828,45335,46090,47184,48924,51490,55144,58878,62304
86,"Latvia",0,0,0,0,0,0,1,26,124,305,509,630,712,804,871,930,997,1046,1065,1086,1097,1111,1115,1123,1173,1189,1206,1238,1288,1315,1333,1381,1425,1464,1515,1654,2019,2596,3392,4467,5894,7880
87,"Lebanon",0,0,0,0,1,4,22,93,187,412,520,619,672,704,733,809,902,1097,1191,1320,1442,1536,1719,1855,2168,2775,3582,4730,6223,8442,12191,16275,20011,23669,28297,35242,43494,52558,61284,69906,81228,93097
88,"Liberia",0,0,0,0,0,0,0,0,3,3,10,48,76,120,154,199,223,255,280,345,446,601,729,869,998,1088,1155,1189,1234,1257,1286,1304,1306,1316,1335,1338,1347,1363,1377,1393,1426,1442
89,"Liechtenstein",0,0,0,0,0,0,1,4,37,56,77,79,79,81,82,82,82,82,82,82,82,82,82,83,84,86,86,88,89,91,99,107,107,111,113,117,123,142,217,340,533,765
90,"Lithuania",0,0,0,0,0,1,1,8,83,394,771,1026,1239,1426,1406,1444,1534,1616,1670,1705,1763,1795,1813,1831,1865,1915,2001,2093,2231,2386,2594,2839,3040,3296,3664,4295,5081,5963,7269,9578,14824,22719
91,"Luxembourg",0,0,0,0,0,1,2,51,670,1831,2729,3270,3537,3711,3812,3877,3930,3990,4016,4035,4063,4105,4217,4476,4842,5483,6189,6793,7169,7439,7762,6625,6896,7159,7718,8233,8709,9514,10471,12851,17134,21806
92,"Madagascar",0,0,0,0,0,0,0,0,3,26,70,102,120,123,135,193,283,488,758,1026,1252,1503,2005,2728,4578,6849,8866,11273,12922,13724,14277,14791,15269,15737,16020,16257,16529,16702,16810,16968,17111,17111
93,"Malaysia",3,8,16,22,22,25,93,238,1183,2320,3483,4530,5305,5742,6176,6589,6872,7185,7762,8303,8445,8556,8616,8658,8704,8764,8884,8985,9070,9175,9257,9317,9391,9868,10167,10769,12088,15096,19627,25742,31548,39357
94,"Maldives",0,0,0,0,0,0,0,10,13,16,19,19,35,177,519,790,1078,1313,1672,1901,2013,2187,2305,2435,2664,2930,3252,3949,4898,5679,6660,7578,8486,9052,9649,10045,10465,10859,11178,11421,11659,11962
95,"Malta",0,0,0,0,0,0,3,18,73,149,213,370,426,448,468,490,546,609,618,627,646,664,670,672,674,675,686,845,1035,1348,1577,1847,2014,2274,2699,2958,3204,3681,4486,5373,6042,7039
96,"Mauritania",0,0,0,0,0,0,0,1,2,5,6,7,7,7,8,8,40,227,483,947,1682,2813,4025,4827,5275,5813,6151,6319,6510,6693,6894,7012,7134,7274,7365,7462,7517,7550,7607,7663,7703,7814
97,"Mauritius",0,0,0,0,0,0,0,0,14,102,196,319,325,331,332,332,332,332,335,337,337,337,341,341,342,343,344,344,344,346,346,355,356,361,366,367,385,395,417,435,441,453
98,"Mexico",0,0,0,0,0,4,6,41,251,848,1890,4219,7497,13842,22088,33460,47144,65856,87512,113619,142690,175202,212802,252165,295268,338913,385036,434193,475902,517714,556216,591712,629409,663973,694121,726431,757953,814328,847108,886800,924962,961938
99,"Moldova",0,0,0,0,0,0,0,12,80,231,752,1560,2378,3304,4052,4867,5934,6994,8098,9511,11459,13953,16080,17672,19208,20794,22828,25113,27443,29905,33072,36404,39473,42714,46336,50534,55888,61762,66652,71089,76040,81675
100,"Monaco",0,0,0,0,0,1,1,2,11,42,66,92,94,94,95,96,96,98,99,99,99,99,103,106,109,109,116,120,131,146,154,154,147,169,192,210,222,233,260,296,359,483
101,"Mongolia",0,0,0,0,0,0,0,1,10,12,14,16,31,37,39,42,135,141,179,193,197,206,219,220,230,287,288,293,293,298,298,301,310,311,312,313,313,315,320,338,346,357
102,"Montenegro",0,0,0,0,0,0,0,0,14,84,201,263,307,320,322,324,324,324,324,324,324,359,469,720,1164,2072,2747,3198,3588,3960,4313,4727,5422,6530,7898,10197,11934,13641,15427,16629,18341,22379
103,"Morocco",0,0,0,0,0,0,2,17,96,402,919,1545,2685,3897,4729,5910,6741,7406,7780,8151,8692,9839,11877,13822,15542,17015,19645,25015,32007,41017,50812,60056,70160,84435,99816,115241,131228,149841,170911,194461,219084,252185
104,"Namibia",0,0,0,0,0,0,0,2,3,8,14,16,16,16,16,16,16,20,23,29,32,46,136,375,668,1203,1687,2224,2802,3907,5538,7116,8514,9604,10292,10918,11572,11891,12263,12579,12935,13170
105,"Nepal",1,1,1,1,1,1,1,1,1,5,9,9,31,49,59,110,291,584,1401,3235,5335,8605,12309,15491,16719,17502,18483,20086,22592,26019,31117,37340,45277,53120,62797,71821,84570,105684,129304,155233,170743,191636
106,"Netherlands",0,0,0,0,0,6,188,962,3640,9819,16727,24571,31766,37384,40434,42581,44070,45265,46460,47541,48847,49710,50282,50761,51136,51809,52984,55021,58717,63889,68051,72128,76907,84709,96261,113518,137194,173894,225970,287229,357640,411107
107,"New Zealand",0,0,0,0,0,1,5,6,52,451,950,1312,1422,1470,1487,1494,1499,1504,1504,1504,1504,1511,1526,1533,1544,1553,1556,1565,1569,1622,1674,1729,1772,1797,1815,1833,1854,1871,1886,1935,1959,1982
108,"Nicaragua",0,0,0,0,0,0,0,0,2,4,5,8,9,12,14,16,25,279,759,1118,1464,1823,2170,2519,2846,3147,3439,3672,3902,4115,4311,4494,4668,4818,4961,5073,5170,5264,5353,5434,5514,5591
109,"Niger",0,0,0,0,0,0,0,0,1,10,144,491,639,684,736,815,889,943,956,970,980,1035,1062,1082,1099,1104,1124,1136,1157,1165,1172,1175,1177,1178,1183,1194,1200,1201,1209,1215,1220,1242
110,"Nigeria",0,0,0,0,0,1,1,2,22,89,214,318,542,1182,2388,4151,5621,7526,9855,12233,15682,19808,24077,28167,31987,36107,39977,43537,46140,48770,51905,53727,54905,56177,57145,58198,59287,60103,61307,61930,62853,63790
111,"North Macedonia",0,0,0,0,0,1,3,14,85,241,483,760,1170,1367,1506,1622,1762,1941,2164,2915,3895,5005,5906,6932,7975,9026,9934,10891,11754,12653,13458,14293,14998,15694,16557,17483,18602,20555,23201,26394,31572,38782
112,"Norway",0,0,0,0,0,15,147,1090,2118,4015,5550,6409,7036,7499,7809,8099,8237,8346,8437,8531,8628,8742,8846,8926,8977,9028,9111,9253,9599,9965,10299,10611,11296,12079,12858,13627,14362,15466,16369,17749,20331,24243
113,"Oman",0,0,0,0,0,6,16,19,52,152,277,546,1180,1905,2483,3224,5029,7257,10423,16016,22077,28566,36953,45106,54697,65504,74858,79159,81357,82924,83769,85005,86380,88337,91753,95907,98585,104129,108296,111837,114434,117167
114,"Pakistan",0,0,0,0,0,4,6,53,776,1597,3157,5230,8348,13328,20084,30334,40151,54601,69496,98943,132405,176617,202955,225283,248872,263496,273113,278305,283487,288047,292174,295372,298025,301481,305671,310275,314616,318932,323019,327895,333970,343189
115,"Panama",0,0,0,0,0,0,0,36,200,786,1673,2974,4210,5538,7090,8282,9449,10577,13018,16004,20059,25222,30658,36983,44332,52261,58864,66383,73651,80665,85480,91337,96305,101041,105601,110108,114653,119666,124107,128515,133598,138506
116,"Papua New Guinea",0,0,0,0,0,0,0,0,1,1,1,2,7,8,8,8,8,8,8,8,8,8,11,11,11,16,39,91,188,271,361,453,488,508,516,532,540,549,581,583,589,597
117,"Paraguay",0,0,0,0,0,0,0,6,18,56,96,133,202,228,370,689,778,850,964,1090,1261,1362,1942,2385,2820,3629,4328,5485,6705,9381,12974,16474,21871,27324,33015,37922,43452,48978,54015,59043,63185,66941
118,"Peru",0,0,0,0,0,0,1,38,318,671,1746,6848,14420,25331,42534,65015,88541,115754,155671,191758,220749,251338,275989,299080,322710,349500,375961,407492,463875,516296,576067,629961,676848,716670,756412,794584,821564,846088,862417,883116,900180,917503
119,"Philippines",0,1,3,3,3,3,6,111,307,1075,3094,4428,6087,7294,8928,10610,12305,13777,17224,21340,25392,29400,34803,41830,54222,65304,78412,98232,126885,157918,187249,213131,234570,257863,283460,301256,319330,336926,354338,367819,380729,393961
120,"Poland",0,0,0,0,0,0,5,103,536,1638,3627,6356,8742,11273,13375,15651,18257,20931,23571,25986,29017,31620,33714,35719,37521,39746,42622,46346,51167,56090,61181,66239,70387,73650,78330,85980,98140,121638,167230,241946,362731,521640
121,"Portugal",0,0,0,0,0,0,20,169,1280,5170,10524,15987,19685,23392,25190,27406,28810,30471,32203,34351,36463,38841,41189,43569,46221,48390,49955,51310,52537,53981,55452,57448,59943,63310,68025,72939,78247,85574,98055,116109,141279,173540
