id,Country,2022-12-03,2022-12-10,2022-12-17,2022-12-24,2022-12-31,2023-01-07,2023-01-14,2023-01-21,2023-01-28,2023-02-04,2023-02-11,2023-02-18,2023-02-25,2023-03-04
164,"Syria",3163,3163,3163,3163,3163,3163,3163,3163,3163,3163,3163,3163,3163,3163
165,"Timor-Leste",138,138,138,138,138,138,138,138,138,138,138,138,138,138
166,"Belize",688,688,688,688,688,688,688,688,688,688,688,688,688,688
167,"Laos",758,758,758,758,758,758,758,758,758,758,758,758,758,758
168,"Libya",6437,6437,6437,6437,6437,6437,6437,6437,6437,6437,6437,6437,6437,6437
169,"West Bank and Gaza",5708,5708,5708,5708,5708,5708,5708,5708,5708,5708,5708,5708,5708,5708
170,"Guinea-Bissau",176,176,176,176,176,176,176,176,176,176,176,176,176,176
171,"Mali",742,742,742,742,742,742,742,742,742,742,742,742,742,742
172,"Saint Kitts and Nevis",46,46,46,46,46,46,46,46,46,46,46,46,46,46
173,"Kosovo",3202,3202,3202,3202,3202,3202,3202,3202,3202,3202,3202,3202,3202,3202
174,"Burma",19489,19489,19489,19489,19489,19489,19489,19489,19489,19489,19489,19489,19489,19489
175,"MS Zaandam",2,2,2,2,2,2,2,2,2,2,2,2,2,2
176,"Botswana",2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790
177,"Burundi",38,38,38,38,38,38,38,38,38,38,38,38,38,38
178,"Sierra Leone",126,126,126,126,126,126,126,126,126,126,126,126,126,126
179,"Malawi",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
180,"South Sudan",138,138,138,138,138,138,138,138,138,138,138,138,138,138
181,"Western Sahara",0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,"Sao Tome and Principe",77,77,77,77,77,77,77,77,77,77,77,77,77,77
183,"Yemen",2159,2159,2159,2159,2159,2159,2159,2159,2159,2159,2159,2159,2159,2159
