id,Country,2020-01-25,2020-02-01,2020-02-08,2020-02-15,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01,2022-01-08,2022-01-15,2022-01-22,2022-01-29,2022-02-05,2022-02-12,2022-02-19,2022-02-26,2022-03-05,2022-03-12,2022-03-19,2022-03-26,2022-04-02,2022-04-09,2022-04-16,2022-04-23,2022-04-30,2022-05-07,2022-05-14,2022-05-21,2022-05-28
39,"Diamond Princess",0,0,0,0,2,6,6,7,8,10,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
40,"Cuba",0,0,0,0,0,0,0,0,1,3,6,16,32,51,66,74,79,81,83,83,84,85,86,86,87,87,87,87,88,88,89,94,100,108,113,120,122,123,125,128,128,130,131,132,133,136,137,137,141,146,148,166,191,213,233,261,291,318,344,366,392,414,431,453,512,581,654,722,796,863,943,1003,1075,1148,1231,1337,1490,1843,2271,2758,3355,3925,4481,5067,5617,6219,6733,7163,7534,7812,8037,8167,8230,8261,8279,8293,8300,8307,8313,8314,8320,8323,8326,8335,8358,8390,8431,8467,8486,8494,8499,8503,8506,8509,8512,8517,8520,8523,8526,8527,8529,8529,8529
41,"Cyprus",0,0,0,0,0,0,0,0,0,5,9,10,12,14,15,15,17,17,17,17,18,19,19,19,19,19,19,19,19,20,21,21,21,21,22,22,22,25,25,25,25,26,38,43,48,57,75,88,110,128,142,167,180,198,211,220,230,232,233,239,242,249,262,269,285,298,313,333,347,353,361,364,373,375,375,375,381,385,399,420,439,461,483,505,521,536,545,550,552,558,562,569,575,577,587,590,591,601,608,619,628,638,654,673,709,730,741,785,811,852,875,899,916,932,945,980,993,1011,1020,1032,1051,1057,1059
42,"Czechia",0,0,0,0,0,0,0,0,0,11,59,129,181,218,245,276,296,314,319,327,328,336,349,351,352,358,369,383,389,395,411,421,431,453,499,591,711,948,1352,2077,3251,4681,6058,7095,8054,8815,9450,10271,10950,11827,12978,14215,15270,16211,17129,18058,19097,20194,21558,23083,24530,25778,26867,27734,28396,28920,29316,29647,29886,30012,30101,30157,30224,30278,30296,30310,30331,30336,30357,30373,30363,30373,30384,30401,30406,30413,30429,30452,30477,30499,30539,30608,30736,30985,31431,32005,32744,33576,34377,35149,35692,36182,36558,36828,37021,37168,37410,37765,38188,38558,38892,39126,39352,39527,39715,39880,39980,40081,40155,40215,40245,40266,40281
43,"Denmark",0,0,0,0,0,0,0,1,13,65,161,260,346,418,475,526,543,561,571,587,597,600,604,606,609,611,613,615,617,621,622,624,627,630,635,648,654,667,679,700,721,740,757,781,823,878,935,1019,1153,1345,1543,1748,1970,2107,2216,2285,2334,2359,2378,2391,2400,2414,2429,2440,2453,2475,2490,2498,2503,2508,2517,2519,2526,2531,2532,2538,2540,2543,2543,2551,2554,2561,2566,2579,2592,2613,2627,2642,2665,2671,2682,2699,2715,2740,2768,2819,2876,2952,3018,3080,3200,3287,3387,3501,3617,3740,3889,4067,4314,4580,4878,5176,5423,5632,5794,5934,6034,6121,6207,6283,6334,6361,6399
44,"Djibouti",0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,10,22,26,41,45,52,55,56,56,58,58,59,59,60,60,60,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,62,63,63,63,63,63,63,63,66,72,94,114,132,145,149,151,152,153,154,154,155,155,155,155,155,155,156,156,156,157,157,157,157,157,162,169,174,179,181,181,186,186,186,186,187,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189
45,"Dominican Republic",0,0,0,0,0,0,0,0,2,28,68,135,217,273,326,385,428,458,498,536,577,655,718,786,880,971,1055,1170,1289,1438,1554,1673,1840,1953,2044,2093,2128,2167,2195,2220,2245,2263,2282,2308,2328,2345,2360,2382,2404,2416,2424,2432,2513,2646,2801,2932,3028,3093,3162,3213,3269,3302,3341,3385,3414,3451,3487,3523,3569,3606,3628,3652,3705,3754,3796,3852,3889,3915,3937,3963,3974,3976,3989,4007,4012,4014,4027,4035,4055,4067,4084,4106,4129,4150,4166,4186,4204,4212,4218,4223,4237,4247,4255,4268,4285,4301,4322,4343,4357,4368,4371,4374,4375,4375,4375,4375,4375,4376,4376,4376,4376,4377,4377
46,"Ecuador",0,0,0,0,0,0,0,2,7,48,172,315,456,576,1371,1717,2688,3096,3334,3608,3874,4156,4424,4769,5031,5282,5507,5736,5916,6065,6277,6537,6724,10864,11084,11273,11597,12188,12375,12542,12670,12815,12997,13139,13371,13756,13874,13948,13990,14059,14177,14316,14596,14851,15004,15269,15513,15779,16020,16215,16435,16679,16929,17275,17641,18158,18724,19137,19692,20180,20485,20773,21018,21284,21485,21660,21814,21933,30797,31631,31788,31954,32085,32223,32351,32444,32655,32744,32801,32847,32928,32948,32980,32989,33087,33125,33219,33484,33558,33597,33648,33682,33706,34219,34315,34513,34730,34854,35105,35223,35264,35316,35348,35418,35421,35461,35513,35581,35598,35598,35607,35613,35624
47,"Egypt",0,0,0,0,0,0,0,2,10,36,71,146,224,307,415,514,612,735,913,1198,1484,2106,2708,3280,3769,4251,4558,4834,4992,5141,5243,5376,5511,5627,5750,5869,5970,6040,6109,6187,6266,6355,6442,6535,6621,6750,6898,7069,7352,7741,8142,8527,8902,9263,9604,9935,10298,10639,10954,11256,11557,11845,12123,12405,12694,12998,13402,13845,14269,14670,15001,15309,15582,15829,16062,16242,16383,16439,16481,16524,16566,16615,16663,16714,16776,16860,16951,17149,17399,17658,17926,18242,18592,19011,19435,19872,20305,20682,21015,21315,21571,21768,21938,22123,22330,22566,22877,23292,23694,23992,24172,24277,24277,24361,24417,24473,24522,24613,24613,24641,24669,24690,24704
48,"El Salvador",0,0,0,0,0,0,0,0,0,0,3,6,7,8,11,17,26,33,46,53,72,93,143,210,254,324,390,459,536,603,654,708,752,782,808,826,857,887,917,944,975,1006,1039,1070,1107,1153,1193,1242,1297,1327,1408,1479,1551,1614,1673,1734,1792,1847,1894,1945,1975,1998,2021,2048,2072,2098,2124,2150,2182,2211,2241,2266,2292,2327,2361,2397,2439,2484,2547,2629,2703,2781,2831,2890,2952,3013,3090,3174,3262,3368,3460,3554,3622,3675,3721,3751,3769,3781,3793,3805,3818,3824,3827,3832,3851,3884,3933,3989,4032,4062,4086,4095,4109,4116,4119,4121,4125,4127,4128,4128,4129,4130,4131
49,"Equatorial Guinea",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,7,11,12,12,12,32,32,51,51,51,51,83,83,83,83,83,83,83,83,83,83,83,83,83,83,85,85,85,85,85,85,85,85,86,86,86,86,86,86,87,89,91,96,98,100,102,103,106,106,107,112,112,112,113,118,118,120,120,121,122,122,123,123,123,123,123,123,123,128,131,137,142,147,154,156,163,167,168,168,170,173,175,175,175,175,175,177,178,179,182,182,182,182,182,183,183,183,183,183,183,183,183,183,183,183,183,183
50,"Eritrea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,6,6,7,7,7,7,7,7,7,7,9,10,10,10,10,10,12,12,14,14,14,16,19,21,25,29,30,33,35,35,37,37,37,38,40,40,42,42,42,44,45,45,46,48,54,60,61,63,68,72,76,82,86,91,97,100,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103
51,"Estonia",0,0,0,0,0,0,0,0,0,1,13,24,38,46,53,60,63,64,67,69,69,69,69,69,69,69,69,69,63,63,63,64,64,64,64,64,67,68,68,73,73,73,80,87,109,126,148,170,204,241,278,320,368,411,456,491,528,584,644,710,780,860,931,1020,1082,1137,1166,1195,1220,1240,1250,1262,1266,1267,1269,1269,1270,1271,1271,1272,1277,1279,1281,1287,1297,1310,1325,1343,1360,1394,1422,1454,1516,1598,1668,1728,1789,1815,1848,1882,1907,1938,1954,1976,2003,2025,2056,2106,2158,2213,2290,2346,2385,2436,2466,2490,2511,2531,2539,2548,2556,2561,2561
52,"Eswatini",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,5,8,13,18,21,28,43,56,69,83,91,94,98,104,108,111,113,115,116,117,117,119,119,121,122,127,137,163,227,291,360,458,562,604,630,645,650,658,661,665,666,668,669,671,671,671,671,671,672,672,673,676,677,678,678,687,703,747,787,844,924,991,1067,1144,1169,1194,1212,1224,1227,1233,1241,1242,1244,1245,1248,1248,1248,1248,1260,1272,1308,1332,1357,1367,1374,1377,1383,1388,1390,1391,1392,1392,1393,1394,1395,1395,1397,1397,1400,1402,1404,1406
53,"Ethiopia",0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,5,5,5,8,20,55,72,94,103,124,163,209,284,390,509,662,770,897,996,1089,1165,1214,1277,1346,1419,1469,1518,1565,1636,1695,1745,1803,1846,1901,1944,1985,2029,2063,2091,2145,2181,2271,2354,2420,2540,2647,2784,2936,3146,3328,3531,3709,3871,3976,4068,4143,4201,4237,4280,4309,4330,4343,4354,4367,4385,4421,4471,4553,4631,4749,4907,5115,5369,5675,5950,6197,6347,6451,6531,6613,6672,6736,6794,6829,6861,6894,6947,7020,7131,7236,7327,7356,7421,7438,7458,7476,7485,7489,7492,7504,7509,7509,7510,7510,7510,7510,7512,7513
54,"Fiji",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,6,15,27,52,85,177,238,296,368,433,479,510,535,566,590,632,653,663,673,674,674,679,695,696,697,697,697,697,700,709,730,768,798,811,819,824,833,834,834,834,834,834,834,862,862,862,862,862,862,863
55,"Finland",0,0,0,0,0,0,1,2,8,27,73,133,205,241,262,289,297,303,305,305,305,305,308,309,309,309,310,312,313,313,314,314,317,323,325,329,331,336,342,347,350,352,376,394,435,471,517,553,577,601,629,662,686,702,717,733,754,783,800,828,848,872,887,899,914,923,934,940,951,968,973,977,980,982,984,984,986,991,995,1005,1019,1029,1038,1050,1063,1075,1087,1103,1126,1158,1183,1207,1242,1292,1341,1391,1452,1508,1552,1601,1643,1728,1812,1864,1894,1942,2058,2170,2277,2364,2387,2653,2783,2985,3178,3334,3517,3638,3939,4150,4284,4406,4522
56,"France",0,0,0,1,1,2,16,91,563,2314,7562,13835,19305,22587,24763,26313,27630,28452,28774,29145,29401,29638,29781,29896,30012,30158,30196,30268,30329,30413,30518,30612,30708,30924,31287,31714,32196,32684,33398,34670,36827,40220,44310,48591,52212,55072,57864,60533,62693,65047,67733,70280,73017,76005,78939,81794,84270,86457,88596,90442,92294,94623,96624,98734,100753,102873,104868,106440,107698,108689,109523,110138,110550,110899,111127,111329,111502,111649,111800,112061,112396,112881,113660,114574,115352,116095,116662,117157,117578,117915,118173,118396,118612,118855,119085,119407,119850,120488,121368,122403,123531,124839,126337,127859,129505,131449,133372,135695,137595,139073,140264,141104,141931,142664,143509,144280,145159,146057,146967,147707,148306,148820,149168
57,"Gabon",0,0,0,0,0,0,0,0,1,1,1,1,1,3,5,8,11,12,17,21,23,34,40,44,46,46,49,50,51,51,53,53,53,53,53,54,54,54,54,54,55,55,58,59,59,60,63,64,64,64,66,66,67,68,71,73,75,83,90,96,106,111,119,127,133,138,139,143,143,147,150,154,156,158,159,159,162,162,163,164,165,165,165,165,167,170,175,178,190,201,213,224,239,254,266,273,279,280,282,285,286,288,295,297,300,301,302,302,303,303,303,303,303,303,303,303,303,303,304,304,304,304,304
58,"Gambia",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,6,9,19,54,84,96,99,102,108,110,115,117,118,119,119,121,122,123,123,123,123,123,123,124,125,127,128,128,134,135,144,148,152,153,160,163,166,168,170,173,174,175,175,175,178,179,180,181,181,181,185,188,208,212,242,251,285,311,323,328,330,335,338,338,339,339,340,341,341,341,342,342,342,342,342,343,343,344,347,347,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
59,"Georgia",0,0,0,0,0,0,0,0,0,0,1,3,4,5,8,10,12,12,12,13,14,14,14,15,15,15,16,17,17,17,17,19,19,19,19,28,48,78,128,193,307,441,669,927,1195,1462,1744,2055,2352,2572,2750,2916,3038,3159,3269,3343,3425,3499,3567,3643,3691,3746,3804,3869,3925,4007,4130,4263,4426,4602,4739,4893,5034,5148,5255,5347,5443,5538,5665,5820,6054,6371,6723,7175,7732,8146,8498,8787,9005,9221,9440,9699,10003,10368,10894,11422,11871,12298,12695,13024,13443,13860,14156,14425,14673,14911,15174,15516,15822,16097,16338,16530,16643,16704,16751,16770,16789,16797,16807,16811,16811,16811,16811
60,"Germany",0,0,0,0,0,0,0,8,47,325,1158,2544,4110,5500,6575,7369,7881,8216,8489,8646,8781,8883,8954,9010,9060,9083,9118,9148,9195,9231,9267,9289,9324,9347,9384,9452,9527,9604,9767,10003,10452,11226,12378,13884,15965,18517,21466,25640,29422,33960,39878,45974,51521,56546,61286,64742,67696,69888,71804,73301,74565,75780,76895,78249,79847,81444,83082,84648,86025,87298,88350,89148,89816,90369,90746,91023,91225,91359,91520,91658,91778,91864,91973,92118,92325,92598,92920,93365,93777,94178,94601,95077,95696,96488,97617,98987,100779,102946,105506,108053,110276,112109,113900,115572,116664,117666,118676,119877,121202,122621,124051,125521,126867,128388,129987,131715,132942,134179,135461,136533,137499,138325,138862
61,"Ghana",0,0,0,0,0,0,0,0,1,5,5,8,9,10,18,22,29,31,35,44,48,85,103,117,135,145,161,182,206,231,261,270,283,286,297,299,303,306,310,316,320,320,320,323,323,325,327,331,333,335,336,341,361,405,449,533,572,594,640,679,716,740,744,754,771,777,779,783,783,783,784,786,789,793,794,796,799,810,819,823,859,913,961,1008,1052,1087,1118,1146,1156,1158,1165,1170,1175,1188,1206,1207,1209,1209,1239,1255,1269,1298,1319,1343,1357,1391,1412,1419,1433,1442,1442,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445
62,"Greece",0,0,0,0,0,0,0,3,13,22,68,93,110,130,143,151,162,171,175,182,183,190,191,192,193,194,201,206,211,226,240,260,280,302,331,376,405,436,500,564,626,749,1035,1527,2223,2902,3540,4102,4553,4921,5227,5441,5622,5779,5951,6103,6272,6468,6705,7038,7421,7826,8302,8833,9397,9950,10453,10978,11365,11734,12024,12253,12405,12534,12646,12731,12787,12840,12890,12965,13058,13206,13351,13599,13843,14141,14433,14655,14889,15105,15348,15598,15894,16243,16686,17237,17861,18516,19157,19799,20350,20849,21328,21888,22549,23275,23999,24679,25260,25719,26143,26513,26893,27216,27623,28076,28537,28867,29153,29369,29536,29679,29784
63,"Guatemala",0,0,0,0,0,0,0,0,1,1,2,3,7,13,17,24,33,55,102,230,367,514,706,920,1172,1449,1699,1959,2197,2355,2580,2728,2845,2949,3105,3213,3285,3365,3515,3609,3729,3811,3920,4074,4161,4239,4405,4624,4763,4827,4999,5220,5456,5618,5854,6094,6249,6374,6467,6571,6685,6794,6884,7001,7190,7395,7543,7717,7872,7996,8121,8280,8439,8645,9008,9419,9688,9898,10093,10339,10714,11085,11450,11818,12203,12665,12999,13331,13700,13986,14266,14655,15050,15389,15698,15837,15917,15980,16036,16067,16096,16108,16124,16175,16263,16373,16495,16627,16780,16961,17073,17144,17231,17278,17325,17373,17427,17514,17584,17698,17817,17942,18108
64,"Guinea",0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,11,16,20,23,23,25,27,30,34,37,39,42,46,50,50,53,59,61,63,63,65,66,69,70,71,72,73,74,75,76,76,79,80,80,81,81,81,81,82,84,84,86,89,93,102,108,116,129,133,138,140,144,150,151,158,161,162,167,168,168,172,176,186,198,220,257,279,308,326,352,365,370,377,379,383,385,385,385,385,387,387,387,387,388,388,389,391,397,406,414,416,428,436,438,440,440,440,440,440,440,440,440,441,442,442,442,442,442
65,"Guyana",0,0,0,0,0,0,0,1,1,1,4,6,6,7,9,10,10,10,12,12,12,12,12,14,17,19,20,20,22,22,31,35,46,54,64,74,85,102,109,117,124,134,138,143,149,151,154,159,162,164,167,170,170,176,180,186,189,195,200,206,214,225,237,252,268,279,298,323,338,355,382,405,424,444,462,478,492,509,523,541,556,573,591,609,640,674,713,754,796,835,866,894,913,941,957,971,986,1004,1016,1028,1045,1054,1067,1086,1130,1165,1180,1190,1210,1220,1223,1224,1226,1226,1226,1226,1228,1228,1228,1228,1228,1231,1232
66,"Haiti",0,0,0,0,0,0,0,0,0,0,0,2,3,5,8,12,20,25,35,50,64,84,96,110,130,145,154,161,171,192,196,201,212,216,220,227,229,230,231,231,232,232,232,232,232,233,233,234,235,236,237,238,243,245,245,246,247,250,251,250,251,251,252,252,251,251,254,263,271,276,302,321,346,361,400,436,471,487,523,545,563,576,582,584,586,588,596,607,611,636,657,658,671,685,708,711,723,747,758,765,765,766,774,780,783,784,804,807,814,820,823,827,827,827,833,835,835,835,835,835,835,835,835
67,"Holy See",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"Honduras",0,0,0,0,0,0,0,0,0,1,15,24,46,59,76,108,138,167,201,250,310,358,479,629,771,891,1098,1368,1476,1567,1643,1842,2006,2065,2166,2288,2399,2504,2563,2617,2669,2745,2822,2857,2905,2941,2974,3023,3065,3173,3264,3348,3441,3592,3710,3857,3992,4141,4247,4331,4430,4557,4633,4770,4954,5095,5318,5617,5954,6143,6296,6460,6606,6759,6916,7081,7250,7427,7594,7834,8120,8373,8594,8832,9023,9319,9491,9679,9854,9948,10096,10191,10239,10308,10350,10387,10402,10412,10415,10423,10429,10433,10443,10449,10468,10512,10512,10512,10608,10720,10785,10834,10857,10871,10880,10888,10888,10892,10893,10895,10896,10896,10899
69,"Hungary",0,0,0,0,0,0,0,0,4,11,32,85,172,262,335,405,448,482,524,545,559,570,578,589,595,596,596,597,602,607,611,614,624,633,675,730,812,933,1109,1390,1750,2357,2990,3689,4516,5706,6784,7914,8951,9781,10554,11264,11904,12463,13026,13636,14252,14902,15765,16790,18068,19752,21504,23211,24979,26420,27701,28504,29114,29475,29709,29842,29904,29950,29980,29992,30004,30015,30020,30026,30033,30038,30046,30057,30061,30086,30123,30151,30199,30275,30351,30492,30729,31184,31867,32780,33866,35122,36429,37530,38307,39186,39780,40237,40822,41229,41741,42360,43066,43752,44286,44653,44961,45258,45510,45721,45865,46048,46201,46266,46343,46446,46507
70,"Iceland",0,0,0,0,0,0,0,0,1,2,4,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,12,18,25,26,26,27,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,32,33,33,33,33,33,33,33,33,33,34,34,34,35,35,35,36,37,37,39,44,44,46,49,54,58,61,68,79,91,97,101,105,110,114,119,119,120,153,153
71,"India",0,0,0,0,0,0,0,2,4,24,86,288,521,825,1323,2101,2871,3868,5185,6946,9195,13254,16095,19268,22673,26816,32060,37364,43379,49980,56706,63498,70626,78586,86752,94503,101782,108334,114031,118534,122111,126121,129635,133227,136696,140182,143019,145477,147622,149435,150999,152274,153339,154274,154996,155642,156302,157051,157756,158607,159755,161552,164623,169275,177150,192311,215542,242347,270284,299266,325972,346759,370384,386708,395751,402005,408040,413609,420551,424351,427862,431225,434367,437830,440533,442655,444838,446918,448817,450589,452124,454269,458186,460791,463530,465662,468554,470530,475434,477158,479682,481770,483790,486066,489409,494091,501979,508665,511903,513724,515036,515850,516479,521004,521345,521685,521751,522193,523843,524064,524214,524413,524586
72,"Indonesia",0,0,0,0,0,0,0,5,38,102,191,327,535,720,831,959,1089,1351,1573,1801,2091,2429,2720,3089,3535,4016,4714,5193,5658,6071,6594,7261,7940,8650,9448,10308,11055,11765,12431,13205,13869,14540,15148,15774,16646,17589,18653,19659,20994,22555,23947,25767,27664,29728,31393,32936,34316,35981,37154,38329,39447,40364,41242,42443,43328,44500,45652,46842,47967,49205,50262,51449,52730,54291,56729,60027,65457,72489,82013,94119,105598,116366,125342,131372,135469,138701,140323,141381,142115,142612,142933,143176,143388,143534,143644,143728,143807,143863,143929,143998,144053,144096,144127,144167,144206,144285,144497,145065,146202,147844,149918,151951,153599,154343,155164,155597,155844,156067,156257,156371,156453,156519,156573
73,"Iran",0,0,0,0,5,43,145,611,1556,2517,3452,4357,5031,5650,6156,6589,6937,7359,7734,8209,8730,9507,10364,11408,12635,13979,15484,16982,18264,19492,20502,21359,22154,23029,24118,25394,26746,28293,30123,32320,34864,37832,41034,44327,47486,50016,51949,53448,54574,55438,56100,56717,57294,57889,58412,58883,59409,59980,60594,61142,61724,62308,62999,64232,66327,69120,72090,74524,76633,78381,79741,80941,81911,82854,83711,84627,85694,86966,88532,90630,93473,97208,101354,105901,110064,113824,116791,119082,120880,122370,123876,125052,126126,127173,128042,128852,129549,130124,130661,131033,131348,131639,131847,132044,132202,132380,132745,133570,134798,136390,137747,138831,139550,139971,140277,140577,140800,140952,141083,141165,141216,141271,141306
74,"Iraq",0,0,0,0,0,0,4,10,17,42,56,72,82,86,95,107,121,152,195,318,549,1013,1660,2368,3055,3691,4284,4805,5310,5785,6353,6891,7422,7941,8491,8935,9347,9790,10198,10568,10910,11283,11623,11925,12200,12411,12565,12680,12767,12829,12881,12935,12988,13041,13111,13164,13245,13383,13548,13719,13969,14177,14430,14678,14948,15217,15498,15741,15930,16158,16334,16518,16690,16860,17061,17281,17515,17789,18232,18657,19146,19606,20110,20632,21042,21445,21775,22072,22344,22537,22738,22937,23138,23319,23483,23642,23772,23873,23965,24051,24122,24163,24200,24242,24283,24361,24499,24678,24851,24960,25041,25097,25127,25149,25170,25183,25198,25204,25211,25213,25216,25216,25219
75,"Ireland",0,0,0,0,0,0,0,2,3,36,137,320,571,1063,1286,1446,1533,1604,1651,1678,1705,1715,1734,1741,1746,1753,1764,1763,1772,1774,1777,1777,1777,1783,1792,1802,1810,1824,1849,1882,1913,1945,1978,2022,2050,2099,2123,2154,2200,2252,2336,2595,2947,3292,3674,3931,4135,4313,4419,4534,4585,4653,4715,4783,4835,4872,4906,4919,4941,4941,4941,4941,4941,4979,4989,5000,5006,5018,5026,5035,5044,5059,5074,5092,5112,5155,5179,5209,5249,5280,5306,5369,5436,5492,5566,5609,5652,5707,5788,5835,5890,5912,5952,6035,6087,6136,6228,6291,6417,6475,6531,6611,6638,6710,6786,6863,6932,6996,7087,7131,7203,7244,7304
76,"Israel",0,0,0,0,0,0,0,0,1,13,49,103,166,202,232,251,271,281,287,298,303,308,324,339,373,426,494,578,659,745,829,916,1025,1138,1282,1471,1712,1968,2214,2405,2561,2676,2735,2796,2856,2909,2983,3074,3210,3392,3645,3959,4341,4738,5071,5351,5526,5732,5856,5988,6082,6165,6236,6292,6331,6350,6363,6376,6381,6397,6407,6418,6428,6427,6429,6429,6435,6446,6458,6473,6535,6622,6775,6950,7154,7338,7511,7649,7778,7897,7983,8046,8085,8114,8140,8154,8184,8199,8210,8232,8241,8244,8259,8304,8393,8658,9138,9466,9842,10126,10274,10367,10419,10460,10517,10559,10612,10658,10695,10741,10748,10827,10839
77,"Italy",0,0,0,0,2,29,233,1441,4825,10023,15362,19468,23227,26384,28710,30395,31763,32735,33340,33846,34301,34610,34716,34854,34945,35042,35102,35146,35203,35392,35430,35473,35534,35603,35692,35818,35968,36140,36474,37210,38618,41063,44683,49261,54363,59514,64036,68447,71620,74985,78394,81800,85162,88279,91003,93356,95486,97507,99578,101881,104642,107636,110704,113923,116676,119021,121033,122694,124063,125153,126002,126472,126976,127253,127458,127637,127768,127864,127942,128063,128209,128413,128728,129056,129466,129885,130284,130653,130998,131274,131517,131802,132074,132365,132739,133131,133627,134152,134765,135544,136530,137513,138881,140856,143296,145914,148542,150824,152848,154416,155782,156782,157692,158700,159666,160658,161602,162609,163507,164417,165182,165918,166542
78,"Jamaica",0,0,0,0,0,0,0,0,1,1,3,4,5,7,8,9,9,9,9,10,10,10,10,10,10,10,10,10,13,14,16,20,32,40,60,88,119,138,168,186,206,218,229,237,251,261,271,285,294,303,311,323,336,348,357,372,391,417,446,484,524,566,613,669,721,756,779,803,843,912,942,964,996,1031,1057,1082,1114,1153,1168,1190,1218,1285,1371,1483,1593,1704,1777,1824,1884,1995,2103,2175,2229,2274,2322,2356,2385,2407,2424,2444,2462,2476,2495,2522,2572,2635,2691,2738,2779,2811,2825,2844,2863,2875,2893,2902,2926,2943,2962,2973,2995,3021,3044
79,"Japan",0,0,0,1,2,6,7,22,36,56,87,138,236,379,536,654,778,845,895,919,931,959,972,977,983,986,998,1013,1044,1093,1181,1272,1361,1441,1503,1547,1599,1628,1671,1714,1770,1817,1888,1981,2110,2328,2582,2881,3234,3572,4022,4476,5064,5688,6376,6932,7443,7867,8238,8573,8817,9036,9224,9392,9633,9926,10326,10845,11476,12258,12930,13534,14043,14405,14664,14841,14950,15045,15123,15191,15273,15400,15612,15906,16325,16759,17168,17460,17715,17927,18088,18188,18257,18306,18321,18343,18354,18360,18369,18375,18383,18389,18398,18429,18493,18734,19273,20234,21685,23325,24816,26068,27056,27715,28253,28649,28998,29290,29567,29788,30036,30287,30537
