id,Country,2020-01-25,2020-02-01,2020-02-08,2020-02-15,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01,2022-01-08,2022-01-15,2022-01-22,2022-01-29,2022-02-05
22,Indiana,0,0,0,0,0,0,0,0,13,58,213,419,665,958,1242,1495,1745,1960,2096,2233,2351,2465,2541,2607,2681,2748,2825,2899,2974,3068,3164,3241,3311,3392,3481,3581,3705,3831,4025,4234,4504,4828,5191,5697,6270,6899,7600,8294,8904,9562,10089,10534,10950,11262,11752,12149,12336,12556,12726,12846,12926,13011,13074,13138,13216,13271,13338,13405,13471,13553,13615,13685,13745,13795,13822,13863,13914,13940,13965,14005,14054,14128,14228,14373,14570,14783,15083,15377,15686,15982,16245,16470,16683,16898,17088,17247,17386,17712,18014,18385,18696,19037,19614,20226,20751,21301,21712
23,Kentucky,0,0,0,0,0,0,0,0,3,9,40,90,144,205,248,304,334,391,431,470,499,524,554,585,622,667,696,740,772,810,872,921,993,1057,1108,1154,1205,1249,1312,1404,1485,1561,1658,1783,1885,2062,2192,2371,2534,2698,2876,3093,3386,3714,4020,4272,4426,4625,4806,4966,5720,6023,6149,6241,6330,6436,6513,6578,6648,6705,6782,7091,7155,7184,7207,7237,7258,7292,7315,7340,7376,7434,7532,7698,7874,8021,8299,8529,8858,9106,9343,9589,9776,9974,10259,10648,10877,11158,11597,11786,11918,12118,12358,12518,12687,12890,13063
24,Minnesota,0,0,0,0,0,0,0,0,1,5,24,64,121,244,394,558,709,861,1036,1181,1314,1404,1452,1503,1537,1578,1611,1646,1689,1705,1807,1863,1903,1958,2015,2056,2126,2184,2270,2381,2511,2679,2930,3257,3580,3979,4418,4839,5166,5436,5731,5955,6131,6255,6357,6437,6491,6543,6614,6809,6845,6903,6953,7022,7083,7150,7247,7317,7379,7456,7511,7554,7596,7629,7671,7703,7715,7728,7743,7761,7787,7822,7853,7892,7937,7985,8076,8169,8273,8408,8531,8661,8793,8952,9120,9279,9462,9740,9996,10235,10440,10656,10906,11111,11291,11532,11749
25,Oklahoma,0,0,0,0,0,0,0,0,1,15,42,94,136,194,238,270,288,311,334,347,359,368,384,398,421,451,496,549,603,657,725,797,850,899,943,1004,1051,1095,1162,1245,1337,1429,1516,1624,1717,1874,2042,2189,2357,2527,2738,2952,3231,3504,3761,3994,4155,4379,4534,4701,4788,4850,4953,6669,6697,6716,6788,6832,6878,6918,7291,7316,7325,7354,7384,7388,7406,7417,7454,7485,7531,7594,7676,7812,8001,8208,8440,8715,8949,9213,9402,10540,10710,10879,11633,11772,11847,11999,12070,12222,12348,12419,12592,12775,12968,13210,13532
26,Pennsylvania,0,0,0,0,0,0,0,0,2,34,142,517,1081,1845,2753,3809,4505,5140,5554,5940,6221,6427,6612,6756,6902,7024,7129,7221,7315,7456,7562,7661,7752,7831,7945,8088,8185,8326,8447,8637,8798,8999,9255,9787,10253,11210,12389,13790,14926,16273,17710,19223,20527,21598,22396,23070,23565,23922,24327,24526,24802,24972,25180,25405,25666,25982,26239,26501,26727,26995,27203,27343,27465,27559,27642,27704,27743,27790,27823,27850,27900,27966,28074,28205,28378,28564,28842,29119,29486,29907,30418,30962,31413,31897,32355,32911,33251,33859,34571,35378,36050,36714,37642,38611,39487,40548,41524
27,South Carolina,0,0,0,0,0,0,0,0,3,15,40,80,119,166,267,330,380,425,487,545,599,644,711,813,951,1135,1465,1751,2007,2260,2493,2698,2877,3040,3188,3323,3442,3551,3637,3793,3935,4015,4110,4274,4346,4517,4685,4895,5124,5385,5758,6108,6479,7014,7611,7911,8256,8498,8719,8870,8977,9104,9196,9273,9321,9414,9506,9586,9638,9674,9728,9752,9776,9792,9819,9830,9846,9862,9878,9904,9950,10039,10213,10452,10781,11149,11614,12080,12570,12929,13232,13472,13716,13841,13983,14096,14189,14272,14375,14461,14550,14636,14746,14914,15108,15266,15791
28,District of Columbia,0,0,0,0,0,0,0,0,0,4,21,47,91,165,240,311,375,427,462,483,511,531,548,557,568,578,581,585,590,597,604,605,611,616,619,624,629,636,641,642,646,654,658,670,678,695,713,730,762,792,813,847,870,909,947,979,994,1010,1030,1040,1049,1056,1070,1081,1095,1099,1105,1110,1118,1125,1132,1136,1138,1141,1141,1141,1143,1146,1146,1149,1149,1150,1155,1159,1162,1165,1167,1172,1176,1182,1183,1186,1190,1193,1194,1196,1196,1197,1199,1206,1207,1211,1227,1255,1267,1284,1293
29,Kansas,0,0,0,0,0,0,0,1,2,5,18,52,86,120,142,174,195,205,215,233,245,256,268,283,295,308,329,358,380,406,426,451,481,527,597,636,701,775,861,977,1031,1168,1258,1412,1532,1792,2079,2353,2520,2893,3164,3517,3616,3802,4112,4367,4611,4730,4806,4816,4836,4886,4927,4933,4947,4962,4983,5017,5039,5058,5077,5085,5107,5129,5147,5158,5176,5201,5241,5261,5305,5391,5498,5550,5635,5770,5868,5985,6072,6130,6169,6215,6417,6498,6621,6636,6676,6780,6834,6913,6954,7006,7097,7163,7321,7519,7713
30,Missouri,0,0,0,0,0,0,0,0,3,13,51,145,236,357,473,598,696,770,820,856,895,983,1024,1061,1102,1148,1213,1289,1347,1398,1472,1551,1692,1754,1854,2083,2193,2436,2595,2827,3055,3182,3406,3597,3873,4305,4631,5077,5500,5751,6173,6523,6841,7070,7472,7780,8059,8282,8512,8660,8713,8796,8866,8884,9009,9072,9145,9224,9270,9420,9496,9558,9615,9648,9676,9756,9804,9894,9979,10099,10274,10477,10658,10908,11130,11357,11548,11817,12007,12181,12333,12453,12550,12704,12840,13002,13024,15563,15708,15870,16016,16227,16508,16823,17252,17402,17855
31,Vermont,0,0,0,0,0,0,0,0,2,12,20,25,38,46,51,53,53,54,55,55,55,56,56,56,56,56,56,57,58,58,58,58,58,58,58,58,58,58,58,58,58,59,59,63,67,79,95,108,121,139,156,163,170,173,182,189,196,204,208,214,219,224,229,231,242,244,247,249,252,255,255,256,256,256,256,258,258,258,259,260,260,264,270,275,281,287,298,306,321,335,345,351,364,384,393,404,406,416,429,452,460,471,483,497,514,533,553
