id,Country,2022-07-02,2022-07-09,2022-07-16,2022-07-23,2022-07-30,2022-08-06,2022-08-13,2022-08-20,2022-08-27,2022-09-03,2022-09-10,2022-09-17,2022-09-24,2022-10-01
155,"US",87651166,88573242,89697199,91098810,92857391,95040378,97670406,100707487,104032642,107454530,110753705,113743149,116310705,118425703
156,"Uzbekistan",240562,240831,241126,241457,241837,242287,242836,243495,244271,245233,246441,247983,249978,252592
157,"Venezuela",526368,527148,528052,529106,530340,531787,533488,535493,537854,540633,543894,547703,552124,557209
158,"Vietnam",10748755,10755384,10763217,10773289,10787350,10808564,10842999,10902800,10998411,11167487,11498278,12146645,13334196,15157877
159,"Zambia",325931,326902,327897,328918,329969,331051,332167,333316,334494,335695,336910,338128,339337,340530
160,"Zimbabwe",255805,256261,256654,256995,257292,257551,257779,257981,258159,258318,258460,258586,258700,258801
161,"Dominica",14867,14906,14934,14955,14970,14982,14990,14996,15001,15002,15002,15002,15002,15002
162,"Grenada",18363,18451,18520,18576,18621,18658,18690,18716,18739,18758,18774,18788,18799,18809
163,"Mozambique",228151,228781,229467,230221,231062,232009,233087,234325,235754,237394,239232,241188,243149,245034
164,"Syria",55924,55927,55927,55927,55927,55927,55927,55927,55927,55927,55927,55927,55927,55927
165,"Timor-Leste",22956,22963,22969,22974,22979,22984,22987,22991,22994,22997,23000,23002,23004,23006
166,"Belize",64019,65211,66449,67723,69025,70336,71642,72922,74154,75321,76402,77385,78264,79042
167,"Laos",210283,210316,210343,210365,210383,210399,210413,210424,210432,210437,210440,210440,210441,210441
168,"Libya",502140,502176,502214,502253,502293,502336,502381,502428,502478,502531,502587,502647,502712,502781
169,"West Bank and Gaza",658882,659461,660238,661283,662694,664600,667181,670674,675398,681769,690328,701753,716863,736594
170,"Guinea-Bissau",8378,8423,8481,8555,8651,8775,8937,9149,9418,9729,10085,10494,10966,11487
171,"Mali",31168,31181,31191,31200,31207,31213,31218,31222,31226,31229,31231,31233,31235,31237
172,"Saint Kitts and Nevis",5972,6006,6036,6064,6088,6102,6108,6111,6112,6112,6112,6112,6112,6112
173,"Kosovo",228806,229009,229280,229646,230140,230810,231720,232957,234641,236930,240036,244236,249885,257422
174,"Burma",613601,613646,613685,613718,613748,613774,613797,613818,613835,613851,613863,613873,613881,613887
175,"MS Zaandam",9,9,9,9,9,9,9,9,9,9,9,9,9,9
176,"Botswana",323414,330831,341033,355474,376386,406505,445592,491184,535901,572051,596865,612203,621240,626517
177,"Burundi",42653,42767,42866,42951,43026,43090,43145,43194,43236,43272,43303,43330,43354,43374
178,"Sierra Leone",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
179,"Malawi",86480,86665,86894,87177,87527,87961,88499,89167,90000,91038,92335,93958,95992,98543
180,"South Sudan",17701,17702,17702,17702,17702,17702,17702,17702,17702,17702,17702,17702,17702,17702
181,"Western Sahara",0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,"Sao Tome and Principe",6032,6041,6048,6054,6059,6064,6068,6071,6075,6078,6081,6084,6087,6090
183,"Yemen",11825,11825,11826,11826,11827,11827,11827,11828,11828,11828,11828,11828,11829,11829
