id,Country,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14
90,"Lithuania",1439.54620807515,1469.07529762361,1496.52831978871,1521.64346630202,1545.82530148409,1570.25564469901,1596.53247915654,1624.98792961999,1650.87150151944,1676.2460108137,1701.33018646824,1726.40982019783,1751.61454325017,1776.9271265635,1802.10490561295,1826.82500145486,1851.38250024922,1875.82576130679,1900.17936450107,1924.43143294565
91,"Luxembourg",3721.51988773501,3749.83614497708,3777.2672010714,3803.69252449791,3830.22913394981,3856.42878255468,3883.47218166707,3912.3827437635,3938.39248698027,3964.08675694913,3989.54322819554,4014.86656796292,4040.02349167026,4065.03725674749,4089.7734265821,4113.93985044706,4137.85415542804,4161.52500302189,4184.95165231763,4208.1190045379
92,"Madagascar",122.75233827702,123.398488737822,123.860563379602,124.276692079776,124.722206654748,125.201102545623,125.738313141877,126.337235025337,126.824654526487,127.290492207211,127.756841519754,128.23001905493,128.706957767608,129.183630363979,129.652071919646,130.102772746953,130.548481122457,130.991452614993,131.431245541368,131.866499331742
93,"Malaysia",5742.82107962927,5803.57064575914,5864.42539766996,5925.93396067502,5987.7105291787,6049.68036383346,6116.08518493558,6187.3700673832,6249.82255728258,6312.51415695977,6375.46367921869,6438.61550641408,6501.96040744468,6565.49835411725,6628.6334231831,6690.62345361707,6752.54839321325,6814.36550749288,6876.023416016,6937.47133399873
94,"Maldives",142.546608331582,160.678546504362,179.985235791478,200.677924039976,222.465969135045,245.402349138448,271.294887821559,300.734901529849,329.194154308182,359.509299815295,391.80246662053,426.179690355715,462.818286760978,501.917837631894,543.388616742831,587.018436915319,633.371116867277,682.601614662411,734.870661316374,790.348675953471
95,"Malta",450.750393940884,454.369723255557,457.645004729267,460.770331483871,463.805699463931,466.712458274274,469.640093961947,472.880207690223,475.830110482849,478.690759428049,481.496119870037,484.258811633239,486.985139134312,489.687398900581,492.359600496909,494.956086459486,497.5054489168,500.013304354656,502.481490449056,504.910407660551
96,"Mauritania",7.00697512283677,7.00758684532783,7.00825221625121,7.00897594060684,7.00976313602598,7.01061936895926,7.01155069403837,7.01256369688985,7.01329707990564,7.01406246682041,7.0148598304175,7.01568889255175,7.01654908034569,7.01743947663245,7.0183587639732,7.01906189981137,7.01976662593916,7.02046952019827,7.02116669765297,7.02185376886885
97,"Mauritius",331.698186095206,332.470316578157,333.238798197878,333.976971357425,334.654686525875,335.342574985647,336.074695860799,336.826293994515,337.49761095365,338.155730136288,338.799401523065,339.430701441278,340.055924869094,340.672944573634,341.274896210245,341.857257512446,342.42797347073,342.987247327932,343.535472570803,344.072822386812
98,"Mexico",12443.6499466627,13378.0307953931,14374.3525373845,15436.7334826541,16572.9041251477,17788.4043257974,19086.4980446331,20470.5823939483,21946.6335750861,23519.9150053787,25194.8903113043,26947.8585661736,28801.5441978624,30812.3860698635,32984.9575505816,35226.4488924846,37610.6980311328,40146.5355947183,42843.2971505216,45710.3194865278
99,"Moldova",3210.80562340032,3337.45991668624,3469.28775636183,3605.44789601421,3745.57114439472,3887.55987598445,4041.5229197322,4206.37930409697,4355.10213375361,4507.1152781484,4662.13701591756,4819.96923937904,4980.43942129988,5143.66257530625,5308.2611656088,5472.81361903532,5639.72228709699,5808.84735469491,5980.07021769872,6153.28416137187
100,"Monaco",94.0540515071688,94.0883811260054,94.1003239311861,94.1138805449868,94.1292690370902,94.1467369440065,94.1665652506989,94.1890729101866,94.2073180961956,94.2233898156788,94.2400194602936,94.2570643499799,94.2743330575678,94.2915748400233,94.3084671035582,94.3246005642213,94.3404486656746,94.3562665436269,94.3719747230529,94.3875022697929
101,"Mongolia",37.7380441105581,38.6056003004143,39.474323161224,40.3250298583168,41.1338877454021,41.8963221120366,42.6580868875401,43.4497429554747,44.1524697579728,44.8405930648452,45.5098510101297,46.1573679763747,46.7848079157496,47.400840461836,48.004283263695,48.5750714054008,49.129332556979,49.666655166295,50.1872390347464,50.6918876538382
102,"Montenegro",320.924781873187,322.779400388371,324.61519099803,326.377928865485,328.135837473048,329.836504541192,331.660247321185,333.601421168684,335.242622463153,336.856189102944,338.440981129624,340.002731259042,341.539081760953,343.054155238069,344.529263273553,345.944028916857,347.329476073669,348.685386945959,350.011663119607,351.307451260401
