place,week_ahead,quantile,value
Wisconsin,4,0.5,5282
Wisconsin,4,0.75,6355.20373591195
Wisconsin,4,0.9,13211.2851540604
Wisconsin,4,0.975,13488.7862058983
Wisconsin,5,point,4491
Wisconsin,5,0.025,2609.24331529483
Wisconsin,5,0.1,2637.76297365333
Wisconsin,5,0.25,2954.46386499903
Wisconsin,5,0.5,4491
Wisconsin,5,0.75,5659.16364109295
Wisconsin,5,0.9,13905.0708549382
Wisconsin,5,0.975,14283.8320125327
Wisconsin,6,point,3817
Wisconsin,6,0.025,1929.74082545972
Wisconsin,6,0.1,1958.11908355723
Wisconsin,6,0.25,2268.1735248542
Wisconsin,6,0.5,3817
Wisconsin,6,0.75,5028.68957066619
Wisconsin,6,0.9,13963.9709132198
Wisconsin,6,0.975,14392.870721657
Wisconsin,7,point,3240
Wisconsin,7,0.025,1375.72523353229
Wisconsin,7,0.1,1403.43879021147
Wisconsin,7,0.25,1702.10481487539
Wisconsin,7,0.5,3240
Wisconsin,7,0.75,4480.12395904448
Wisconsin,7,0.9,14079.3078499529
Wisconsin,7,0.975,14564.131317004
Texas,1,point,103508
Texas,1,0.025,98151.5280988443
Texas,1,0.1,99456.2138169777
Texas,1,0.25,101106.343968885
Texas,1,0.5,103508
Texas,1,0.75,106301.841840261
Texas,1,0.9,108524.409318475
Texas,1,0.975,110693.996220884
Texas,2,point,94933
Texas,2,0.025,88510.9914174524
Texas,2,0.1,90057.449342697
Texas,2,0.25,92028.3109302326
Texas,2,0.5,94933
Texas,2,0.75,98354.1895948939
Texas,2,0.9,101059.536961905
Texas,2,0.975,103722.149946249
Texas,3,point,86345
Texas,3,0.025,78987.7330413047
Texas,3,0.1,80735.1466934776
Texas,3,0.25,82974.0985947153
Texas,3,0.5,86345
Texas,3,0.75,90345.2273661483
Texas,3,0.9,93494.0389869314
Texas,3,0.975,96618.6998570697
Texas,4,point,77872
Texas,4,0.025,68659.3218935038
Texas,4,0.1,70799.9246691146
Texas,4,0.25,73586.5948901589
Texas,4,0.5,77872
Texas,4,0.75,83016.5073826615
Texas,4,0.9,87042.9780747391
Texas,4,0.975,91080.4929529925
Texas,5,point,69682
Texas,5,0.025,58988.7257892792
Texas,5,0.1,61406.6300520514
Texas,5,0.25,64626.7415810536
Texas,5,0.5,69682
Texas,5,0.75,75820.4079108324
Texas,5,0.9,80605.4023108016
Texas,5,0.975,85458.4244473283
Texas,6,point,61914
Texas,6,0.025,50479.1383272271
Texas,6,0.1,53036.5979830786
Texas,6,0.25,56472.2906985963
Texas,6,0.5,61914
Texas,6,0.75,68554.8279232138
Texas,6,0.9,73722.1246889142
