id,Region,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01
10,"Azerbaijan",0,0,1.52425322099915,1.0776400229198,1.45092681695177,2.21988242386483,1.24539150209037,1.15659851935728,0.844109311057536,0.884662484672726,1.1442475481239,1.18261900435038,1.39549157741793,1.22026600465133,1.47328260616146,1.15562530749428,1.32738148695246,1.04181661607538,1.25631996915237,1.02094380871563,0.985380730590062,0.986429910302672,0.896344072465767,0.863894951362674,0.806753392834612,0.728937533625281,0.987060581916403,1.06262860649101,0.996023510505278,0.995648919619383,0.995014812526954,0.874972618420936,0.993816476422267,1.16232111904841,1.22259095127673,1.60184338020084,1.07624631893821,1.10988273467192,1.05582764365211,1.15906849112087,1.16257521088511,1.06481763694586,1.01692527661239,0.989536613181194,0.815072039946579,0.715453260960826,0.742651838179921,0.876878101068275,0.601857464540586,0.880537330234651,0.7346255148124,0.977656701844806,1.01516615054736,1.07831182375595,1.15603268121732,1.14366545688103,1.178959794969,1.18603784176291,1.13115017649749,0.988599897382401,0.993290658522807,0.958923442641644,0.883366441736002
11,"Bahamas",0,0,0,0,1.55208137090984,1.21720944581351,1.19073937206807,1.03945424802349,0.83172921622201,1.18879093106624,0.731340764188572,0.83134547230438,0.493395246648772,0.987190316305448,0.984238845724999,0.889975364995403,1.1132879517685,1.03858537434077,0.134970872566404,0.0821096023257099,3.1416339372357,1.39173244100579,1.47875924841678,1.06496463202856,1.00007151980099,1.220760340654,1.33690210293451,0.895590333240899,0.910628821017306,1.09200098095819,0.971617519014476,1.08769497141942,0.93384971128654,1.28487763074093,1.10359587734624,1.08577246564177,0.800784640951204,0.859190274232281,0.976131768835041,0.987408347364737,0.767151821347022,0.652296275367323,0.973557746618033,1.24212509834261,0.972936793767725,0.972483609811706,0.999503248741601,0.90823764853979,0.924639341967976,0.977151536053564,0.868727913502261,0.771066222271434,1.24005954502371,1.31710993979446,0.978362379890588,0.808327672667266,0.977544724510801,0.968888723739695,1.09776822661298,0.972534121263243,1.4049072809322,1.05236065344001,0.987188450083232
12,"Bahrain",0,1.50266344465349,1.15424005441538,1.4977033249638,1.40854352618874,1.53105035411822,1.02536115176914,1.42137475523661,1.59841405773587,1.03544586627279,1.07065670055748,1.19141598332015,1.18828221410888,0.980781807272203,1.02517494744282,1.15192770919879,1.00556592971353,1.01302925446142,1.0167999181048,0.981210298144536,0.975309630081068,0.98008381136299,0.933777547146003,0.939038846599901,0.993083190658146,1.04395212022659,0.991669523374374,0.948344974685144,1.09410409515464,1.12107919178017,1.00789934190955,0.953107852727718,0.939463719687091,0.953214089849721,0.922500643173473,0.966394502673579,0.770781703892664,0.85187243102875,0.946680011010374,0.78862905541289,0.954563174538609,0.99750838096219,1.02218581625709,0.966968585452368,1.08451101857995,1.09981384728993,1.19843123252168,0.949211511712359,1.01015526809331,1.10191938300804,1.26480716205177,1.24286375157133,1.00048470907069,0.953484696322371,0.931658050523721,0.99774530283314,0.951895868786497,1.09802637546669,1.25719661542692,1.1532294694444,0.949954392327766,0.984145362414103,0.95486491118354
13,"Bangladesh",0,0,0,0,1.44955485651235,1.06579920344615,0.993338069652234,2.55323774153114,8.00052308457534,1.15534852337026,1.11599345069303,1.07294927238862,1.0919091963774,1.11631083566511,1.05771008599307,1.15672249501856,1.04737366733237,1.03159105650433,1.00280145054727,1.00283465939517,0.94076777419493,0.929778244382708,0.938777467399999,0.98118255867257,0.945524413675323,1.03115975264786,1.02830702578554,0.953287473123506,0.939835553083782,0.941630779368028,0.88456065155921,0.972945443849271,0.91651217935062,1.00028101180856,1.00499834173895,1.01433574963052,0.995097071915114,1.01577580037166,1.00570404383564,1.05467814757874,1.00433552168126,1.00455528763057,0.94827178587044,0.899348817966914,0.925081838797884,0.830837165116591,0.905823147655699,0.94974240057286,0.900205775797874,0.909579951956002,0.798836187832668,0.834782829176764,0.995788404956163,0.999896969879237,1.08472756369415,1.13328139901752,2.37356131877872,1.53325518373476,1.1578977981363,1.06583419977192,0.903334425848697,0.780629944379081,0.854849792201601
14,"Barbados",0,0,0,0,1.50381721289696,1.23603161801152,1.13215629679427,0.970587376723329,0.715104007882448,0.496137743200598,1.04152742832561,0.945982970804745,0.974458879276315,1.27805493290234,0.672702283505817,0.141541280107021,0.920595402248584,1.26865116408205,0.356588390846677,0.0650120261370645,1.48830395146679,1.17992822121398,1.22029707285218,1.04576804025808,1.34118427558353,1.00448364150964,0.969706253682176,0.979359752411803,0.964670643314247,0.494671540941581,0.942943503738054,0.939224855155127,0.943068879100418,1.66274618262324,0.999483580148927,0.751773746400379,0.991500949212184,0.641827567149199,0.943818233563339,0.945662267718973,1.41590920259973,1.23916286174821,0.78269441131616,1.09090471612821,1.76250602893009,1.16416161119716,1.33303774555672,1.00447586132467,1.0975399446541,1.03544438772498,0.944398757396599,1.23086010412106,1.55782239418615,0.793825415600057,0.868446936906609,0.74366278855813,0.915833634573228,0.729260707912865,0.852365772062787,1.20451914705081,0.948539686576485,0.94828248396253,0.855162411312199
15,"Belarus",0,0,0.781559840378578,1.6877841538075,1.24134480503772,0.797727747539,1.4834494422511,2.51229469511578,1.14981807306142,1.11277176009304,1.11683860385774,1.00797010432392,1.02198778307836,0.998495076782755,0.994218212206506,0.985858757571049,0.971770390651137,0.946884182259869,0.882625265500902,0.868217511119039,0.866757438899006,0.909332985495843,0.991810818234903,0.94777344509208,0.881014911287353,0.901407419793344,1.07928559180408,1.10720407674432,0.9911782734047,1.06014107809565,1.18712685911469,1.06984169423678,1.5258487650903,0.994552383018548,1.08404608192474,1.06779696023283,1.08436430034294,1.02146758202219,1.07269040991334,1.05213428571702,1.28461137931364,1.03617129066461,1.03563415809991,1.01157494055537,1.00486971112315,0.999878794445248,0.992348221576455,1.01289927189088,0.987411294708807,0.968873138062937,0.99926639860511,1.01116566598517,1.0109267221272,0.989192656104274,0.993318083876709,0.95649007900375,0.988424453462655,1.04831484300532,1.0296119820405,1.07625850973483,0.982475053004996,1.044418540389,0.980906911787557
16,"Belgium",0,0,1.78707896623685,2.02931719388555,1.35902855330223,1.31991508324573,1.16988942874406,1.03204686213892,0.982239917474336,0.94731431236541,0.831171387807119,0.745400295943975,0.823562353091019,0.746979199750553,0.883367337550561,0.848080831248173,0.997717476307684,0.897927266907821,0.95944743694502,1.02809978306603,1.06781408237158,1.20045405429913,2.70397422415428,1.52570974670138,1.29319732143213,1.03285192576727,0.974483251741212,0.961526300925043,0.989629130961524,1.19172036036739,1.65397070504096,1.38866061569491,1.22300628123169,1.22367176988285,1.57619185848925,1.54784194633352,1.11082433917444,0.833238424427425,0.669820186916413,0.657109718024517,0.866541360514146,0.988057948698966,0.889390245027922,1.10778723566309,0.926505135864603,0.858908214380587,0.922116680765927,1.01381167966353,1.02829393377602,1.12157448627159,1.14756872500483,0.940296516186296,0.964694769721459,1.14823250911102,0.935829724745492,1.17710886598736,1.15058160773733,1.76089894777239,0.91412262327708,1.10496074719133,0.943944054863644,1.00265428517972,0.960158768189898
17,"Benin",0,0,0,0,1.40762200709867,1.31063697095542,1.2924007197417,1.13409307496344,0.207908380522968,0.871321664417071,1.18764728038524,3.48048897599944,0.996608996780491,0.266357028464076,0.912014027791,1.08222278208036,1.36147509407369,1.22656070043542,1.21976251267095,0.635546790673834,0.984989365045987,1.22067188344086,0.712805372983594,0.576018746538573,0.949301576882703,0.951883992461956,0.975806903872622,0.652442050063265,0.938690777309571,0.935494935920069,0.970494198921479,0.935928420842811,0.970544932421406,0.934702131288935,1.2376827963246,0.973228441386522,1.3090169210008,1.09264990986652,0.976198361190342,0.778100982647212,0.716290394504847,0.947917430611388,0.626515760023628,0.939600112400154,1.27427592725183,0.973870414458134,0.888384589477899,1.0754818428434,1.14997491333501,0.97609420825662,1.31622530295568,0.970725053188193,0.993861163423265,0.997273963723665,0.954834899417484,1.2825347783193,0.959495084347414,0.960233546207239,0.694776559883337,0.991192249606697,0.661839895779515,1.00443851202706,0.946860662707526
18,"Bhutan",0,0,0,0,0,1.01359418192384,1.10135280592282,0.265449633895816,0.0975761707848928,1.43427150790008,0.334090507531156,0.0712898389897751,1.48862484377721,0.604913296216618,1.34696204781794,0.90479075665143,1.01349642437892,0.972626044806633,0.973184690024048,0.944010531929754,0.975227256829015,1.17556551400634,0.96981021680409,1.16059863870158,0.988943113075625,1.08726869598214,1.99173763500236,1.25159302978405,1.05639329005553,0.679471599278396,0.990144379555508,1.2555761133796,0.993288309053219,0.636122630990116,0.988345678455278,1.23548397178027,0.878916257129947,0.816321313032011,1.1961969969559,0.852736289152644,1.23963929721158,1.04290791376154,0.857508779397401,0.798885971243314,2.73979904124866,1.12483417561885,1.02718465437341,0.887570591943742,0.588548561044384,0.711994672320678,0.649365333602813,1.17895518695739,0.970406494840687,0.492005920484848,0.920501308862247,0.842474365625201,0.920480619229072,2.80138455429857,1.37695298279912,1.27589096389138,1.28667331916677,0.998516418405587,1.29047930074897
19,"Bolivia",0,0,0,1.50209913944986,1.40618797347666,1.42714231167121,1.10362421307605,1.1566998585375,1.13953282498404,1.38519490437348,1.12186805962467,1.40621868165154,1.12018093237603,1.31039199440557,1.16198454429999,1.05628732590093,1.06812838734288,1.26213460452804,1.41308515165806,1.03578696732705,1.09741163181168,1.07646777857284,1.00416079818405,1.031447543754,1.01402345604186,0.952863982500265,0.963479848836644,0.895814476844184,0.703088219023744,1.00012712444423,0.912199849303656,0.789460598572226,0.992425490399783,0.728920292863901,0.857176266681963,0.746830863972212,0.988866774327828,0.809237680617704,0.98440194143933,1.00566751471478,0.929974343996364,1.11461455495686,1.15459797326098,1.17987744698849,1.51435034726246,1.17126952410526,1.00910590727974,1.05868007877868,1.03088686937294,1.00583742302565,0.913899369440766,0.856407808463155,0.610017732120111,0.987720332758851,0.892232983729568,0.913390844226356,1.00189834218545,0.96840225714665,0.99158971026468,1.0529725952591,0.982750262708275,1.06985492107684,1.13189459962685
