id,Region,2020-03-11,2020-03-18,2020-03-25,2020-04-01,2020-04-08,2020-04-15,2020-04-22,2020-04-29,2020-05-06,2020-05-13,2020-05-20,2020-05-27,2020-06-03
92,"Madagascar",0,0,23,59,93,111,121,128,193,230,405,656,957
93,"Malaysia",149,900,2031,3116,4228,5182,5603,6002,6467,6819,7059,7629,8247
94,"Maldives",8,13,13,19,19,25,108,468,648,982,1216,1513,1872
95,"Malta",6,53,134,196,337,412,445,465,486,522,599,616,622
96,"Mauritania",0,2,3,6,7,7,7,8,8,20,173,346,784
97,"Mauritius",0,3,81,169,314,324,331,332,332,332,332,334,335
98,"Mexico",12,164,585,1510,3441,6297,11633,19224,29616,42595,59567,81400,105680
99,"Moldova",3,49,177,505,1289,2154,2926,3897,4605,5553,6704,7725,9018
100,"Monaco",2,7,33,60,84,93,94,95,95,96,97,98,99
101,"Mongolia",1,6,11,14,16,31,36,38,41,98,140,161,186
102,"Montenegro",0,3,69,144,252,303,316,322,324,324,324,324,324
103,"Morocco",6,63,275,708,1374,2283,3568,4423,5548,6607,7211,7643,8003
104,"Namibia",0,3,8,14,16,16,16,16,16,16,18,22,25
105,"Nepal",1,1,3,6,9,16,48,57,101,249,457,1042,2634
106,"Netherlands",503,2467,7468,14788,21903,29383,35921,39512,41973,43680,44900,46152,47148
107,"New Zealand",5,28,283,797,1239,1401,1456,1479,1490,1498,1504,1504,1504
108,"Nicaragua",0,1,2,5,7,9,11,14,16,25,279,759,1118
109,"Niger",0,0,10,98,410,584,671,719,781,876,924,955,963
110,"Nigeria",2,8,65,184,288,442,981,1932,3526,5162,7016,8915,11516
111,"North Macedonia",7,48,201,384,663,1081,1300,1465,1572,1723,1898,2077,2611
112,"Norway",702,1746,3369,5147,6211,6896,7401,7738,8034,8196,8309,8411,8504
113,"Oman",18,48,109,231,457,1019,1716,2348,2958,4341,6370,9009,14316
114,"Pakistan",28,501,1373,2686,4695,7025,11940,18114,26435,38799,50694,64028,89249
115,"Panama",11,109,558,1317,2528,3751,5166,6532,7868,9118,10116,12131,15044
116,"Papua New Guinea",0,0,1,1,2,7,8,8,8,8,8,8,8
117,"Paraguay",5,11,41,77,124,174,213,266,462,754,836,900,1086
118,"Peru",15,234,580,1414,5256,12491,20914,36976,58526,80604,108769,141779,183198
119,"Philippines",52,217,707,2633,4076,5660,6981,8488,10343,11876,13434,15588,20382
120,"Poland",49,355,1221,2946,5575,7918,10511,12877,15047,17615,20143,22825,25048
121,"Portugal",59,785,3544,9034,13956,18841,22353,25045,26715,28319,29912,31596,33592
122,"Qatar",262,460,549,949,2376,4103,7764,13409,18890,28272,38651,50914,63741
123,"Romania",49,277,1029,2738,5202,7707,10096,12240,14499,16247,17585,18791,19907
124,"Russia",28,199,840,3548,10131,27938,62773,106498,177160,252245,317554,379051,440538
125,"Rwanda",0,8,50,84,110,138,154,243,271,287,320,349,410
126,"Saint Lucia",0,2,3,13,14,15,15,17,18,18,18,18,19
127,"Saint Vincent and the Grenadines",0,1,1,2,12,12,13,16,17,17,18,25,26
128,"San Marino",69,119,208,245,333,426,501,569,622,648,658,670,678
129,"Saudi Arabia",45,274,1012,1885,3287,6380,13930,22753,33731,46869,65077,80185,93157
130,"Senegal",4,31,105,195,250,335,479,933,1492,2189,2812,3348,4021
131,"Serbia",19,103,384,1171,2867,5318,7276,9009,9848,10374,10919,11300,11571
132,"Seychelles",0,6,7,10,11,11,11,11,11,11,11,11,11
133,"Singapore",178,345,683,1049,1910,4427,11178,16169,20939,26098,29812,33249,36922
134,"Slovakia",16,123,226,426,701,977,1325,1396,1445,1477,1502,1520,1526
135,"Slovenia",89,286,562,897,1124,1268,1366,1429,1449,1464,1468,1473,1477
136,"Somalia",0,1,2,5,12,80,328,601,928,1284,1594,1828,2204
137,"South Africa",17,150,927,1462,1934,2605,3953,5647,8232,12739,19137,27403,40792
138,"Spain",2277,17963,57786,112065,153222,184948,213024,213435,221447,229540,233037,237906,240660
139,"Sri Lanka",2,60,106,151,190,238,368,663,824,925,1055,1530,1797
140,"Sudan",0,2,3,8,15,32,174,442,930,1818,3138,4346,5714
141,"Suriname",0,1,8,10,10,10,10,10,10,10,11,12,82
142,"Sweden",599,1439,2840,5568,9141,12540,16755,21092,24623,28582,32172,35727,41883
143,"Switzerland",652,4075,11811,18827,24051,26732,28496,29586,30126,30463,30694,30796,30913
144,"Tanzania",0,6,13,20,25,94,284,480,480,509,509,509,509
145,"Thailand",70,272,1045,1875,2423,2672,2839,2954,2992,3018,3037,3065,3101
146,"Togo",1,1,23,39,73,81,88,116,135,238,354,422,465
147,"Trinidad and Tobago",0,9,65,94,109,114,115,116,116,116,116,116,117
148,"Tunisia",7,39,197,455,643,822,918,994,1026,1032,1046,1068,1087
149,"Turkey",1,192,3629,18135,42282,74193,101790,120204,133721,144749,153548,160979,167410
150,"Uganda",0,0,14,45,53,55,74,83,101,160,160,317,522
151,"Ukraine",1,16,196,897,1892,4161,7170,10406,13691,16847,19706,22382,25981
152,"United Arab Emirates",85,140,333,1024,2990,5825,8756,12481,16240,21084,26898,32532,37018
153,"United Kingdom",459,2716,11812,34173,65872,104145,139246,172481,207977,234440,252246,270508,283079
154,"Uruguay",0,94,238,369,473,502,557,643,684,724,749,811,832
155,"US",1561,14153,84080,244593,464442,669272,871617,1072667,1261409,1423726,1584486,1730259,1878543
156,"Uzbekistan",0,23,75,205,582,1349,1758,2039,2298,2645,2964,3444,3939
157,"Venezuela",0,42,107,146,171,204,311,333,381,455,882,1325,2087
158,"Vietnam",39,85,153,233,255,268,268,270,288,312,324,327,328
159,"Zambia",0,2,16,39,39,48,76,106,153,654,866,1057,1089
160,"Zimbabwe",0,0,3,9,11,23,28,40,34,37,51,149,237
161,"Dominica",0,0,11,12,15,16,16,16,16,16,16,16,18
162,"Grenada",0,0,7,10,12,14,15,20,21,21,22,23,23
163,"Mozambique",0,0,7,10,17,31,46,76,81,115,162,233,352
164,"Syria",0,0,5,16,19,33,42,43,45,48,58,122,124
165,"Timor-Leste",0,0,1,1,1,18,23,24,24,24,24,24,24
166,"Belize",0,0,2,3,9,18,18,18,18,18,18,18,18
167,"Laos",0,0,6,10,16,19,19,19,19,19,19,19,19
168,"Libya",0,0,1,11,24,49,60,61,64,64,71,105,209
169,"West Bank and Gaza",30,44,84,161,263,294,336,344,375,375,423,446,464
170,"Guinea-Bissau",0,0,2,9,36,43,50,205,564,913,1109,1195,1339
171,"Mali",0,0,4,36,74,171,309,490,650,779,947,1194,1461
172,"Saint Kitts and Nevis",0,0,2,9,11,14,15,15,15,15,15,15,15
173,"Kosovo",0,0,71,125,184,449,669,806,861,944,1003,1048,1142
174,"Burma",0,0,0,20,23,85,139,151,176,181,199,206,236
175,"MS Zaandam",0,0,0,9,9,9,9,9,9,9,9,9,9
176,"Botswana",0,0,0,4,13,15,22,23,23,24,29,35,40
177,"Burundi",0,0,0,3,3,5,11,11,15,15,42,42,63
178,"Sierra Leone",0,0,0,2,7,15,64,124,231,408,585,812,914
179,"Malawi",0,0,0,3,8,16,33,37,43,63,72,203,393
180,"South Sudan",0,0,0,0,3,4,5,35,74,203,481,994,994
181,"Western Sahara",0,0,0,0,4,6,6,6,6,6,6,9,9
182,"Sao Tome and Principe",0,0,0,0,4,4,4,14,187,235,251,458,485
183,"Yemen",0,0,0,0,0,1,1,6,25,85,197,278,453
