id,Region,2020-03-11,2020-03-18,2020-03-25,2020-04-01,2020-04-08,2020-04-15,2020-04-22,2020-04-29,2020-05-06,2020-05-13,2020-05-20,2020-05-27,2020-06-03,2020-06-10,2020-06-17
63,"Guatemala",0.224483347957676,0.273598369012641,0.151370721406137,0.0158863151430151,0.00614023138874931,0.0650211461752837,0.0245357987185046,0.0633701832182845,0.0303071106958828,0.0362467673479572,0.00993918639011948,0.193483139128779,0.0430824791775863,0.00649485505410752,0.0284261876753056
64,"Guinea",0.296508143372329,NaN,0.112510870237986,0.121440315703513,0.0950401016981235,0.0639485805798212,0.0523404043531615,0.0697676731489718,0.0611566885956019,0.0521812317884125,0.047151640257207,0.0465681965425293,0.0380420669428022,0.0428991429933083,0.0179781279555236
65,"Guyana",0.332452556539904,NaN,0.542056134554625,0.0465977219008789,0.0788558566354551,0.16323135103481,0.142548304376991,0.133894730274482,0.0476742334866691,0.186840026641429,0.0403271077052012,0.100179122720684,0.0648248082478163,0.0257402878547568,0.0327677410999039
66,"Haiti",0.344114577315022,0.269346409948909,NaN,0.136011382262652,0.101691000178915,0.0918716868980232,0.0413425934278003,0.172086744235469,0.0200622860140494,NaN,0.0709005350320773,0.00547439467745403,0.0374648994219369,0.0588042462502381,0.0621643982532788
67,"Holy See",0.317009106898588,0.713935375424905,0.185073569424945,0.228202535097759,0.207402849724797,0.198168043369456,0.0426990852551477,0.0943861438020186,0.0173421421649528,0.00157924236740564,0.00157618388740459,0.00157301456456849,0.00156974837280925,0.00156639790078547,0.00156297446541755
68,"Honduras",0.92172823697768,0.174185963116599,0.028207001478338,NaN,0.136498486033991,0.122727397935051,0.0491422586824988,0.0206276734079334,NaN,0.0863299731625176,0.0235179180311662,0.133704253204623,0.066316069279168,0.679314459264404,0.504040541970066
69,"Hungary",0.10746371232921,NaN,0.12079689766889,0.0927550662105792,0.00960128556053386,0.0754333176349977,0.0687184450944525,0.0687009611175871,0.0666814705855466,0.0630221016523795,0.0471558221646793,0.0584853803879375,NaN,0.0272882572268482,0.0541260854290727
70,"Iceland",0.0990808404096373,0.0195271821857206,0.119696058907066,0.113617563889152,NaN,0.0518163563715797,0.0632057070759818,0.0928647454665629,0.101103930636499,0.0977461475903334,0.00476926278940226,0.0565871280113765,0.0894036123922214,0.0482891996535972,0.00750295891915065
71,"India",0.192628303958692,0.0339008478015521,1.45371009214921,NaN,NaN,0.0599798846721049,0.0437356034529364,0.0344994093105209,0.0146862546071578,0.0227619137217412,0.000915124746167395,0.0147276320050278,0.015685288324341,0.0144723752910743,0.000215048328559675
72,"Indonesia",NaN,0.131393666791665,0.106021658752048,0.0632976940231096,0.00992399027277457,0.0597609041253631,0.0540099613442453,0.0441009249254478,0.00201948930358586,0.00464554685119034,0.00616426586025576,0.0293599711657544,0.0304000241666937,0.00601409288176402,0.0118989300655878
