,from_city,from_country,to_city,to_country,num_flights
65,Lima,Peru,Cuzco,Peru,5
66,Lima,Peru,Huánuco,Peru,2
67,Lima,Peru,Pucallpa,Peru,3
68,Lima,Peru,Tarapoto,Peru,3
69,Pucallpa,Peru,Iquitos,Peru,2
70,Pucallpa,Peru,Lima,Peru,3
71,Pucallpa,Peru,Tarapoto,Peru,1
72,Puerto Maldonado,Peru,Cuzco,Peru,2
73,Tarapoto,Peru,Iquitos,Peru,2
74,Tarapoto,Peru,Lima,Peru,3
75,Tarapoto,Peru,Pucallpa,Peru,1
76,Abidjan,Cote d'Ivoire,Bobo-dioulasso,Burkina Faso,1
77,Abidjan,Cote d'Ivoire,Ouagadougou,Burkina Faso,7
78,Accra,Ghana,Ouagadougou,Burkina Faso,1
79,Bamako,Mali,Abidjan,Cote d'Ivoire,3
80,Bamako,Mali,Dakar,Senegal,5
81,Bamako,Mali,Ouagadougou,Burkina Faso,3
82,Bobo-dioulasso,Burkina Faso,Abidjan,Cote d'Ivoire,1
83,Bobo-dioulasso,Burkina Faso,Ouagadougou,Burkina Faso,1
84,Cotonou,Benin,Lome,Togo,3
85,Cotonou,Benin,Ouagadougou,Burkina Faso,1
86,Dakar,Senegal,Bamako,Mali,5
87,Dakar,Senegal,Ouagadougou,Burkina Faso,1
88,Lome,Togo,Ouagadougou,Burkina Faso,2
89,Niamey,Niger,Ouagadougou,Burkina Faso,8
90,Ouagadougou,Burkina Faso,Abidjan,Cote d'Ivoire,7
91,Ouagadougou,Burkina Faso,Accra,Ghana,1
92,Ouagadougou,Burkina Faso,Bamako,Mali,3
93,Ouagadougou,Burkina Faso,Bobo-dioulasso,Burkina Faso,1
94,Ouagadougou,Burkina Faso,Cotonou,Benin,1
95,Ouagadougou,Burkina Faso,Dakar,Senegal,1
96,Ouagadougou,Burkina Faso,Lome,Togo,2
97,Ouagadougou,Burkina Faso,Niamey,Niger,7
98,Bogota,Colombia,Guayaquil,Ecuador,2
99,Bogota,Colombia,Quito,Ecuador,4
100,Cali,Colombia,Guayaquil,Ecuador,2
101,Guayaquil,Ecuador,Bogota,Colombia,2
102,Guayaquil,Ecuador,Cali,Colombia,2
103,Guayaquil,Ecuador,San Cristóbal,Ecuador,4
104,Guayaquil,Ecuador,Quito,Ecuador,5
105,Coca,Ecuador,Quito,Ecuador,2
106,San Cristóbal,Ecuador,Guayaquil,Ecuador,4
107,Quito,Ecuador,Bogota,Colombia,4
108,Quito,Ecuador,Guayaquil,Ecuador,8
109,Quito,Ecuador,Coca,Ecuador,2
110,Brindisi,Italy,Zurich,Switzerland,3
111,Bordeaux,France,Zurich,Switzerland,1
112,Bristol,United Kingdom,Zurich,Switzerland,1
113,Geneva,Switzerland,Gran Canaria,Spain,1
114,Larnaca,Cyprus,Zurich,Switzerland,3
115,Gran Canaria,Spain,Zurich,Switzerland,3
116,Marsa Alam,Egypt,Zurich,Switzerland,3
117,Tenerife,Spain,Geneva,Switzerland,2
118,Zurich,Switzerland,Brindisi,Italy,3
119,Zurich,Switzerland,Bordeaux,France,1
120,Zurich,Switzerland,Bristol,United Kingdom,1
121,Zurich,Switzerland,Larnaca,Cyprus,3
122,Zurich,Switzerland,Gran Canaria,Spain,3
123,Zurich,Switzerland,Marsa Alam,Egypt,3
124,Arvidsjaur,Sweden,Lycksele,Sweden,2
125,Stockholm,Sweden,Gallivare,Sweden,2
126,Stockholm,Sweden,Halmstad,Sweden,3
127,Stockholm,Sweden,Joenkoeping,Sweden,1
128,Stockholm,Sweden,Kramfors,Sweden,2
129,Stockholm,Sweden,Karlstad,Sweden,1
130,Stockholm,Sweden,Lycksele,Sweden,2
131,Stockholm,Sweden,Mariehamn,Finland,1
132,Stockholm,Sweden,Ornskoldsvik,Sweden,1
133,Stockholm,Sweden,Pori,Finland,1
134,Stockholm,Sweden, Torp,Sandefjord,1
135,Stockholm,Sweden,Visby,Sweden,4
136,Stockholm,Sweden,Vilhelmina,Sweden,2
137,Stockholm,Sweden,Vaxjo,Sweden,3
138,Gallivare,Sweden,Stockholm,Sweden,2
139,Gallivare,Sweden,Kramfors,Sweden,2
140,Halmstad,Sweden,Stockholm,Sweden,3
141,Halmstad,Sweden,Joenkoeping,Sweden,1
142,Halmstad,Sweden,Vaxjo,Sweden,2
143,Hemavan,Sweden,Vilhelmina,Sweden,2
144,Joenkoeping,Sweden,Stockholm,Sweden,1
145,Joenkoeping,Sweden,Halmstad,Sweden,1
146,Kruunupyy,Finland,Pori,Finland,1
147,Kramfors,Sweden,Stockholm,Sweden,2
148,Kramfors,Sweden,Gallivare,Sweden,2
149,Karlstad,Sweden,Stockholm,Sweden,1
150,Lycksele,Sweden,Arvidsjaur,Sweden,2
151,Lycksele,Sweden,Stockholm,Sweden,2
152,Mariehamn,Finland,Stockholm,Sweden,1
153,Mariehamn,Finland,Turku,Finland,1
154,Ornskoldsvik,Sweden,Stockholm,Sweden,1
155,Oslo,Norway,Vaxjo,Sweden,1
156,Pori,Finland,Stockholm,Sweden,1
157,Pori,Finland,Kruunupyy,Finland,1
158,Turku,Finland,Mariehamn,Finland,1
159, Torp,Sandefjord,Stockholm,Sweden,1
160,Visby,Sweden,Stockholm,Sweden,4
161,Vilhelmina,Sweden,Stockholm,Sweden,2
162,Vilhelmina,Sweden,Hemavan,Sweden,2
163,Vaxjo,Sweden,Stockholm,Sweden,4
164,Vaxjo,Sweden,Oslo,Norway,1
165,Kodiak,United States,Larsen Bay,United States,1
166,Larsen Bay,United States,Karluk,United States,1
167,Basco,Philippines,Manila,Philippines,2
168,Butuan,Philippines,Manila,Philippines,3
169,Cotabato,Philippines,Manila,Philippines,3
170,Ladag,Philippines,Manila,Philippines,3
171,Catarman,Philippines,Manila,Philippines,2
172,Dumaguete,Philippines,Manila,Philippines,3
173,Dubai,United Arab Emirates,Manila,Philippines,5
174,Romblon,Philippines,Manila,Philippines,3
175,Kalibo,Philippines,Manila,Philippines,6
176,Legazpi,Philippines,Manila,Philippines,3
177,Manila,Philippines,Basco,Philippines,2
178,Manila,Philippines,Butuan,Philippines,3
179,Manila,Philippines,Cotabato,Philippines,3
180,Manila,Philippines,Ladag,Philippines,3
181,Manila,Philippines,Catarman,Philippines,2
182,Manila,Philippines,Dumaguete,Philippines,3
183,Manila,Philippines,Dubai,United Arab Emirates,5
184,Manila,Philippines,Romblon,Philippines,3
185,Manila,Philippines,Kalibo,Philippines,6
186,Manila,Philippines,Legazpi,Philippines,3
187,Manila,Philippines,Caticlan,Philippines,3
188,Manila,Philippines,Ozamis,Philippines,3
189,Manila,Philippines,Puerto Princesa,Philippines,5
190,Manila,Philippines,Roxas City,Philippines,3
191,Manila,Philippines,Sangley Point,Philippines,2
192,Manila,Philippines,Tuguegarao,Philippines,3
193,Manila,Philippines,Zamboanga,Philippines,3
194,Caticlan,Philippines,Manila,Philippines,3
195,Ozamis,Philippines,Manila,Philippines,3
196,Puerto Princesa,Philippines,Manila,Philippines,5
197,Roxas City,Philippines,Manila,Philippines,3
198,Sangley Point,Philippines,Manila,Philippines,2
199,Tuguegarao,Philippines,Manila,Philippines,3
200,Zamboanga,Philippines,Manila,Philippines,3
201,Araguaina,Brazil,Palmas,Brazil,2
202,Barreiras,Brazil,Brasilia,Brazil,3
203,Barreiras,Brazil,Salvador,Brazil,3
204,Brasilia,Brazil,Barreiras,Brazil,3
205,Brasilia,Brazil,Sinop,Brazil,1
206,Brasilia,Brazil,Ribeirao Preto,Brazil,2
207,Cascavel,Brazil,Sao Paulo,Brazil,1
208,Cuiaba,Brazil,Goiania,Brazil,3
209,Cuiaba,Brazil,Sinop,Brazil,2
210,Campo Grande,Brazil,Dourados,Brazil,1
211,Dourados,Brazil,Campo Grande,Brazil,1
212,Dourados,Brazil,Sao Paulo,Brazil,1
213,Rio De Janeiro,Brazil,Ribeirao Preto,Brazil,2
214,Sao Paulo,Brazil,Cascavel,Brazil,1
215,Sao Paulo,Brazil,Dourados,Brazil,1
216,Sao Paulo,Brazil,Ribeirao Preto,Brazil,4
217,Sao Paulo,Brazil,Uberaba,Brazil,1
218,Sao Paulo,Brazil,Uberlandia,Brazil,5
219,Sao Paulo,Brazil,Vitória Da Conquista,Brazil,1
220,Goiania,Brazil,Cuiaba,Brazil,3
221,Goiania,Brazil,Palmas,Brazil,2
222,Goiania,Brazil,Ribeirao Preto,Brazil,2
223,Goiania,Brazil,Uberlandia,Brazil,2
224,Sinop,Brazil,Brasilia,Brazil,1
225,Sinop,Brazil,Cuiaba,Brazil,2
226,Belo Horizonte,Brazil,Ribeirao Preto,Brazil,3
227,Palmas,Brazil,Araguaina,Brazil,2
228,Palmas,Brazil,Goiania,Brazil,2
229,Ribeirao Preto,Brazil,Brasilia,Brazil,2
230,Ribeirao Preto,Brazil,Rio De Janeiro,Brazil,2
231,Ribeirao Preto,Brazil,Sao Paulo,Brazil,4
232,Ribeirao Preto,Brazil,Goiania,Brazil,2
233,Ribeirao Preto,Brazil,Belo Horizonte,Brazil,3
234,Ribeirao Preto,Brazil,Sao Jose Do Rio Preto,Brazil,3
235,Ribeirao Preto,Brazil,Uberlandia,Brazil,1
236,Sao Jose Do Rio Preto,Brazil,Ribeirao Preto,Brazil,3
237,Salvador,Brazil,Barreiras,Brazil,3
238,Salvador,Brazil,Vitória Da Conquista,Brazil,3
239,Uberaba,Brazil,Sao Paulo,Brazil,1
240,Uberaba,Brazil,Uberlandia,Brazil,1
241,Uberlandia,Brazil,Sao Paulo,Brazil,5
242,Uberlandia,Brazil,Goiania,Brazil,2
243,Uberlandia,Brazil,Ribeirao Preto,Brazil,1
244,Uberlandia,Brazil,Uberaba,Brazil,1
245,Vitória Da Conquista,Brazil,Sao Paulo,Brazil,1
246,Vitória Da Conquista,Brazil,Salvador,Brazil,3
247,Burlington,United States,Chicago,United States,2
248,Burlington,United States,St. Louis,United States,1
249,Decatur,United States,Chicago,United States,1
250,Decatur,United States,St. Louis,United States,1
251,Jonesboro,United States,St. Louis,United States,1
252,Chicago,United States,Burlington,United States,2
253,Chicago,United States,Decatur,United States,1
254,St. Louis,United States,Burlington,United States,1
255,St. Louis,United States,Decatur,United States,1
256,St. Louis,United States,Jonesboro,United States,1
257,Ketchikan,United States,Metakatla,United States,3
258,Metakatla,United States,Ketchikan,United States,3
259,Accra,Ghana,Dakar,Senegal,3
260,Accra,Ghana,Lagos,Nigeria,4
261,Accra,Ghana,Monrovia,Liberia,5
262,Barcelona,Spain,Banjul,Gambia,3
263,Banjul,Gambia,Barcelona,Spain,3
264,Banjul,Gambia,Dakar,Senegal,4
265,Banjul,Gambia,Freetown,Sierra Leone,2
266,Conakry,Guinea,Bissau,Guinea-Bissau,2
267,Dakar,Senegal,Accra,Ghana,3
268,Dakar,Senegal,Banjul,Gambia,4
269,Dakar,Senegal,Douala,Cameroon,1
270,Dakar,Senegal,Freetown,Sierra Leone,2
271,Dakar,Senegal,Lagos,Nigeria,1
272,Dakar,Senegal,Bissau,Guinea-Bissau,2
273,Douala,Cameroon,Dakar,Senegal,1
274,Douala,Cameroon,Lagos,Nigeria,2
275,Freetown,Sierra Leone,Banjul,Gambia,2
276,Freetown,Sierra Leone,Dakar,Senegal,2
277,Freetown,Sierra Leone,London,United Kingdom,2
278,Freetown,Sierra Leone,Monrovia,Liberia,8
279,London,United Kingdom,Freetown,Sierra Leone,2
280,Lagos,Nigeria,Accra,Ghana,5
281,Lagos,Nigeria,Dakar,Senegal,1
282,Lagos,Nigeria,Douala,Cameroon,2
283,Lagos,Nigeria,Monrovia,Liberia,1
284,Bissau,Guinea-Bissau,Conakry,Guinea,2
285,Bissau,Guinea-Bissau,Dakar,Senegal,2
286,Monrovia,Liberia,Accra,Ghana,5
287,Monrovia,Liberia,Freetown,Sierra Leone,7
288,Monrovia,Liberia,Lagos,Nigeria,1
289,Akulivik,Canada,Ivujivik,Canada,1
290,Akulivik,Canada,Puvirnituq,Canada,1
291,Kangiqsualujjuaq,Canada,Quujjuaq,Canada,1
292,La Grande Riviere,Canada,Kuujjuarapik,Canada,1
293,La Grande Riviere,Canada,Puvirnituq,Canada,1
294,La Grande Riviere,Canada,Montreal,Canada,1
295,Kuujjuarapik,Canada,La Grande Riviere,Canada,1
296,Kuujjuarapik,Canada,Inukjuak,Canada,1
297,Kuujjuarapik,Canada,Sanikiluaq,Canada,1
298,Kuujjuarapik,Canada,Umiujaq,Canada,1
299,Kuujjuarapik,Canada,Montreal,Canada,1
300,Kuujjuarapik,Canada,Rouyn,Canada,1
301,Ivujivik,Canada,Akulivik,Canada,1
302,Ivujivik,Canada,Salluit,Canada,1
303,Kangirsuk,Canada,Aupaluk,Canada,1
304,Kangirsuk,Canada,Quaqtaq,Canada,1
305,Kangirsuk,Canada,Quujjuaq,Canada,1
306,Schefferville,Canada,Quebec,Canada,1
307,Schefferville,Canada,Quujjuaq,Canada,1
308,Schefferville,Canada,Wabush,Canada,2
309,Schefferville,Canada,Sept-iles,Canada,1
310,Inukjuak,Canada,Puvirnituq,Canada,1
311,Inukjuak,Canada,Umiujaq,Canada,1
312,Inukjuak,Canada,Quujjuaq,Canada,1
313,Aupaluk,Canada,Kangirsuk,Canada,1
314,Aupaluk,Canada,Tasiujaq,Canada,1
315,Aupaluk,Canada,Quujjuaq,Canada,1
316,Puvirnituq,Canada,Akulivik,Canada,1
317,Puvirnituq,Canada,La Grande Riviere,Canada,1
318,Puvirnituq,Canada,Inukjuak,Canada,1
319,Puvirnituq,Canada,Quujjuaq,Canada,1
320,Quebec,Canada,Schefferville,Canada,1
321,Quebec,Canada,Montreal,Canada,5
322,Quaqtaq,Canada,Kangirsuk,Canada,1
323,Quaqtaq,Canada,Kangiqsujuaq,Canada,1
324,Sanikiluaq,Canada,Kuujjuarapik,Canada,1
325,Sanikiluaq,Canada,Umiujaq,Canada,1
326,Tasiujaq,Canada,Aupaluk,Canada,1
327,Tasiujaq,Canada,Quujjuaq,Canada,1
328,Umiujaq,Canada,Kuujjuarapik,Canada,1
329,Umiujaq,Canada,Inukjuak,Canada,1
330,Umiujaq,Canada,Sanikiluaq,Canada,1
331,Montreal,Canada,La Grande Riviere,Canada,1
332,Montreal,Canada,Kuujjuarapik,Canada,1
333,Montreal,Canada,Quebec,Canada,5
334,Montreal,Canada,Rouyn,Canada,2
335,Rouyn,Canada,Kuujjuarapik,Canada,1
336,Rouyn,Canada,Montreal,Canada,2
337,Quujjuaq,Canada,Kangiqsualujjuaq,Canada,1
338,Quujjuaq,Canada,Kuujjuarapik,Canada,1
339,Quujjuaq,Canada,Kangirsuk,Canada,1
340,Quujjuaq,Canada,Schefferville,Canada,1
341,Quujjuaq,Canada,Inukjuak,Canada,1
342,Quujjuaq,Canada,Aupaluk,Canada,1
343,Quujjuaq,Canada,Puvirnituq,Canada,1
344,Quujjuaq,Canada,Tasiujaq,Canada,1
345,Kangiqsujuaq,Canada,Quaqtaq,Canada,1
346,Kangiqsujuaq,Canada,Salluit,Canada,1
347,Wabush,Canada,Schefferville,Canada,2
348,Wabush,Canada,Sept-iles,Canada,5
349,Salluit,Canada,Ivujivik,Canada,1
350,Salluit,Canada,Kangiqsujuaq,Canada,1
351,Sept-iles,Canada,Schefferville,Canada,1
352,Sept-iles,Canada,Wabush,Canada,5
353,Djibouti,Djibouti,Dubai,United Arab Emirates,4
354,Djibouti,Djibouti,Jeddah,Saudi Arabia,1
355,Djibouti,Djibouti,Mogadishu,Somalia,4
356,Mogadishu,Somalia,Nairobi,Kenya,1
357,Nairobi,Kenya,Mogadishu,Somalia,3
358,Bangkok,Thailand,Singapore,Singapore,11
359,Darwin,Australia,Singapore,Singapore,4
360,Haikou,China,Singapore,Singapore,3
361,Hangzhou,China,Singapore,Singapore,1
362,Hong Kong,Hong Kong,Singapore,Singapore,8
363,Phuket,Thailand,Singapore,Singapore,6
364,Osaka,Japan,Manila,Philippines,3
365,Osaka,Japan,Taipei,Taiwan,8
366,Kuala Lumpur,Malaysia,Singapore,Singapore,12
367,Manila,Philippines,Osaka,Japan,3
368,Manila,Philippines,Singapore,Singapore,5
369,Penang,Malaysia,Singapore,Singapore,6
370,Perth,Australia,Singapore,Singapore,9
371,Phnom-penh,Cambodia,Singapore,Singapore,5
372,Siem-reap,Cambodia,Singapore,Singapore,4
373,Yangon,Burma,Singapore,Singapore,6
374,Ho Chi Minh City,Vietnam,Singapore,Singapore,5
375,Singapore,Singapore,Bangkok,Thailand,10
376,Singapore,Singapore,Darwin,Australia,4
377,Singapore,Singapore,Haikou,China,3
378,Singapore,Singapore,Hangzhou,China,1
379,Singapore,Singapore,Hong Kong,Hong Kong,8
380,Singapore,Singapore,Phuket,Thailand,6
381,Singapore,Singapore,Kuala Lumpur,Malaysia,12
382,Singapore,Singapore,Manila,Philippines,5
383,Singapore,Singapore,Penang,Malaysia,6
384,Singapore,Singapore,Perth,Australia,9
385,Singapore,Singapore,Phnom-penh,Cambodia,4
386,Singapore,Singapore,Siem-reap,Cambodia,4
387,Singapore,Singapore,Yangon,Burma,6
388,Singapore,Singapore,Ho Chi Minh City,Vietnam,5
389,Singapore,Singapore,Shantou,China,1
390,Singapore,Singapore,Taipei,Taiwan,7
391,Shantou,China,Singapore,Singapore,1
392,Taipei,Taiwan,Osaka,Japan,8
393,Taipei,Taiwan,Singapore,Singapore,7
394,Altenrhein,Switzerland,Marina Di Campo,Italy,1
395,Dresden,Germany,Zurich,Switzerland,1
396,Duesseldorf,Germany,Friedrichshafen,Germany,1
397,Marina Di Campo,Italy,Altenrhein,Switzerland,1
398,Marina Di Campo,Italy,Friedrichshafen,Germany,1
399,Marina Di Campo,Italy,Munich,Germany,1
400,Marina Di Campo,Italy,Zurich,Switzerland,1
401,Friedrichshafen,Germany,Duesseldorf,Germany,1
402,Friedrichshafen,Germany,Marina Di Campo,Italy,1
403,Friedrichshafen,Germany,Hamburg,Germany,1
404,Friedrichshafen,Germany,Olbia,Italy,1
405,Friedrichshafen,Germany,Berlin,Germany,1
406,Friedrichshafen,Germany,Zadar,Croatia,1
407,Memmingen,Germany,Naples,Italy,1
408,Graz,Austria,Zurich,Switzerland,1
409,Hamburg,Germany,Friedrichshafen,Germany,1
410,Munich,Germany,Marina Di Campo,Italy,1
411,Naples,Italy,Memmingen,Germany,1
412,Olbia,Italy,Friedrichshafen,Germany,1
413,Salzburg,Austria,Zurich,Switzerland,1
414,Berlin,Germany,Friedrichshafen,Germany,1
415,Zadar,Croatia,Friedrichshafen,Germany,1
416,Zurich,Switzerland,Dresden,Germany,1
417,Zurich,Switzerland,Marina Di Campo,Italy,1
418,Zurich,Switzerland,Graz,Austria,1
419,Zurich,Switzerland,Salzburg,Austria,1
420,Atlanta,United States,Lewisburg,United States,1
421,Atlanta,United States,Macon,United States,1
422,Atlanta,United States,Meridian,United States,1
423,Atlanta,United States,Muscle Shoals,United States,1
424,Atlanta,United States,Hattiesburg/Laurel,United States,1
425,Atlanta,United States,Tupelo,United States,1
426,Alice Town,Bahamas,Fort Lauderdale,United States,2
427,North Eleuthera,Bahamas,Fort Lauderdale,United States,2
428,North Eleuthera,Bahamas,West Palm Beach,United States,2
429,Key West,United States,Fort Lauderdale,United States,2
430,Key West,United States,Fort Myers,United States,2
431,Key West,United States,Tampa,United States,4
432,Fort Lauderdale,United States,Alice Town,Bahamas,2
433,Fort Lauderdale,United States,North Eleuthera,Bahamas,2
434,Fort Lauderdale,United States,Key West,United States,2
435,Fort Lauderdale,United States,Freeport,Bahamas,3
436,Fort Lauderdale,United States,Great Exuma,Bahamas,2
437,Fort Lauderdale,United States,Governor's Harbor,Bahamas,2
438,Fort Lauderdale,United States,Orlando,United States,3
439,Fort Lauderdale,United States,Marsh Harbor,Bahamas,3
440,Fort Lauderdale,United States,Treasure Cay,Bahamas,2
441,Fort Lauderdale,United States,Tampa,United States,5
442,Freeport,Bahamas,Fort Lauderdale,United States,3
443,Great Exuma,Bahamas,Fort Lauderdale,United States,2
444,Great Exuma,Bahamas,Governor's Harbor,Bahamas,2
445,Governor's Harbor,Bahamas,Fort Lauderdale,United States,2
446,Greenville,United States,Tupelo,United States,1
447,Gainesville,United States,Orlando,United States,2
448,Gainesville,United States,Tampa,United States,2
449,Jacksonville,United States,Marsh Harbor,Bahamas,2
450,Jacksonville,United States,Tampa,United States,2
451,Lewisburg,United States,Atlanta,United States,1
452,Macon,United States,Atlanta,United States,1
453,Macon,United States,Orlando,United States,1
454,Orlando,United States,Fort Lauderdale,United States,3
455,Orlando,United States,Gainesville,United States,2
456,Orlando,United States,Macon,United States,1
457,Orlando,United States,Marsh Harbor,Bahamas,2
458,Orlando,United States,Pensacola,United States,2
459,Orlando,United States,Fort Myers,United States,2
460,Orlando,United States,Tallahassee,United States,2
461,Meridian,United States,Atlanta,United States,1
462,Marsh Harbor,Bahamas,Fort Lauderdale,United States,3
463,Marsh Harbor,Bahamas,Jacksonville,United States,2
464,Marsh Harbor,Bahamas,Orlando,United States,2
465,Marsh Harbor,Bahamas,West Palm Beach,United States,3
466,Muscle Shoals,United States,Atlanta,United States,1
467,West Palm Beach,United States,North Eleuthera,Bahamas,2
468,West Palm Beach,United States,Marsh Harbor,Bahamas,3
469,West Palm Beach,United States,Tampa,United States,2
470,Hattiesburg/Laurel,United States,Atlanta,United States,1
471,Pensacola,United States,Orlando,United States,2
472,Pensacola,United States,Tampa,United States,2
473,Fort Myers,United States,Key West,United States,2
474,Fort Myers,United States,Orlando,United States,2
475,Treasure Cay,Bahamas,Fort Lauderdale,United States,2
476,Tallahassee,United States,Orlando,United States,2
477,Tallahassee,United States,Tampa,United States,2
478,Tampa,United States,Key West,United States,4
479,Tampa,United States,Fort Lauderdale,United States,5
480,Tampa,United States,Gainesville,United States,2
481,Tampa,United States,Jacksonville,United States,2
482,Tampa,United States,West Palm Beach,United States,2
483,Tampa,United States,Pensacola,United States,2
484,Tampa,United States,Tallahassee,United States,2
485,Tupelo,United States,Atlanta,United States,1
486,Tupelo,United States,Greenville,United States,1
487,Amsterdam,Netherlands,El Aroui,Morocco,2
488,Amsterdam,Netherlands,Tanger,Morocco,2
489,Barcelona,Spain,Casablanca,Morocco,4
490,Barcelona,Spain,El Aroui,Morocco,4
491,Barcelona,Spain,Tanger,Morocco,4
492,Bergamo,Italy,Casablanca,Morocco,1
493,Bologna,Italy,Casablanca,Morocco,2
494,Brussels,Belgium,Casablanca,Morocco,3
495,Brussels,Belgium,El Aroui,Morocco,2
496,Brussels,Belgium,Tanger,Morocco,2
497,Cologne,Germany,El Aroui,Morocco,2
498,Casablanca,Morocco,Barcelona,Spain,4
499,Casablanca,Morocco,Bergamo,Italy,1
500,Casablanca,Morocco,Bologna,Italy,2
501,Casablanca,Morocco,Brussels,Belgium,3
502,Casablanca,Morocco,Cuneo,Italy,1
503,Casablanca,Morocco,London,United Kingdom,3
504,Casablanca,Morocco,Lyon,France,3
505,Casablanca,Morocco,Montpellier,France,1
506,Casablanca,Morocco,Istanbul,Turkey,3
507,Casablanca,Morocco,Toulouse,France,3
508,Casablanca,Morocco,Treviso,Italy,1
509,Cuneo,Italy,Casablanca,Morocco,1
510,Fes,Morocco,Montpellier,France,1
511,London,United Kingdom,Casablanca,Morocco,3
512,London,United Kingdom,Tanger,Morocco,2
513,Lyon,France,Casablanca,Morocco,3
514,Montpellier,France,Casablanca,Morocco,1
515,Montpellier,France,Fes,Morocco,1
516,Montpellier,France,El Aroui,Morocco,1
517,El Aroui,Morocco,Amsterdam,Netherlands,2
518,El Aroui,Morocco,Barcelona,Spain,4
519,El Aroui,Morocco,Brussels,Belgium,2
520,El Aroui,Morocco,Cologne,Germany,2
521,El Aroui,Morocco,Montpellier,France,1
522,El Aroui,Morocco,Palma de Mallorca,Spain,1
523,Palma de Mallorca,Spain,El Aroui,Morocco,1
524,Istanbul,Turkey,Casablanca,Morocco,3
525,Toulouse,France,Casablanca,Morocco,3
526,Tanger,Morocco,Amsterdam,Netherlands,2
527,Tanger,Morocco,Barcelona,Spain,4
528,Tanger,Morocco,Brussels,Belgium,2
529,Tanger,Morocco,London,United Kingdom,2
530,Treviso,Italy,Casablanca,Morocco,1
531,Oranjestad,Aruba,Paraguana,Venezuela,1
532,Oranjestad,Aruba,Maracaibo,Venezuela,2
533,Kralendijk,Netherlands Antilles,Willemstad,Netherlands Antilles,4
534,Willemstad,Netherlands Antilles,Oranjestad,Aruba,3
535,Paraguana,Venezuela,Oranjestad,Aruba,1
