id,Country,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06
118,Peru,2231175,2230846,2232332,2233835,2235356,2236893,2238446,2240015,2241599,2243198,2244813,2246441,2248085,2249742,2251413,2253098,2254796,2256508,2258232,2259970,2261720,2263484,2265260,2267049,2268850,2270665,2272492,2274331,2276183,2278049,2279926,2281817,2283721,2285637,2287566,2289509,2291465,2293434,2295416,2297411,2299420,2301442,2303478,2305528,2307591,2309667,2311758,2313862,2315980,2318111,2320257,2322416,2324588,2326775,2328975,2331189,2333417,2335658,2337912,2340180,2342462,2344757,2347065,2349386,2351720,2354067,2356426,2358799,2361184,2363581,2365990,2368411,2370844,2373289,2375745,2378213,2380691,2383181,2385680,2388191,2390711,2393242,2395782,2398332,2400890,2403458,2406034,2408619,2411211,2413812,2416420,2419035,2421657,2424285,2426920,2429560,2432204,2434852,2437503,2440155,2442808
119,Philippines,2830387,2830804,2831649,2832444,2833191,2833894,2834553,2835171,2835752,2836297,2836808,2837287,2837736,2838156,2838548,2838915,2839256,2839575,2839871,2840147,2840403,2840641,2840862,2841066,2841256,2841432,2841595,2841745,2841884,2842012,2842131,2842240,2842341,2842434,2842519,2842598,2842670,2842736,2842797,2842853,2842904,2842952,2842995,2843034,2843070,2843103,2843134,2843162,2843187,2843210,2843231,2843250,2843268,2843284,2843299,2843312,2843325,2843336,2843346,2843355,2843364,2843371,2843378,2843385,2843390,2843396,2843400,2843405,2843409,2843412,2843416,2843419,2843421,2843424,2843426,2843428,2843430,2843432,2843433,2843434,2843436,2843437,2843438,2843439,2843440,2843440,2843441,2843442,2843442,2843443,2843443,2843444,2843444,2843444,2843445,2843445,2843445,2843446,2843446,2843446,2843446
120,Poland,3461066,3488023,3511985,3536362,3561135,3586280,3611779,3637609,3663748,3690177,3716874,3743808,3770948,3798262,3825721,3853292,3880945,3908650,3936371,3964076,3991731,4019303,4046757,4074061,4101180,4128086,4154750,4181144,4207239,4233007,4258419,4283446,4308070,4332274,4356040,4379349,4402183,4424525,4446356,4467672,4488465,4508730,4528461,4547653,4566299,4584394,4601941,4618945,4635410,4651340,4666739,4681611,4695960,4709797,4723130,4735971,4748330,4760216,4771640,4782612,4793143,4803247,4812936,4822221,4831116,4839633,4847783,4855580,4863034,4870158,4876964,4883464,4889670,4895593,4901245,4906635,4911773,4916671,4921338,4925784,4930020,4934054,4937895,4941550,4945028,4948337,4951485,4954480,4957329,4960038,4962613,4965060,4967386,4969597,4971698,4973707,4975637,4977506,4979335,4981132,4982907
121,Portugal,1136446,1151723,1161207,1172877,1186513,1201900,1218819,1237052,1256382,1276590,1297460,1318991,1339588,1344571,1359402,1377256,1395090,1412903,1430336,1447030,1462626,1476765,1489088,1499234,1506846,1512285,1515913,1518092,1519184,1519551,1519555,1519558,1519560,1519562,1519563,1519563,1519563,1519563,1519563,1519563,1519563,1519563,1519563,1519563,1519563,1519563,1519563,1522382,1525322,1534036,1544450,1554845,1567164,1579471,1588887,1598008,1607005,1614541,1616370,1618156,1619897,1621593,1623243,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714,1623714
122,Qatar,242824,242972,243117,243262,243408,243554,243700,243846,243993,244140,244287,244434,244581,244728,244876,245023,245171,245319,245466,245614,245761,245909,246056,246203,246351,246497,246644,246791,246937,247083,247228,247374,247519,247663,247808,247952,248095,248238,248381,248523,248664,248805,248945,249085,249224,249363,249501,249638,249775,249911,250046,250181,250315,250448,250580,250712,250843,250973,251102,251230,251357,251484,251610,251735,251858,251981,252104,252225,252345,252464,252583,252700,252816,252932,253046,253160,253272,253383,253494,253603,253712,253819,253925,254031,254135,254238,254341,254442,254542,254641,254739,254836,254932,255028,255122,255215,255307,255399,255490,255581,255672
123,Romania,1773845,1774677,1776514,1778236,1779847,1781353,1782761,1784075,1785302,1786447,1787515,1788512,1789441,1790306,1791113,1791864,1792564,1793217,1793825,1794393,1794921,1795413,1795870,1796296,1796693,1797063,1797407,1797727,1798025,1798302,1798559,1798799,1799023,1799231,1799424,1799604,1799771,1799927,1800072,1800206,1800332,1800448,1800557,1800657,1800751,1800838,1800919,1800995,1801065,1801130,1801191,1801247,1801300,1801349,1801394,1801436,1801476,1801512,1801546,1801578,1801608,1801635,1801660,1801684,1801706,1801727,1801746,1801764,1801780,1801795,1801810,1801823,1801835,1801846,1801857,1801866,1801875,1801884,1801891,1801898,1801905,1801911,1801916,1801921,1801926,1801930,1801934,1801938,1801941,1801944,1801947,1801949,1801951,1801953,1801955,1801957,1801959,1801960,1801961,1801963,1801964
124,Russian Federation,9337575,9368226,9401185,9433821,9466128,9498102,9529737,9561029,9591971,9622560,9652790,9682662,9712178,9741340,9770149,9798607,9826715,9854475,9881891,9908967,9935705,9962110,9988186,10013937,10039365,10064476,10089275,10113765,10137952,10161841,10185435,10208740,10231760,10254501,10276968,10299164,10321097,10342769,10364187,10385355,10406277,10426957,10447401,10467613,10487596,10507356,10526897,10546221,10565333,10584236,10602935,10621431,10639731,10657835,10675748,10693472,10711010,10728365,10745540,10762538,10779361,10796011,10812492,10828805,10844952,10860936,10876758,10892422,10907929,10923279,10938476,10953522,10968417,10983163,10997763,11012218,11026528,11040696,11054723,11068611,11082360,11095973,11109450,11122792,11136002,11149079,11162026,11174843,11187531,11200092,11212527,11224837,11237023,11249085,11261025,11272861,11284610,11296289,11307924,11319523,11331097
125,Rwanda,100311,100318,100331,100343,100355,100366,100376,100386,100395,100403,100411,100419,100426,100433,100439,100445,100451,100456,100461,100466,100471,100475,100479,100483,100486,100490,100493,100496,100498,100501,100503,100505,100507,100509,100511,100512,100514,100515,100516,100518,100519,100520,100521,100522,100523,100523,100524,100525,100525,100526,100526,100527,100527,100528,100528,100529,100529,100529,100529,100530,100530,100530,100530,100530,100530,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531,100531
126,Saint Lucia,12954,12959,12967,12975,12982,12989,12995,13002,13008,13014,13019,13025,13030,13035,13040,13044,13048,13053,13057,13060,13064,13067,13071,13074,13077,13080,13083,13085,13088,13090,13093,13095,13097,13099,13101,13103,13105,13106,13108,13109,13111,13112,13114,13115,13116,13117,13118,13119,13120,13121,13122,13123,13123,13124,13125,13126,13126,13127,13127,13128,13128,13129,13129,13130,13130,13130,13130,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131,13131
127,Saint Vincent and the Grenadines,5500,5515,5532,5548,5565,5581,5597,5612,5628,5643,5658,5673,5687,5702,5716,5729,5743,5756,5769,5782,5795,5808,5820,5832,5844,5856,5867,5879,5890,5901,5911,5922,5932,5942,5952,5962,5971,5981,5990,5999,6007,6016,6024,6032,6041,6048,6056,6064,6071,6078,6085,6092,6099,6105,6112,6118,6124,6130,6136,6142,6148,6153,6158,6164,6169,6174,6178,6183,6188,6192,6197,6201,6205,6209,6213,6217,6221,6225,6228,6232,6235,6238,6242,6245,6248,6251,6254,6257,6260,6262,6265,6267,6270,6272,6275,6277,6279,6282,6284,6286,6288
