"SUMLEV","REGION","DIVISION","STATE","NAME","SEX","AGE","POPEST2010_CIV","POPEST2011_CIV","POPEST2012_CIV","POPEST2013_CIV","POPEST2014_CIV","POPEST2015_CIV","POPEST2016_CIV","POPEST2017_CIV","POPEST2018_CIV","POPEST2019_CIV","POPEST2020_CIV","POPEST2021_CIV","POPEST2022_CIV"
10,0,0,0,"United States",0,16,4313102,4246996,4174117,4160125,4167118,4183336,4269134,4218938,4128089,4152752,4296018,4271255,4325808
10,0,0,0,"United States",0,17,4375161,4333579,4266813,4194180,4182434,4189682,4206688,4290204,4236541,4143313,4261986,4300348,4289134
10,0,0,0,"United States",0,18,4474675,4386742,4344235,4276397,4207285,4194784,4201026,4213184,4281128,4224622,4389789,4250287,4306995
10,0,0,0,"United States",0,19,4520965,4472418,4380797,4332658,4270785,4202743,4187749,4190096,4198903,4275410,4637871,4361668,4248648
10,0,0,0,"United States",0,20,4501156,4537602,4487460,4391070,4348935,4287289,4216469,4197947,4198344,4205905,4566288,4632683,4377077
10,0,0,0,"United States",0,21,4312478,4520483,4559821,4505018,4412200,4371094,4307072,4232392,4211211,4208647,4379729,4565107,4653835
10,0,0,0,"United States",0,22,4207935,4336015,4546994,4585787,4533084,4442753,4399196,4331021,4251513,4227227,4289212,4383752,4591534
10,0,0,0,"United States",0,23,4140486,4238509,4369900,4581555,4622652,4572173,4479616,4432586,4358140,4273951,4243772,4300191,4416770
10,0,0,0,"United States",0,24,4170242,4172656,4272823,4404932,4620024,4663940,4609660,4514089,4460681,4383023,4254464,4254560,4334040
10,0,0,0,"United States",0,25,4220726,4200786,4205659,4306139,4441237,4659715,4701515,4642425,4538575,4482009,4326783,4264077,4288113
10,0,0,0,"United States",0,26,4098202,4248597,4231712,4237387,4340445,4480193,4696018,4734641,4667606,4560183,4416755,4335761,4297404
10,0,0,0,"United States",0,27,4179511,4124739,4278462,4263109,4271953,4379265,4515980,4729624,4758074,4686683,4492236,4426112,4368313
10,0,0,0,"United States",0,28,4195204,4203455,4151522,4306256,4294969,4308449,4413111,4546538,4752620,4777530,4599441,4500129,4456074
10,0,0,0,"United States",0,29,4162887,4216363,4227468,4176884,4335012,4328743,4339453,4440893,4566185,4768889,4671858,4605944,4528340
10,0,0,0,"United States",0,30,4260625,4181471,4237038,4250280,4203276,4365897,4357122,4364782,4458121,4579149,4690786,4677490,4632017
10,0,0,0,"United States",0,31,4002651,4276541,4199199,4256153,4272495,4231000,4390660,4380122,4379455,4468338,4560479,4694778,4701315
10,0,0,0,"United States",0,32,3931156,4016402,4291605,4215702,4275179,4296841,4253742,4411346,4393672,4389268,4482047,4563642,4715417
10,0,0,0,"United States",0,33,3899444,3943409,4028936,4305589,4232025,4296740,4317814,4272210,4423832,4402540,4433217,4483441,4581501
10,0,0,0,"United States",0,34,3790701,3909747,3954453,4040466,4319651,4251306,4315229,4334573,4282873,4431050,4443891,4433846,4498258
10,0,0,0,"United States",0,35,3916850,3799691,3919357,3964450,4051850,4335829,4266194,4328049,4342107,4286366,4443497,4443253,4446299
10,0,0,0,"United States",0,36,3799833,3923712,3807176,3927308,3974071,4065123,4347409,4276057,4333827,4344252,4352572,4441677,4453492
10,0,0,0,"United States",0,37,3865495,3805207,3929750,3813832,3935378,3985637,4074475,4355503,4279845,4334514,4420113,4349786,4449757
10,0,0,0,"United States",0,38,4048834,3870296,3810650,3935536,3821541,3945827,3994905,4082114,4359793,4281270,4418227,4416809,4356558
10,0,0,0,"United States",0,39,4293809,4054258,3875880,3816932,3943981,3832354,3955439,4002314,4086337,4360431,4361878,4415457,4423185
10,0,0,0,"United States",0,40,4360214,4296819,4058338,3880425,3823290,3952260,3839523,3960608,4004042,4084826,4347765,4357545,4418645
10,0,0,0,"United States",0,41,4140009,4361002,4298596,4061304,3884398,3830129,3957892,3843464,3961355,4001800,4172147,4342095,4358478
10,0,0,0,"United States",0,42,4062080,4140055,4361614,4299787,4064045,3889639,3834455,3960840,3842882,3957851,4081029,4165683,4341662
10,0,0,0,"United States",0,43,4075553,4061565,4139608,4360747,4300681,4067539,3892280,3836247,3959674,3839604,4033865,4074528,4164521
10,0,0,0,"United States",0,44,4162408,4074046,4060022,4137585,4359742,4302051,4068447,3892469,3833269,3954568,3900399,4026269,4071915
10,0,0,0,"United States",0,45,4424254,4158676,4070874,4056178,4134600,4358347,4300121,4065572,3887552,3826098,3948574,3891816,4021530
10,0,0,0,"United States",0,46,4517316,4418289,4153215,4065124,4051238,4131033,4353997,4294852,4057731,3877729,3876473,3938333,3885624
10,0,0,0,"United States",0,47,4524909,4509123,4410668,4145982,4059120,4046296,4125543,4346821,4285869,4047538,3930283,3864918,3929903
10,0,0,0,"United States",0,48,4526161,4514514,4499276,4400943,4137652,4052253,4038947,4116914,4336289,4273796,4122187,3917083,3854861
10,0,0,0,"United States",0,49,4592240,4513774,4502820,4487441,4390146,4128826,4043167,4028981,4105054,4322336,4369344,4106802,3904489
10,0,0,0,"United States",0,50,4640724,4577288,4499801,4488526,4473759,4377780,4116918,4030665,4015201,4089808,4303165,4350878,4091054
10,0,0,0,"United States",0,51,4494781,4623800,4560677,4482787,4472097,4458562,4363110,4102284,4015172,3998785,4143159,4283291,4331953
10,0,0,0,"United States",0,52,4477252,4476283,4604853,4541350,4464661,4455048,4441628,4346309,4085244,3997517,4056152,4122195,4263194
10,0,0,0,"United States",0,53,4436665,4456802,4455888,4583937,4520940,4445434,4435532,4421717,4326486,4065272,4071632,4033578,4100684
10,0,0,0,"United States",0,54,4286262,4414356,4434829,4433610,4561363,4498985,4423484,4413283,4398779,4303161,4132097,4046829,4010334
10,0,0,0,"United States",0,55,4257126,4262427,4390462,4410318,4409250,4537144,4474171,4398371,4387467,4372379,4292877,4104399,4020597
10,0,0,0,"United States",0,56,4091673,4232286,4237351,4363644,4383645,4383027,4510558,4447120,4370503,4358788,4395025,4261192,4075143
10,0,0,0,"United States",0,57,3945267,4065704,4205695,4209762,4335352,4355316,4354752,4481547,4416789,4339886,4397984,4359901,4228049
10,0,0,0,"United States",0,58,3801396,3918272,4038397,4176500,4180366,4305112,4324970,4323674,4448730,4383662,4413885,4359660,4322372
10,0,0,0,"United States",0,59,3693436,3773428,3890151,4008264,4145698,4149180,4272506,4291082,4288690,4412463,4406614,4372198,4318358
10,0,0,0,"United States",0,60,3616176,3664807,3744136,3859120,3976404,4112825,4115492,4236539,4253513,4250928,4330769,4361305,4327284
10,0,0,0,"United States",0,61,3519713,3586293,3634135,3711889,3825822,3941875,4077118,4078285,4196625,4213230,4249652,4282441,4313427
10,0,0,0,"United States",0,62,3494816,3487780,3554266,3600615,3677663,3790306,3905055,4038190,4037561,4153771,4213997,4198606,4231238
10,0,0,0,"United States",0,63,3651938,3459734,3453622,3518974,3564836,3640734,3752134,3864558,3994992,3993191,4138724,4159430,4144160
10,0,0,0,"United States",0,64,2705821,3612799,3422882,3415946,3482009,3526552,3600879,3710047,3820084,3948601,3953127,4080993,4101902
10,0,0,0,"United States",0,65,2678337,2674482,3572074,3382794,3377015,3442274,3485781,3558031,3664537,3772844,3861028,3894680,4020640
10,0,0,0,"United States",0,66,2621208,2645036,2641524,3527437,3340997,3335226,3400128,3441721,3511071,3615850,3725930,3800329,3833262
10,0,0,0,"United States",0,67,2693586,2585132,2609735,2605645,3480451,3296079,3290872,3354408,3393514,3461413,3572464,3663524,3737326
10,0,0,0,"United States",0,68,2359712,2653003,2546630,2571233,2567789,3430360,3248519,3242740,3304652,3342834,3438063,3508475,3598472
10,0,0,0,"United States",0,69,2167749,2320959,2610154,2504866,2530744,2527153,3376693,3196696,3190525,3251426,3272158,3371921,3441722
10,0,0,0,"United States",0,70,2062464,2129010,2280583,2563820,2461599,2486735,2483776,3318766,3140795,3135014,3123674,3206572,3305273
10,0,0,0,"United States",0,71,1953481,2022334,2089101,2236842,2516548,2414508,2441159,2437215,3257223,3083271,3041945,3056728,3141497
10,0,0,0,"United States",0,72,1883723,1911797,1980840,2045368,2191830,2464193,2366033,2391762,2387143,3191829,2977810,2970775,2988811
10,0,0,0,"United States",0,73,1750230,1839650,1868580,1935290,2000206,2141679,2410060,2313395,2338608,2334191,3135873,2901153,2898395
10,0,0,0,"United States",0,74,1685941,1705172,1794041,1821192,1888259,1950011,2090106,2351500,2256938,2282672,2222663,3048516,2823041
10,0,0,0,"United States",0,75,1631850,1638416,1658797,1744115,1772510,1836257,1898429,2034126,2288559,2197748,2131082,2153675,2959404
10,0,0,0,"United States",0,76,1481683,1581271,1589343,1608013,1693003,1718782,1782780,1842540,1974067,2222302,2071413,2059273,2083434
10,0,0,0,"United States",0,77,1449166,1430842,1529155,1535726,1555999,1636558,1663622,1725115,1782832,1910947,2088946,1994297,1986144
10,0,0,0,"United States",0,78,1402200,1394653,1378612,1472255,1480786,1498697,1578783,1604246,1663683,1720403,1787580,2003370,1915774
10,0,0,0,"United States",0,79,1354930,1343895,1338619,1321687,1414075,1420533,1440113,1516665,1541038,1599424,1603928,1706449,1916244
10,0,0,0,"United States",0,80,1319720,1292585,1283898,1277632,1263607,1350403,1358909,1377172,1450531,1474935,1467675,1523339,1623833
10,0,0,0,"United States",0,81,1212523,1252424,1228498,1218844,1215729,1200285,1285388,1292841,1310292,1381382,1362968,1385951,1441506
10,0,0,0,"United States",0,82,1158187,1143577,1183577,1159181,1152982,1148211,1135666,1215835,1222929,1240760,1273223,1278439,1303339
10,0,0,0,"United States",0,83,1081228,1084670,1073222,1109146,1089142,1081259,1079613,1066869,1142652,1150775,1136497,1185453,1193273
10,0,0,0,"United States",0,84,986815,1004524,1010063,997537,1034488,1013571,1009041,1007070,994990,1067248,1048421,1049070,1097594
10,0,0,0,"United States",0,85,5543516,5697459,5865164,5993714,6133246,6263096,6383008,6468926,6538026,6599467,6483182,6467137,6485868
10,0,0,0,"United States",0,999,308091904,310365831,312637503,314817379,317160398,319542480,321869270,323931513,325651278,327143032,330396837,330901569,332200066
10,0,0,0,"United States",1,0,2018516,2028518,2007826,2009790,2024604,2037728,2026072,1985633,1955778,1921001,1876349,1825237,1882867
10,0,0,0,"United States",1,1,2020320,2025565,2035547,2016044,2018835,2034037,2047270,2035250,1993267,1963261,1899515,1879051,1834594
10,0,0,0,"United States",1,2,2088642,2026825,2031978,2042931,2024415,2028128,2043478,2056068,2042649,2000102,1946596,1902665,1888149
10,0,0,0,"United States",1,3,2101237,2094203,2032318,2038041,2050238,2032589,2036834,2051634,2062901,2048651,1988444,1949671,1911373
10,0,0,0,"United States",1,4,2084295,2106228,2099226,2037855,2044770,2057652,2040555,2044539,2058006,2068251,2038216,1991469,1958112
10,0,0,0,"United States",1,5,2076552,2089397,2111297,2104609,2044132,2051812,2065281,2048118,2050649,2063176,2055471,2041144,1999653
10,0,0,0,"United States",1,6,2079427,2081794,2094484,2116598,2110609,2050863,2059138,2072597,2054029,2055583,2054468,2058269,2048936
10,0,0,0,"United States",1,7,2063163,2084406,2086653,2099578,2122609,2117169,2057966,2065915,2078197,2058425,2043682,2057137,2065602
10,0,0,0,"United States",1,8,2054455,2068032,2089213,2091612,2105426,2129067,2124156,2064602,2071493,2082403,2050583,2046297,2064359
10,0,0,0,"United States",1,9,2107026,2059259,2072917,2094266,2097377,2111955,2136011,2130968,2070373,2075719,2078045,2053150,2053396
10,0,0,0,"United States",1,10,2142160,2111828,2064182,2077929,2099920,2103824,2118906,2142742,2136727,2074439,2118292,2080465,2059922
10,0,0,0,"United States",1,11,2104799,2147013,2116820,2069297,2083718,2106264,2110600,2125259,2148146,2140657,2162942,2120662,2087189
10,0,0,0,"United States",1,12,2103656,2109678,2152024,2122002,2075116,2090047,2113160,2116965,2130613,2152085,2246985,2165265,2127260
10,0,0,0,"United States",1,13,2104928,2108841,2114843,2157355,2128065,2081713,2097241,2119845,2122616,2134771,2243801,2249174,2171725
10,0,0,0,"United States",1,14,2122875,2110556,2114385,2120660,2164213,2135404,2089327,2104341,2125846,2127210,2204304,2245932,2255757
10,0,0,0,"United States",1,15,2170381,2129212,2116779,2121065,2128668,2172730,2144039,2097409,2111119,2131232,2184583,2206536,2253101
10,0,0,0,"United States",1,16,2214929,2178633,2137213,2125197,2130552,2138534,2182893,2153352,2105283,2117603,2200309,2187033,2214662
10,0,0,0,"United States",1,17,2251929,2225607,2188883,2147623,2136786,2142092,2150567,2193754,2162400,2113160,2183307,2201838,2196114
10,0,0,0,"United States",1,18,2292514,2253602,2226704,2189261,2150069,2138433,2142970,2147947,2179923,2146977,2229388,2171090,2200168
10,0,0,0,"United States",1,19,2292954,2281275,2239577,2208022,2174964,2136892,2123045,2124628,2128733,2168344,2345229,2202677,2161329
10,0,0,0,"United States",1,20,2275374,2297454,2285330,2239995,2213087,2179814,2139703,2123459,2125025,2128869,2315620,2337881,2208225
10,0,0,0,"United States",1,21,2177492,2281865,2307218,2291033,2248371,2222175,2187447,2144734,2127953,2128013,2224191,2311927,2347914
10,0,0,0,"United States",1,22,2121562,2186763,2294430,2318969,2304028,2263278,2235741,2198096,2152905,2134516,2180983,2224808,2325395
10,0,0,0,"United States",1,23,2086485,2135895,2205044,2312935,2338741,2325146,2283052,2253239,2212384,2164047,2157710,2187315,2242647
10,0,0,0,"United States",1,24,2099551,2101547,2153599,2223454,2333255,2360953,2344475,2300897,2267805,2225244,2165200,2163229,2205016
10,0,0,0,"United States",1,25,2119300,2112819,2117972,2170329,2241840,2353776,2379902,2360818,2312508,2277738,2199848,2169375,2179832
10,0,0,0,"United States",1,26,2050017,2131026,2127968,2133461,2187581,2261940,2371667,2396251,2372789,2322669,2245361,2203339,2185150
10,0,0,0,"United States",1,27,2087264,2061317,2145730,2143924,2151192,2207759,2279455,2388290,2406714,2381036,2282625,2249168,2218445
10,0,0,0,"United States",1,28,2091365,2097183,2074158,2159627,2160525,2170652,2224400,2294290,2399149,2415882,2330839,2285547,2262950
10,0,0,0,"United States",1,29,2072604,2100229,2108866,2086959,2174447,2178784,2186411,2238202,2303455,2406631,2363154,2333003,2298764
10,0,0,0,"United States",1,30,2130760,2080278,2110105,2120157,2100272,2190846,2193288,2199111,2246212,2309231,2371108,2364805,2344966
10,0,0,0,"United States",1,31,1992812,2137221,2088718,2119697,2131556,2115433,2203419,2205140,2205849,2250471,2307079,2371932,2375788
10,0,0,0,"United States",1,32,1955272,1998297,2144222,2097039,2129632,2145122,2127092,2214165,2211631,2210404,2266276,2307449,2381331
10,0,0,0,"United States",1,33,1934852,1960308,2003762,2150959,2105183,2141305,2155731,2136348,2220205,2215793,2245575,2265633,2315178
10,0,0,0,"United States",1,34,1881892,1938617,1965025,2009030,2157750,2115315,2150155,2163553,2140815,2223038,2252486,2244687,2271876
10,0,0,0,"United States",1,35,1947770,1885067,1942731,1969513,2014461,2166090,2122183,2155655,2165952,2141343,2249365,2250901,2249978
10,0,0,0,"United States",1,36,1881270,1949885,1887783,1945725,1973732,2021115,2171321,2126461,2157720,2166317,2199830,2247004,2254744
10,0,0,0,"United States",1,37,1907477,1882583,1951756,1890011,1948960,1979417,2025243,2174695,2127465,2157122,2232926,2196977,2249628
10,0,0,0,"United States",1,38,2000860,1908746,1884392,1953836,1893184,1954009,1983474,2028421,2176211,2127563,2230817,2229902,2199118
10,0,0,0,"United States",1,39,2122287,2003335,1911248,1887498,1958272,1899034,1958708,1987182,2030428,2176242,2202246,2228499,2232258
10,0,0,0,"United States",1,40,2165945,2123320,2005266,1913466,1890978,1962790,1902359,1961031,1987648,2029225,2194315,2198978,2228915
10,0,0,0,"United States",1,41,2053664,2165504,2123850,2006609,1915497,1894513,1965196,1903862,1960821,1986019,2099989,2190249,2198217
10,0,0,0,"United States",1,42,2014035,2053089,2165465,2124203,2007993,1918353,1896450,1966171,1902769,1958166,2053134,2095715,2188932
10,0,0,0,"United States",1,43,2015284,2013390,2052409,2164570,2124689,2010271,1919693,1897121,1965261,1900702,2025131,2048840,2094122
10,0,0,0,"United States",1,44,2060798,2014067,2011982,2050772,2163716,2125542,2010450,1919465,1894953,1961809,1959163,2020133,2046344
10,0,0,0,"United States",1,45,2189753,2058111,2011943,2009203,2048583,2162689,2123945,2008388,1916258,1890575,1982936,1953670,2016392
10,0,0,0,"United States",1,46,2228219,2185725,2054659,2008098,2005686,2046045,2159537,2120601,2003301,1910065,1945679,1976415,1949117
10,0,0,0,"United States",1,47,2229007,2222964,2180869,2049891,2004051,2002380,2042210,2154874,2115046,1997204,1970753,1938273,1970531
10,0,0,0,"United States",1,48,2228157,2222310,2216570,2174451,2044402,1999733,1997523,2036687,2148355,2107849,2070791,1962264,1931323
10,0,0,0,"United States",1,49,2256746,2220228,2214826,2208940,2167493,2038837,1993962,1991278,2029371,2139940,2200257,2060958,1953718
10,0,0,0,"United States",1,50,2286421,2247248,2211324,2205581,2200239,2159766,2031109,1986072,1982755,2019978,2165979,2188526,2050568
10,0,0,0,"United States",1,51,2206402,2275536,2236504,2200399,2195117,2190703,2150392,2021943,1976411,1972731,2081935,2153274,2176094
10,0,0,0,"United States",1,52,2194514,2194570,2263436,2224295,2188980,2184455,2179778,2139760,2011138,1965520,2034926,2068551,2139920
10,0,0,0,"United States",1,53,2168788,2181246,2181518,2249988,2211269,2176729,2171835,2166963,2127214,1998537,2034820,2020453,2054084
10,0,0,0,"United States",1,54,2089967,2154307,2167184,2167247,2235432,2197068,2162535,2157738,2152481,2112651,2061722,2019075,2005132
10,0,0,0,"United States",1,55,2073861,2074554,2138965,2151477,2151577,2219774,2181177,2146690,2141569,2136057,2130950,2044175,2001967
10,0,0,0,"United States",1,56,1983386,2057680,2058350,2121808,2134271,2134769,2202788,2163981,2129128,2123728,2178287,2110894,2025179
10,0,0,0,"United States",1,57,1909072,1966628,2040373,2040758,2103570,2116182,2116691,2184506,2145029,2110153,2173068,2156064,2089520
10,0,0,0,"United States",1,58,1837919,1891554,1949018,2021618,2021772,2084318,2096756,2097170,2163993,2124417,2177257,2148977,2132139
10,0,0,0,"United States",1,59,1778866,1819860,1873393,1929603,2001681,2001687,2063517,2075349,2075359,2141511,2168153,2151273,2123068
10,0,0,0,"United States",1,60,1741871,1760436,1801142,1853635,1909136,1980498,1980147,2040779,2052085,2052005,2127407,2140039,2123268
10,0,0,0,"United States",1,61,1691151,1722903,1740920,1780741,1832249,1886972,1957558,1956750,2016154,2027168,2077864,2097419,2110152
10,0,0,0,"United States",1,62,1678920,1671430,1702814,1719768,1758790,1809625,1863696,1933148,1931566,1989765,2054226,2046277,2065800
10,0,0,0,"United States",1,63,1753775,1657424,1650547,1680613,1697054,1735391,1785599,1838491,1906427,1904218,2008901,2020534,2012922
10,0,0,0,"United States",1,64,1291701,1730141,1635113,1627328,1657526,1673052,1710366,1759611,1811079,1877817,1906460,1973555,1985499
10,0,0,0,"United States",1,65,1272603,1272721,1705641,1610889,1603679,1633170,1647842,1683999,1731714,1782235,1854078,1870779,1936851
10,0,0,0,"United States",1,66,1239739,1252680,1252964,1678870,1585934,1578360,1607455,1621086,1655483,1702259,1779636,1817260,1833694
10,0,0,0,"United States",1,67,1270086,1218434,1231556,1231563,1650963,1559017,1551846,1580106,1592202,1625658,1698320,1741993,1779401
10,0,0,0,"United States",1,68,1105655,1246229,1195778,1208858,1209042,1621193,1530823,1523407,1550597,1562284,1628676,1659920,1703295
10,0,0,0,"United States",1,69,1006737,1083154,1221309,1171633,1185055,1185028,1589614,1500591,1492913,1519365,1538979,1589344,1620660
10,0,0,0,"United States",1,70,954009,984611,1060085,1194694,1146491,1159527,1159751,1556208,1468361,1460690,1464230,1500219,1550197
10,0,0,0,"United States",1,71,903186,931307,961966,1035117,1167497,1119456,1133265,1133054,1520975,1435502,1421278,1424869,1461923
10,0,0,0,"United States",1,72,862491,879745,907957,937249,1009358,1137665,1091765,1105202,1104604,1483874,1390894,1379735,1385218
10,0,0,0,"United States",1,73,794611,837965,855530,882467,911804,981096,1107054,1062158,1075313,1074873,1472748,1346396,1337885
10,0,0,0,"United States",1,74,758808,769818,812726,829222,856285,883982,952290,1074474,1030767,1044220,1023912,1422088,1301548
10,0,0,0,"United States",1,75,725649,732887,744416,785343,802253,827728,855611,921531,1039842,998201,973938,984592,1370943
10,0,0,0,"United States",1,76,653554,698436,706342,716911,757425,772985,798658,825299,888814,1003758,940255,933436,944972
10,0,0,0,"United States",1,77,630865,626543,670655,677706,688949,727164,743208,767691,793206,854801,941978,897201,892694
10,0,0,0,"United States",1,78,602785,602295,598992,640693,648535,658564,696305,711470,734934,759927,797030,894670,853900
10,0,0,0,"United States",1,79,573881,572628,573211,569391,610259,617005,627710,663515,677988,701020,705755,752752,847177
10,0,0,0,"United States",1,80,549205,542156,541946,542002,539379,577486,585062,595050,629062,643443,636905,662444,708405
10,0,0,0,"United States",1,81,496003,515544,509877,509116,510488,507194,544320,551309,560752,593477,586081,593668,619177
10,0,0,0,"United States",1,82,462694,462132,481525,475515,476120,476778,474690,509366,515989,525519,537853,541848,550678
10,0,0,0,"United States",1,83,422872,427528,428149,445458,441164,440980,442957,440649,473036,480017,472166,492781,498171
10,0,0,0,"United States",1,84,375569,387116,392513,392411,409786,405022,406107,407912,405657,436287,427986,428219,448728
10,0,0,0,"United States",1,85,1810377,1883056,1962734,2029069,2099470,2169767,2234625,2287279,2332518,2374207,2250183,2260428,2283827
10,0,0,0,"United States",1,999,151030625,152182117,153347238,154463125,155662842,156900205,158078603,159120358,159972821,160704646,163600732,163787366,164385738
10,0,0,0,"United States",2,0,1932979,1934746,1918905,1921621,1930369,1946416,1937196,1896804,1871130,1841226,1793514,1744894,1800246
10,0,0,0,"United States",2,1,1937584,1941203,1942663,1927304,1930724,1939791,1956316,1946614,1904650,1878996,1819752,1796331,1754223
10,0,0,0,"United States",2,2,2002157,1944673,1948161,1950116,1935600,1939544,1949179,1965193,1954093,1911720,1860858,1822932,1805213
10,0,0,0,"United States",2,3,2010632,2008226,1950689,1954798,1957614,1943688,1948151,1957426,1972152,1960386,1897032,1863985,1831463
10,0,0,0,"United States",2,4,1993216,2016024,2013623,1956684,1961637,1965133,1951686,1955855,1963901,1977745,1949754,1899994,1872113
10,0,0,0,"United States",2,5,1988101,1998373,2021052,2019136,1962991,1968677,1972741,1959115,1962140,1969055,1968340,1952567,1907645
10,0,0,0,"United States",2,6,1993604,1993359,2003376,2026325,2025129,1969565,1975831,1979831,1965077,1966849,1957581,1971042,1959962
10,0,0,0,"United States",2,7,1979937,1998993,1998602,2008875,2032338,2031542,1976389,1982515,1985450,1969451,1955319,1960174,1978127
10,0,0,0,"United States",2,8,1971169,1985281,2004340,2004421,2015050,2038698,2037986,1982528,1987716,1989491,1955631,1957835,1966982
10,0,0,0,"United States",2,9,2018387,1976595,1990745,2010171,2010609,2021471,2045058,2044117,1987834,1991601,1972550,1958085,1964533
10,0,0,0,"United States",2,10,2044915,2023940,1982199,1996357,2016411,2017209,2028238,2051472,2049679,1991833,2016963,1974924,1964625
10,0,0,0,"United States",2,11,2010708,2050585,2029755,1987825,2002428,2022633,2023812,2034569,2056959,2053678,2061023,2019304,1981375
10,0,0,0,"United States",2,12,2009641,2016509,2056466,2035446,1993711,2008578,2029205,2030081,2039990,2060956,2138963,2063244,2025551
10,0,0,0,"United States",2,13,2014688,2015383,2022068,2062095,2041565,2000331,2015641,2035642,2035641,2044162,2134311,2141055,2069159
10,0,0,0,"United States",2,14,2022654,2020693,2021101,2028021,2068613,2048610,2007870,2022540,2041625,2040262,2101039,2136483,2147276
10,0,0,0,"United States",2,15,2060533,2029406,2027053,2027712,2035532,2076776,2057103,2015600,2029202,2047010,2081574,2103449,2143465
10,0,0,0,"United States",2,16,2098173,2068363,2036904,2034928,2036566,2044802,2086241,2065586,2022806,2035149,2095709,2084222,2111146
10,0,0,0,"United States",2,17,2123232,2107972,2077930,2046557,2045648,2047590,2056121,2096450,2074141,2030153,2078679,2098510,2093020
10,0,0,0,"United States",2,18,2182161,2133140,2117531,2087136,2057216,2056351,2058056,2065237,2101205,2077645,2160401,2079197,2106827
10,0,0,0,"United States",2,19,2228011,2191143,2141220,2124636,2095821,2065851,2064704,2065468,2070170,2107066,2292642,2158991,2087319
10,0,0,0,"United States",2,20,2225782,2240148,2202130,2151075,2135848,2107475,2076766,2074488,2073319,2077036,2250668,2294802,2168852
10,0,0,0,"United States",2,21,2134986,2238618,2252603,2213985,2163829,2148919,2119625,2087658,2083258,2080634,2155538,2253180,2305921
10,0,0,0,"United States",2,22,2086373,2149252,2252564,2266818,2229056,2179475,2163455,2132925,2098608,2092711,2108229,2158944,2266139
10,0,0,0,"United States",2,23,2054001,2102614,2164856,2268620,2283911,2247027,2196564,2179347,2145756,2109904,2086062,2112876,2174123
10,0,0,0,"United States",2,24,2070691,2071109,2119224,2181478,2286769,2302987,2265185,2213192,2192876,2157779,2089264,2091331,2129024
10,0,0,0,"United States",2,25,2101426,2087967,2087687,2135810,2199397,2305939,2321613,2281607,2226067,2204271,2126935,2094702,2108281
10,0,0,0,"United States",2,26,2048185,2117571,2103744,2103926,2152864,2218253,2324351,2338390,2294817,2237514,2171394,2132422,2112254
10,0,0,0,"United States",2,27,2092247,2063422,2132732,2119185,2120761,2171506,2236525,2341334,2351360,2305647,2209611,2176944,2149868
