,Region,03-17-2020,03-20-2020,03-27-2020,03-22-2020,03-29-2020,04-1-2020,03-18-2020,04-3-2020,03-30-2020,03-21-2020,03-28-2020,04-10-2020,03-24-2020,04-5-2020,04-6-2020,04-7-2020,04-11-2020,04-8-2020,04-2-2020,03-26-2020,04-9-2020,03-23-2020,03-16-2020,03-31-2020,04-4-2020,04-12-2020,03-19-2020,03-25-2020,04-13-2020
103,West Vernon,1,1,6,2,8,15,1,22,9,2,8,53,4,27,33,42,53,50,17,6,53,2,1,13,26,61,1,5,65
104,Exposition Park,0,0,2,0,4,8,0,17,4,0,4,43,1,28,32,35,43,36,13,2,40,1,0,7,22,47,0,1,49
105,South Park,0,0,3,0,4,11,0,15,4,0,4,36,1,22,23,26,36,27,12,2,34,1,0,5,17,39,0,1,41
106,Vernon Central,0,0,3,1,3,5,0,8,4,1,3,35,1,21,22,24,35,30,7,1,31,1,0,5,15,40,0,1,41
107,Central,0,0,2,0,4,13,0,18,6,0,3,36,0,24,24,33,36,32,16,0,35,0,0,11,20,39,0,0,41
108,Boyle Heights,0,5,8,5,10,15,5,28,11,5,8,53,5,37,40,42,53,47,20,7,50,5,0,11,36,57,0,5,58
109,Lincoln Heights,0,0,1,0,2,5,0,6,2,0,1,15,1,11,12,13,15,14,6,1,14,1,0,4,11,18,0,0,18
110,El Sereno,0,0,0,0,3,4,0,12,3,0,1,35,0,18,20,22,35,24,9,0,28,0,0,3,16,35,0,0,37
111,Highland Park,0,0,5,0,8,9,0,11,9,0,6,27,1,19,21,22,27,24,10,3,27,0,0,9,15,32,0,2,35
112,Eagle Rock,1,1,4,1,8,11,1,14,8,1,8,34,2,21,22,25,34,29,13,3,33,2,0,10,18,35,1,2,36
113,Glassell Park,0,0,4,0,7,16,0,22,8,0,7,52,0,30,33,39,52,44,18,2,49,0,0,11,28,56,0,1,57
114,Mt. Washington,0,0,0,0,0,0,0,6,0,0,0,12,1,8,9,10,12,11,0,3,12,0,0,0,8,13,0,2,13
115,Echo Park,0,1,0,1,0,6,0,8,5,1,0,10,2,9,9,9,10,9,6,7,9,2,0,5,8,9,1,4,9
116,Downtown,0,1,8,1,10,15,0,17,11,1,9,24,3,19,21,20,24,23,15,7,24,2,0,14,18,27,0,6,27
117,University Park,0,1,4,1,5,14,0,16,6,1,5,24,1,16,17,20,24,22,15,6,24,1,0,12,15,26,1,4,26
118,West Adams,1,1,6,1,7,14,1,16,9,2,7,34,3,21,25,26,34,30,15,6,32,1,1,12,20,42,1,4,44
119,Harvard Heights,0,0,0,0,0,5,0,8,0,0,0,16,1,9,9,10,16,12,6,2,15,0,0,0,9,21,0,1,21
120,Pico-Union,0,0,5,0,4,9,0,13,5,0,4,47,1,21,24,31,47,37,9,5,42,0,0,7,16,49,0,2,53
121,Westlake,0,0,1,1,5,13,0,23,7,1,2,48,1,31,34,37,48,40,20,1,44,1,0,10,27,56,0,1,64
122,Wilshire Center,0,0,4,0,5,12,0,17,8,0,4,40,1,23,27,30,40,33,15,2,38,1,0,8,19,46,0,2,47
123,Little Bangladesh,0,0,2,0,4,8,0,11,5,0,2,28,0,16,18,22,28,26,9,1,28,0,0,5,14,31,0,0,32
124,Koreatown,1,1,7,2,10,18,1,26,13,1,10,47,5,32,34,38,47,39,21,7,43,3,1,14,27,49,1,5,49
125,Hancock Park,0,2,14,5,18,33,0,33,26,4,17,45,7,38,39,45,45,45,34,10,45,6,0,30,37,46,2,8,47
126,Melrose,9,11,49,17,71,104,10,121,82,12,56,192,26,140,147,164,192,168,113,47,184,19,2,100,129,199,11,33,200
127,East Hollywood,0,0,3,1,6,12,0,14,10,0,5,37,1,16,18,18,37,23,12,2,29,1,0,13,16,45,0,1,48
128,Silverlake,1,0,12,3,16,25,1,38,18,3,14,71,5,55,58,61,71,64,25,11,70,4,1,20,46,76,0,6,78
129,Temple-Beaudry,0,0,5,1,5,11,0,15,8,0,5,48,1,24,27,33,48,37,12,6,37,1,0,10,18,53,0,3,54
