id,Country,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11
20,Bosnia and Herzegovina,113392,113553,113695,113830,113962,114093,114225,114355,114486,114617,114744,114871,114995,115122,115245,115369,115491,115615,115744,115873,116008,116144,116277,116411,116542,116675,116805,116935,117062,117190,117317,117442,117567,117691,117816,117937,118062,118190,118319,118450,118582,118718,118857,118997,119138,119280,119425,119573,119719,119871,120021,120174,120329,120484,120639,120789,120936,121079,121220,121357,121491,121621,121751,121876,121998,122116,122234,122348,122459,122568,122675,122779,122881,122980,123076,123171,123263,123353,123442,123528,123612,123694,123774,123852,123929,124002,124075,124146,124215,124282,124347,124411,124474,124535,124594,124651
21,Brazil,7873830,7905842,7937928,7970295,8003139,8036059,8068554,8100516,8132181,8163787,8195320,8226730,8257931,8288884,8319615,8350167,8380557,8410769,8440792,8470613,8500236,8529665,8558909,8587961,8616822,8645527,8674171,8702748,8731259,8759702,8788073,8816265,8844257,8872052,8899647,8927044,8954243,8981243,9008044,9034648,9061053,9087258,9113267,9139077,9164692,9190106,9215326,9240348,9265173,9289803,9314236,9338476,9362519,9386368,9410024,9433486,9456755,9479832,9502718,9525412,9547916,9570229,9592293,9614086,9635612,9656873,9677873,9698610,9719091,9739317,9759288,9779010,9798483,9817711,9836695,9855439,9873943,9892211,9910246,9928049,9945623,9962970,9980094,9996994,10013675,10030138,10046388,10062423,10078249,10093863,10109265,10124457,10139438,10154209,10168773,10183130
22,Brunei,172,173,173,174,175,175,176,177,177,178,178,179,180,180,181,181,182,183,183,184,184,185,185,186,186,187,187,188,188,189,189,190,190,191,191,192,192,193,193,194,194,195,195,195,196,196,197,197,197,198,198,199,199,199,200,200,201,201,201,202,202,202,203,203,203,204,204,204,205,205,205,206,206,206,207,207,207,208,208,208,209,209,209,209,210,210,210,210,211,211,211,211,212,212,212,212
23,Bulgaria,206392,206971,207533,208071,208594,209101,209584,210035,210461,210868,211258,211631,211988,212326,212647,212955,213248,213529,213796,214053,214297,214530,214753,214967,215171,215368,215555,215735,215907,216072,216231,216383,216530,216670,216805,216936,217060,217181,217297,217409,217516,217620,217722,217824,217926,218030,218134,218238,218343,218449,218555,218663,218772,218881,218987,219090,219192,219291,219388,219484,219578,219670,219760,219849,219936,220022,220105,220188,220269,220349,220427,220505,220581,220656,220728,220803,220873,220944,221013,221081,221149,221214,221281,221344,221409,221471,221533,221595,221655,221715,221775,221834,221892,221950,222008,222065
24,Burkina Faso,7563,7643,7715,7786,7856,7929,8003,8073,8144,8212,8279,8346,8410,8475,8538,8600,8660,8719,8777,8834,8888,8942,8993,9044,9092,9138,9184,9226,9268,9306,9343,9379,9411,9442,9470,9495,9518,9539,9557,9573,9584,9594,9602,9604,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606
25,Cape Verde,12052,12080,12106,12133,12160,12187,12213,12238,12264,12288,12312,12335,12359,12381,12404,12426,12447,12468,12489,12509,12529,12549,12568,12586,12606,12624,12642,12660,12677,12694,12711,12729,12745,12760,12777,12792,12808,12825,12839,12853,12869,12884,12898,12913,12927,12940,12954,12968,12980,12995,13007,13019,13033,13046,13059,13071,13083,13096,13107,13119,13131,13142,13153,13164,13176,13187,13199,13210,13220,13231,13241,13252,13261,13273,13282,13292,13302,13312,13322,13331,13341,13350,13360,13369,13378,13388,13397,13406,13414,13424,13433,13443,13452,13461,13470,13479
26,Cambodia,385,386,387,388,388,389,390,391,392,393,393,394,395,396,396,397,398,398,399,400,401,402,403,404,404,405,406,407,408,408,409,410,411,411,412,413,414,414,415,416,416,417,418,418,419,420,420,420,421,421,422,423,423,424,424,425,425,426,427,427,428,428,429,429,430,430,431,431,432,432,433,433,434,434,435,435,436,436,437,437,437,438,438,439,439,440,440,440,441,441,442,442,442,443,443,443
27,Cameroon,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848,26848
28,Canada,631466,637786,644081,650348,656585,662793,668965,675097,681234,687341,693419,699467,705484,711472,717430,723361,729259,735125,740958,746758,752525,758257,763955,769617,775243,780833,786385,791901,797379,802819,808220,813583,818906,824189,829431,834635,839796,844917,849997,855035,860031,864986,869899,874768,879596,884380,889123,893823,898478,903090,907660,912186,916669,921109,925505,929857,934167,938433,942654,946834,950970,955062,959111,963117,967081,971001,974878,978713,982506,986256,989963,993630,997253,1000835,1004376,1007875,1011334,1014752,1018128,1021464,1024762,1028017,1031233,1034411,1037548,1040648,1043708,1046730,1049714,1052660,1055568,1058437,1061269,1064062,1066818,1069534
29,Central African Republic,4963,4963,4963,4963,4963,4963,4963,4963,4963,4963,4963,4964,4964,4964,4965,4965,4965,4965,4965,4965,4965,4965,4965,4966,4966,4966,4967,4967,4967,4967,4967,4967,4967,4968,4968,4968,4969,4969,4969,4970,4970,4970,4970,4971,4971,4971,4972,4972,4972,4972,4973,4973,4973,4974,4974,4974,4975,4975,4975,4975,4976,4976,4976,4976,4976,4976,4976,4976,4976,4976,4976,4977,4977,4977,4977,4977,4977,4977,4978,4978,4978,4978,4978,4978,4978,4978,4978,4978,4978,4978,4979,4979,4979,4979,4980,4980
30,Chad,2328,2351,2374,2398,2424,2448,2475,2499,2524,2550,2576,2603,2630,2657,2684,2712,2740,2768,2796,2826,2856,2885,2915,2945,2976,3006,3038,3070,3103,3135,3168,3201,3235,3269,3303,3338,3372,3409,3445,3482,3518,3556,3594,3632,3670,3710,3749,3790,3830,3871,3913,3956,3998,4041,4085,4129,4174,4218,4265,4312,4358,4406,4455,4504,4554,4604,4654,4706,4758,4811,4864,4917,4972,5027,5082,5140,5197,5255,5315,5374,5434,5496,5557,5620,5684,5749,5815,5881,5947,6015,6084,6153,6224,6295,6366,6440
31,Chile,625483,627368,629257,631147,633051,634947,636829,638683,640502,642311,644109,645893,647662,649411,651143,652858,654557,656241,657910,659562,661197,662818,664422,666011,667585,669143,670685,672212,673724,675222,676703,678171,679623,681060,682484,683891,685286,686666,688032,689384,690721,692045,693354,694650,695932,697201,698457,699698,700927,702144,703347,704536,705713,706878,708029,709169,710295,711410,712513,713603,714681,715748,716802,717846,718876,719896,720904,721902,722888,723863,724826,725780,726722,727653,728574,729485,730385,731274,732154,733023,733883,734733,735573,736402,737222,738033,738835,739626,740409,741183,741948,742703,743448,744183,744908,745622
32,China,96398,96434,96468,96503,96536,96568,96596,96621,96644,96665,96684,96702,96718,96734,96748,96760,96772,96783,96792,96802,96810,96817,96825,96831,96836,96842,96847,96851,96855,96859,96863,96865,96867,96870,96873,96875,96877,96878,96880,96881,96881,96882,96883,96884,96885,96886,96887,96887,96887,96887,96887,96887,96887,96888,96888,96889,96889,96890,96890,96891,96891,96891,96891,96891,96891,96892,96892,96892,96892,96892,96893,96893,96893,96893,96893,96893,96893,96893,96893,96894,96894,96894,96894,96894,96894,96894,96894,96894,96894,96894,96894,96894,96894,96894,96894,96894
33,Colombia,1719771,1731658,1743510,1755375,1767353,1779326,1791255,1803091,1814792,1826437,1838025,1849553,1861009,1872388,1883684,1894900,1906041,1917106,1928093,1939000,1949823,1960565,1971224,1981801,1992294,2002703,2013027,2023265,2033417,2043483,2053462,2063353,2073157,2082874,2092501,2102041,2111491,2120852,2130126,2139309,2148402,2157407,2166322,2175147,2183883,2192528,2201085,2209553,2217932,2226221,2234420,2242531,2250554,2258489,2266335,2274093,2281764,2289347,2296843,2304254,2311577,2318814,2325967,2333035,2340017,2346915,2353731,2360462,2367111,2373677,2380161,2386565,2392888,2399131,2405294,2411379,2417383,2423311,2429162,2434935,2440634,2446257,2451805,2457278,2462677,2468004,2473259,2478442,2483555,2488596,2493568,2498472,2503307,2508074,2512772,2517403
34,Congo,7127,7128,7128,7130,7131,7133,7134,7136,7137,7137,7138,7138,7138,7139,7139,7139,7139,7140,7140,7140,7140,7140,7140,7140,7140,7140,7141,7141,7141,7141,7141,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142
35,Democratic Republic of the Congo,18487,18634,18778,18920,19063,19209,19357,19503,19649,19796,19944,20092,20241,20389,20540,20689,20838,20990,21141,21293,21444,21597,21750,21904,22057,22210,22366,22521,22676,22832,22989,23145,23302,23459,23617,23776,23934,24093,24253,24413,24573,24733,24895,25056,25218,25380,25543,25707,25870,26033,26198,26362,26527,26692,26858,27024,27191,27357,27524,27692,27859,28027,28196,28365,28534,28703,28873,29043,29213,29384,29556,29727,29898,30071,30242,30415,30588,30762,30936,31109,31282,31456,31631,31806,31981,32157,32332,32508,32685,32862,33037,33215,33393,33574,33755,33939
36,Costa Rica,175038,175552,176082,176641,177220,177799,178370,178928,179476,180028,180584,181137,181688,182235,182778,183318,183858,184397,184933,185466,185996,186525,187050,187574,188095,188614,189131,189644,190156,190667,191173,191677,192179,192679,193177,193672,194164,194655,195143,195628,196111,196591,197069,197545,198017,198487,198956,199421,199884,200345,200803,201259,201712,202162,202611,203056,203499,203940,204379,204814,205248,205679,206107,206534,206958,207378,207796,208214,208626,209038,209447,209852,210257,210657,211056,211453,211848,212240,212629,213016,213400,213782,214162,214539,214913,215285,215656,216024,216389,216752,217113,217471,217828,218183,218538,218890
37,Cote d'Ivoire,22963,23017,23073,23129,23187,23244,23302,23360,23415,23472,23529,23586,23643,23698,23755,23810,23867,23923,23978,24035,24091,24147,24202,24258,24314,24370,24424,24479,24536,24590,24646,24700,24755,24811,24865,24920,24974,25029,25084,25138,25193,25246,25300,25355,25409,25463,25516,25570,25625,25678,25732,25785,25838,25892,25946,25999,26051,26105,26158,26210,26264,26315,26369,26422,26473,26526,26578,26630,26683,26736,26788,26839,26892,26944,26995,27048,27099,27151,27202,27253,27305,27356,27407,27459,27509,27561,27612,27663,27713,27763,27815,27867,27920,27974,28028,28083
38,Croatia,216286,217059,217829,218606,219419,220242,221067,221880,222682,223487,224297,225112,225924,226736,227534,228307,229059,229789,230499,231198,231889,232555,233196,233814,234416,234996,235555,236093,236611,237110,237590,238053,238498,238927,239340,239738,240121,240489,240844,241185,241514,241830,242134,242427,242709,242981,243242,243493,243735,243968,244192,244408,244615,244821,245026,245231,245433,245635,245828,246016,246196,246372,246540,246703,246861,247013,247159,247301,247437,247570,247699,247821,247940,248055,248167,248275,248379,248479,248576,248669,248760,248847,248931,249014,249093,249169,249242,249315,249383,249448,249510,249569,249624,249676,249724,249770
39,Diamond Princess,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712
40,Cuba,13165,13321,13478,13637,13796,13957,14120,14286,14454,14624,14796,14970,15147,15326,15507,15690,15875,16064,16254,16447,16643,16841,17040,17244,17448,17656,17867,18080,18296,18514,18735,18959,19185,19414,19647,19882,20120,20361,20603,20850,21099,21351,21605,21865,22125,22386,22649,22913,23179,23447,23717,23990,24267,24547,24830,25116,25404,25697,25992,26291,26593,26898,27206,27517,27833,28151,28472,28797,29127,29458,29794,30133,30475,30822,31171,31524,31882,32242,32606,32973,33346,33720,34100,34483,34869,35260,35654,36053,36455,36861,37270,37684,38101,38523,38949,39377
