,State,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
27,South Carolina,6013.05,7174.25,8275.95,10504.65,13753.05,17125.35,21777.0,28437.5,36438.5,47190.0,62362.5,82118.5,108289.0,144704.0,193376.0,257290.0,343120.0,456620.0,603065.0,790770.0
28,District of Columbia,3892.15,4632.75,5456.450000000001,6371.35,7393.15,8695.25,10319.2,12361.0,14845.0,18113.5,22351.0,27445.5,33719.0,41285.5,50542.5,61923.5,75761.5,92547.0,112760.0,136940.0
29,Kansas,2680.5,3095.3,3631.5,4222.049999999999,4844.85,5713.35,6934.75,8621.6,10854.6,13532.85,16805.0,21001.0,26572.0,34032.5,43704.5,55860.0,71072.0,90426.0,115441.0,147702.0
30,Missouri,8221.05,11548.0,16295.0,22530.5,30795.5,42662.5,60397.5,87556.5,128320.0,188750.0,277545.0,407135.0,594575.0,860970.0,1228800.0,1716050.0,2328400.0,3046000.0,3814000.0,4547700.0
31,Vermont,915.13,1019.755,1138.5049999999999,1292.05,1490.3,1714.9499999999998,1981.9,2369.2,2906.85,3638.8999999999996,4651.95,5977.8,7694.85,9985.7,13031.95,16975.25,22150.0,29044.0,38048.5,49590.5
32,Virginia,11752.0,13759.0,16651.5,20305.5,24771.5,29815.5,35367.5,42175.5,50837.5,61608.0,74893.5,91571.0,112248.0,137133.5,167030.0,202915.0,245575.0,295720.0,353840.0,419935.0
33,Connecticut,24219.5,27557.0,32892.5,40382.5,50758.5,64659.5,83006.0,106728.0,136882.0,174679.0,221159.5,277280.5,343542.5,419570.0,504275.0,596945.0,696235.0,800990.0,910235.0,1023105.0
34,Iowa,4279.799999999999,4908.950000000001,5719.549999999999,6718.4,7948.25,9469.7,11351.5,13637.5,16412.0,19746.5,23777.0,28822.5,35199.5,43212.5,53253.5,65736.5,81176.0,100281.0,123874.5,152910.0
35,Louisiana,27012.5,29231.5,32370.5,36699.0,42490.5,50047.0,59927.0,72574.5,88822.5,109543.0,135673.0,168472.5,209275.5,259408.0,320310.5,393801.0,481150.0,583325.0,700470.0,831165.0
36,Ohio,17373.5,22095.5,28161.0,35347.0,45479.0,60721.0,82051.5,110819.5,149400.0,201585.0,271400.0,366210.0,496250.0,671620.0,904075.0,1207225.0,1600450.0,2104100.0,2731250.0,3483900.0
