,Country,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
44,Djibouti,1003.2,1034.9,1068.4,1099.2,1127.8,1152.1,1176.9,1195.5,1216.5,1239.0,1260.3,1282.2,1303.2,1323.3,1341.7,1360.4,1376.6,1393.7,1411.5,1428.7
45,Dominican Republic,5449.3,5607.1,5762.7,5922.2,6079.0,6232.3,6379.3,6532.9,6674.8,6808.9,6940.9,7074.5,7209.9,7349.4,7491.7,7636.4,7782.3,7929.6,8072.4,8213.4
46,Ecuador,10980.0,11170.5,11415.0,11713.0,12026.5,12363.5,12694.0,12927.5,13095.0,13242.0,13383.5,13548.0,13747.0,13965.5,14203.0,14446.0,14646.0,14799.5,14928.0,15042.0
47,Egypt,3763.3,3841.6,3916.4,3965.1,4008.8,4049.3,4086.9,4123.2,4148.2,4169.7,4189.4,4207.9,4225.8,4238.5,4249.1,4258.9,4268.0,4276.9,4283.4,4288.7
48,El Salvador,241.7,245.3,248.6,251.9,255.1,258.2,261.2,263.2,264.6,265.9,267.1,268.2,269.4,270.6,271.9,273.1,274.1,274.8,275.4,275.9
49,Equatorial Guinea,87.1,90.8,95.0,99.5,103.6,107.4,111.0,113.9,116.5,119.1,121.6,124.3,127.2,130.3,133.6,136.9,140.2,143.4,146.6,149.7
50,Eritrea,39.2,39.3,39.5,39.7,39.9,40.0,40.2,40.4,40.5,40.7,40.8,40.9,41.0,41.1,41.2,41.3,41.4,41.6,41.7,41.8
51,Estonia,1575.8,1583.1,1589.9,1596.4,1602.3,1607.5,1611.9,1616.4,1620.2,1623.3,1625.9,1627.9,1629.6,1630.7,1631.9,1633.1,1634.2,1635.3,1636.4,1637.4
52,Eswatini,32.9,35.1,37.8,40.8,43.7,46.7,49.8,53.2,56.7,60.5,64.5,68.6,72.9,77.5,82.4,87.5,93.0,98.8,104.9,111.2
53,Ethiopia,116.2,117.0,117.7,118.4,118.9,119.4,119.8,120.1,120.3,120.4,120.6,120.7,120.8,120.9,121.0,121.1,121.2,121.2,121.2,121.3
54,Fiji,18.1,18.2,18.3,18.5,18.7,18.8,18.9,19.0,19.2,19.2,19.3,19.4,19.5,19.6,19.8,19.9,20.0,20.1,20.2,20.2
55,Finland,4215.1,4294.2,4376.3,4461.7,4546.8,4618.5,4691.0,4746.9,4803.5,4853.4,4905.3,4958.6,5008.7,5060.8,5110.1,5160.6,5206.1,5250.6,5288.8,5323.9
56,France,159310.0,159590.0,159780.0,160000.0,160110.0,160170.0,160240.0,160280.0,160300.0,160330.0,160340.0,160350.0,160360.0,160360.0,160370.0,160370.0,160370.0,160370.0,160370.0,160370.0
57,Gabon,171.7,183.9,194.2,206.8,217.3,232.2,244.2,259.3,271.2,285.7,297.4,312.3,324.6,340.0,352.8,369.4,383.3,400.8,415.3,433.2
58,Gambia,10.0,10.1,10.1,10.2,10.3,10.3,10.3,10.3,10.4,10.4,10.4,10.4,10.5,10.5,10.5,10.5,10.5,10.5,10.6,10.6
59,Georgia,420.3,423.5,426.0,428.1,429.7,431.0,432.2,433.0,433.8,434.4,434.8,435.2,435.6,435.8,436.1,436.3,436.4,436.5,436.6,436.7
60,Germany,151555.0,152440.0,153335.0,154235.0,155070.0,155815.0,156475.0,157095.0,157490.0,157845.0,158140.0,158440.0,158735.0,159030.0,159315.0,159570.0,159800.0,160010.0,160160.0,160285.0
61,Ghana,1143.0,1175.2,1209.3,1248.8,1281.1,1298.6,1309.5,1318.9,1330.5,1343.7,1359.6,1374.1,1384.6,1392.6,1398.5,1403.4,1408.3,1414.5,1420.6,1425.8
62,Greece,2464.5,2505.6,2540.4,2593.6,2645.5,2703.4,2751.6,2820.6,2887.0,2958.2,3016.9,3105.0,3189.9,3282.4,3357.9,3469.6,3577.3,3694.2,3789.4,3933.4
63,Guatemala,341.7,355.0,370.4,388.8,406.3,424.1,448.8,462.4,472.5,481.8,493.0,506.1,521.8,537.2,552.8,573.4,586.9,596.6,605.1,614.7
64,Guinea,810.1,855.5,906.7,957.3,989.0,1025.4,1064.4,1109.2,1155.8,1202.1,1231.9,1266.3,1303.5,1344.4,1384.7,1426.7,1455.5,1488.7,1523.9,1561.0
65,Guyana,67.9,68.2,68.4,68.6,68.6,68.8,68.8,68.9,68.9,68.9,68.9,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
66,Haiti,65.7,69.4,73.9,79.3,85.9,90.8,93.8,97.1,101.8,108.0,115.5,123.7,130.5,135.9,141.2,148.0,156.5,166.9,177.6,187.0
67,Holy See,9.1,9.2,9.4,9.6,9.9,10.1,10.5,10.8,11.1,11.5,12.0,12.5,13.1,13.8,14.6,15.5,16.6,17.7,19.1,20.6
68,Honduras,514.2,521.8,527.7,534.6,540.9,547.0,550.2,553.7,557.8,562.4,566.7,571.4,576.2,580.7,583.5,586.1,589.2,592.7,596.2,599.9
69,Hungary,2221.9,2262.3,2294.5,2325.7,2351.7,2375.9,2397.1,2417.1,2437.1,2457.4,2477.0,2494.3,2509.2,2522.2,2534.9,2547.6,2559.9,2571.9,2583.2,2593.7
70,Iceland,1786.6,1789.3,1791.6,1793.6,1795.2,1796.4,1797.0,1797.7,1798.4,1799.1,1799.7,1800.2,1800.6,1800.9,1801.1,1801.2,1801.4,1801.6,1801.7,1801.9
71,India,22255.5,23027.0,23818.0,24623.0,25181.5,25766.0,26346.5,26918.0,27490.5,28059.0,28471.0,28882.5,29273.0,29651.0,30032.5,30413.0,30706.0,31003.5,31295.0,31569.5
72,Indonesia,7594.2,7736.6,7871.2,7997.5,8117.4,8233.9,8340.0,8442.0,8534.5,8626.2,8671.7,8724.0,8773.3,8823.9,8874.9,8925.6,8975.9,9027.1,9074.7,9121.8
73,Iran,86533.5,87104.0,87657.0,88194.5,88712.0,89209.5,89686.0,90037.5,90376.0,90671.5,90925.0,91171.0,91406.5,91618.0,91806.5,91987.0,92121.0,92250.0,92375.5,92496.5
74,Iraq,1650.1,1661.3,1673.0,1685.4,1698.2,1712.5,1727.8,1742.1,1757.0,1766.5,1773.9,1780.3,1785.8,1791.3,1796.9,1802.8,1809.3,1816.3,1822.9,1829.8
75,Ireland,16928.5,17091.5,17201.0,17314.0,17400.5,17485.0,17550.0,17611.5,17664.0,17717.0,17748.0,17781.0,17802.0,17823.5,17839.5,17855.5,17868.5,17881.0,17892.0,17902.0
76,Israel,14610.5,14753.5,14858.5,14979.0,15086.0,15165.5,15238.5,15311.0,15370.5,15419.0,15466.0,15508.5,15543.0,15574.0,15602.0,15626.5,15647.5,15666.5,15683.5,15698.0
77,Italy,188515.0,189795.0,190890.0,191945.0,192905.0,193475.0,194035.0,194555.0,195045.0,195485.0,195900.0,196280.0,196495.0,196710.0,196920.0,197115.0,197290.0,197460.0,197615.0,197700.0
78,Jamaica,239.3,240.2,240.7,241.4,242.4,243.5,244.8,246.3,247.9,249.4,250.9,252.5,253.8,254.7,255.3,255.7,255.9,256.1,256.3,256.5
79,Japan,11740.5,11855.5,11891.0,11951.5,11970.5,12002.0,12012.0,12028.5,12033.5,12042.5,12045.0,12050.0,12051.0,12054.0,12054.0,12056.0,12056.0,12057.0,12057.0,12057.0
80,Jordan,436.2,438.9,441.4,444.0,446.9,449.5,451.7,453.7,455.6,457.4,459.3,461.1,463.0,464.9,466.6,468.1,469.6,471.0,472.4,473.8
81,Kazakhstan,2215.7,2293.1,2372.0,2449.0,2502.2,2551.8,2604.3,2657.4,2710.2,2759.5,2795.3,2829.8,2866.6,2903.7,2940.3,2973.2,2997.9,3022.5,3048.8,3075.3
82,Kenya,312.8,319.7,327.3,335.6,344.9,354.6,364.7,375.7,386.6,397.7,405.9,413.3,420.3,427.7,435.8,444.4,453.3,462.4,471.9,482.3
83,South Korea,10699.0,10702.5,10706.0,10708.0,10710.5,10712.0,10713.5,10714.5,10715.5,10716.0,10716.5,10717.5,10717.5,10718.0,10718.0,10718.5,10718.5,10718.5,10718.5,10719.0
84,Kuwait,2321.6,2405.5,2486.0,2566.9,2652.6,2741.6,2802.5,2867.5,2934.5,3007.4,3082.2,3155.7,3231.4,3310.5,3369.7,3431.6,3494.9,3562.8,3632.4,3700.9
85,Kyrgyzstan,620.8,631.0,640.7,650.2,657.4,664.7,669.9,675.2,680.0,684.6,688.2,691.9,694.5,697.2,699.4,701.6,703.5,705.4,706.8,708.3
86,Latvia,770.8,778.9,786.5,794.8,803.2,811.0,818.5,826.5,834.3,840.7,847.1,853.4,859.5,865.4,871.6,877.9,883.9,889.9,896.0,901.8
87,Lebanon,683.6,685.0,685.7,686.4,687.1,687.6,688.0,688.3,688.6,688.8,689.0,689.1,689.3,689.4,689.5,689.5,689.6,689.6,689.7,689.7
88,Liberia,103.0,104.8,106.6,108.3,110.0,111.7,113.3,115.0,116.6,118.0,119.3,120.5,121.7,122.8,124.0,125.2,126.3,127.4,128.5,129.5
89,Liechtenstein,81.2,81.5,81.9,82.4,82.9,83.4,83.7,83.8,84.0,84.5,85.2,86.1,87.0,87.7,88.3,88.6,89.1,89.8,91.1,92.7
90,Lithuania,1382.4,1393.7,1407.8,1422.2,1435.4,1448.3,1458.0,1462.4,1465.9,1469.1,1474.3,1481.2,1488.6,1495.8,1502.9,1508.4,1511.2,1513.2,1515.0,1517.8
91,Luxembourg,3671.4,3693.2,3713.8,3733.8,3751.1,3765.7,3782.6,3799.4,3814.8,3829.7,3844.4,3858.0,3870.4,3883.6,3896.5,3908.8,3920.9,3932.8,3944.2,3955.0
92,Madagascar,121.4,121.8,122.1,122.4,122.6,122.8,122.9,123.0,123.1,123.2,123.3,123.4,123.5,123.6,123.7,123.7,123.8,123.8,123.9,123.9
93,Malaysia,5566.9,5593.4,5618.3,5641.6,5663.4,5684.3,5704.2,5723.7,5743.5,5760.0,5776.9,5793.7,5810.2,5826.4,5842.3,5858.0,5873.4,5888.7,5903.8,5919.1
94,Maldives,96.4,100.1,103.4,107.2,113.1,121.6,133.2,147.8,168.5,192.3,223.7,262.3,310.1,362.2,416.6,471.5,523.7,575.1,624.5,674.2
95,Malta,447.0,449.7,452.1,454.3,456.0,457.5,458.6,459.8,460.9,461.9,462.8,463.6,464.3,464.8,465.3,465.7,466.2,466.5,466.9,467.2
96,Mauritania,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
97,Mauritius,329.9,330.4,331.0,331.6,332.3,332.6,332.9,333.5,334.0,334.6,335.2,335.9,336.2,336.6,337.1,337.6,338.2,338.8,339.4,339.8
98,Mexico,10474.5,10998.0,11545.5,12130.5,12766.5,13422.5,14115.0,14971.0,15575.5,16167.0,16753.5,17362.0,17999.0,18674.5,19400.5,20149.0,20934.0,21887.5,22607.0,23293.0
99,Moldova,2811.7,2852.6,2886.2,2919.3,2944.4,2968.5,2989.1,3011.9,3034.6,3046.6,3059.1,3070.9,3082.7,3095.0,3105.2,3114.3,3122.6,3130.6,3139.2,3147.9
100,Monaco,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
101,Mongolia,36.0,37.1,38.2,39.3,40.2,41.0,41.8,42.5,43.2,43.9,44.6,45.3,46.0,46.7,47.4,48.1,48.9,49.5,50.2,50.9
102,Montenegro,315.3,315.8,316.1,316.3,316.5,316.7,316.8,316.8,316.9,316.9,316.9,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0
103,Morocco,3505.2,3571.7,3636.4,3700.0,3749.5,3796.6,3841.8,3878.4,3913.0,3945.9,3973.4,3999.3,4023.8,4044.8,4064.5,4083.1,4099.3,4114.6,4128.8,4141.6
104,Namibia,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
105,Nepal,48.7,52.7,56.9,62.2,68.3,76.4,84.2,93.2,104.0,116.0,127.5,139.8,152.5,166.7,180.7,196.5,213.2,233.2,257.0,285.1
106,Netherlands,35541.5,35981.5,36402.5,36794.0,37145.5,37460.0,37707.5,37902.0,38092.0,38273.0,38445.5,38609.0,38759.0,38896.0,39015.0,39111.5,39192.5,39269.0,39341.5,39411.0
107,New Zealand,1453.1,1455.1,1456.9,1458.4,1459.7,1460.8,1461.7,1462.4,1462.8,1463.2,1463.5,1463.7,1464.0,1464.1,1464.3,1464.4,1464.5,1464.6,1464.6,1464.7
108,Nicaragua,10.5,10.7,10.9,11.1,11.4,11.5,11.6,11.9,12.1,12.3,12.6,12.9,13.0,13.2,13.5,13.8,14.1,14.4,14.7,14.9
109,Niger,665.7,667.7,669.0,670.2,670.9,671.5,671.9,672.3,672.6,672.8,672.9,673.1,673.1,673.2,673.3,673.3,673.3,673.4,673.4,673.4
110,Nigeria,891.5,939.5,993.1,1057.4,1126.3,1205.4,1289.0,1381.1,1509.9,1641.5,1741.5,1862.4,1993.1,2125.0,2284.9,2439.3,2573.4,2723.1,2892.6,3084.1
111,North Macedonia,1272.6,1276.8,1280.7,1284.3,1286.2,1287.8,1289.3,1290.1,1290.7,1291.3,1291.6,1291.9,1292.2,1292.3,1292.4,1292.5,1292.5,1292.6,1292.6,1292.6
112,Norway,7346.8,7375.4,7402.1,7427.6,7450.5,7472.4,7493.2,7512.9,7530.2,7546.4,7561.5,7575.0,7585.6,7593.7,7601.4,7608.7,7615.6,7622.3,7628.9,7635.4
113,Oman,1656.5,1696.2,1734.6,1770.6,1794.2,1812.6,1829.8,1846.2,1862.9,1879.6,1891.3,1900.3,1908.6,1916.6,1924.9,1933.4,1939.8,1944.8,1949.2,1953.4
114,Pakistan,10832.0,11498.0,11904.0,12407.0,12996.0,13653.0,14151.5,14739.0,15406.5,16066.0,16603.0,17241.0,17966.5,18696.5,19313.0,20023.5,20814.5,21641.5,22382.0,23212.5
115,Panama,4971.7,5064.6,5156.3,5248.0,5342.8,5429.2,5506.8,5579.4,5639.1,5701.6,5756.9,5813.7,5865.4,5914.3,5957.4,5997.3,6034.7,6074.2,6110.1,6146.9
116,Papua New Guinea,8.1,8.7,9.5,10.4,11.4,12.0,12.5,12.9,13.2,13.5,13.9,14.5,15.5,16.8,18.3,19.7,21.0,22.1,23.0,23.8
117,Paraguay,212.3,213.3,214.3,215.5,216.6,217.7,218.7,219.6,220.3,221.0,221.5,222.0,222.5,222.9,223.3,223.7,224.0,224.3,224.7,224.9
118,Peru,19989.0,20626.5,21240.5,21861.0,22249.0,22666.5,23037.0,23418.5,23805.0,24216.0,24444.5,24708.0,24945.5,25198.0,25460.5,25746.5,25901.5,26086.5,26254.5,26437.5
119,Philippines,6831.9,6892.7,6951.3,6993.6,7032.1,7068.7,7102.6,7136.2,7163.2,7187.4,7210.3,7230.6,7248.9,7263.6,7275.1,7285.1,7293.9,7301.9,7308.6,7314.5
120,Poland,10373.0,10560.0,10723.0,10879.0,11022.5,11160.0,11303.5,11456.0,11606.0,11755.0,11903.5,12051.5,12202.0,12354.5,12508.5,12663.0,12818.5,12975.5,13133.0,13292.5
121,Portugal,22143.0,22381.5,22616.0,22845.5,23069.0,23305.5,23527.5,23695.5,23841.5,23969.5,24090.5,24202.5,24305.0,24403.0,24503.5,24600.0,24678.0,24745.5,24806.5,24863.0
122,Qatar,7421.6,7705.7,7981.2,8282.5,8617.7,8990.1,9391.9,9843.5,10334.7,10845.9,11388.3,11834.8,12152.4,12507.5,12921.1,13372.5,13876.6,14459.0,15130.8,15882.6
123,Romania,9863.0,9982.1,10103.5,10219.0,10295.5,10369.0,10440.0,10489.5,10538.5,10584.0,10616.5,10647.5,10676.5,10698.0,10718.5,10737.0,10751.5,10764.5,10776.5,10786.0
124,Russia,60674.0,63587.5,65849.0,68208.5,70508.0,72709.0,74402.0,75981.5,77450.0,78946.0,80243.0,81537.5,82812.0,84036.5,85084.0,86075.0,87024.5,87935.5,88767.5,89584.0
125,Rwanda,153.3,154.3,155.1,155.9,156.5,157.1,157.6,158.0,158.5,158.7,159.0,159.2,159.4,159.6,159.8,160.0,160.1,160.2,160.3,160.4
126,Saint Lucia,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.1,15.1,15.2,15.2,15.3
127,Saint Vincent and the Grenadines,12.8,13.0,13.2,13.5,13.9,14.3,14.9,15.6,16.6,17.8,19.4,21.4,24.0,27.3,31.6,37.2,44.3,53.6,65.5,80.9
128,San Marino,495.9,503.4,511.3,518.7,524.2,528.5,532.7,535.5,537.8,541.0,544.9,549.1,553.2,556.8,559.4,561.7,563.5,564.9,566.4,568.5
129,Saudi Arabia,13398.0,14111.5,14947.0,15908.5,17009.5,18234.0,19480.5,20755.5,21818.0,23001.0,24377.5,25981.5,27860.0,29976.5,32235.5,34338.0,36178.0,38132.5,40011.0,42087.0
130,Senegal,464.0,478.1,494.0,511.2,523.9,538.3,554.3,566.1,579.2,593.8,604.9,617.1,630.5,640.8,652.2,664.5,674.3,684.9,696.3,705.6
131,Serbia,6630.0,6630.0,6630.0,6630.0,6630.0,6630.0,6630.0,6630.0,6630.0,6630.0,6630.0,6630.0,6630.0,6630.0,6630.0,6630.0,6630.0,6630.0,6630.0,6630.0
132,Seychelles,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
133,Singapore,10742.0,11364.5,12024.5,12685.0,13438.0,14250.5,15108.0,15980.0,16633.0,17180.0,17734.5,18340.0,19028.5,19771.0,20631.0,21597.0,22656.0,23775.0,24707.5,25491.0
134,Slovakia,1279.5,1311.2,1348.4,1386.6,1424.6,1459.8,1487.0,1510.2,1535.5,1548.8,1562.2,1577.0,1597.3,1621.5,1646.7,1671.9,1695.8,1714.5,1730.5,1748.0
135,Slovenia,1361.2,1367.7,1373.5,1378.9,1383.4,1387.8,1391.2,1394.5,1397.3,1399.9,1402.2,1404.3,1406.2,1408.1,1409.7,1411.3,1412.8,1414.2,1415.4,1416.5
136,Somalia,313.4,325.5,336.5,347.1,357.4,367.5,377.5,387.4,397.2,406.6,415.3,423.5,431.0,438.2,445.4,452.6,459.6,466.5,473.3,480.0
137,South Africa,3784.1,3884.4,3989.2,4069.8,4153.7,4232.9,4312.0,4392.0,4458.7,4525.5,4585.1,4643.0,4698.6,4748.0,4798.0,4843.5,4888.7,4932.7,4973.0,5013.1
138,Spain,210720.0,212995.0,214840.0,216680.0,218315.0,219960.0,221450.0,223040.0,224650.0,226240.0,227785.0,229320.0,230840.0,232350.0,233865.0,235375.0,236895.0,238395.0,239890.0,241375.0
