,State,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
29,Kansas,2428.8,2520.95,2618.8,2726.75,2833.2,2947.5,3076.5,3164.55,3265.2,3374.75,3482.2,3598.3,3723.0,3850.95,4000.0,4147.95,4243.55,4346.4,4460.5,4583.5
30,Missouri,6208.75,6267.800000000000,6325.300000000000,6371.35,6408.700000000000,6441.1,6465.15,6487.25,6507.1,6523.800000000000,6538.35,6550.25,6560.0,6568.35,6575.5,6581.8,6587.35,6591.95,6595.9,6599.200000000000
31,Vermont,823.52,825.1,826.635,828.0700000000000,829.415,830.4550000000000,831.285,832.0800000000000,832.865,833.655,834.4300000000000,835.19,835.925,836.62,837.27,837.91,838.545,839.175,839.79,840.405
32,Virginia,10723.0,11146.5,11569.5,11994.5,12444.0,12917.0,13321.0,13690.5,14078.5,14481.0,14894.5,15322.5,15763.5,16217.0,16644.0,17038.5,17434.5,17843.5,18263.0,18694.0
33,Connecticut,22442.5,22843.5,23240.5,23621.0,23909.0,24129.0,24323.5,24498.5,24678.0,24859.5,25015.5,25141.5,25249.5,25347.0,25443.0,25541.0,25631.0,25707.5,25773.5,25832.0
34,Iowa,3919.55,4062.45,4221.2,4400.6,4616.25,4854.050000000000,5126.75,5376.15,5626.2,5815.1,5967.050000000000,6118.65,6276.65,6450.1,6636.1,6844.300000000000,7055.1,7301.7,7559.9,7830.25
35,Louisiana,25470.5,25659.0,25841.0,26026.5,26204.5,26367.0,26526.5,26638.0,26714.5,26784.0,26853.5,26922.0,26990.5,27056.5,27118.5,27178.0,27225.0,27258.5,27285.5,27311.5
36,Ohio,14362.5,14481.5,14554.0,14599.5,14627.5,14645.0,14656.0,14663.0,14667.0,14669.5,14671.5,14672.5,14673.0,14673.5,14673.5,14673.5,14673.5,14673.5,14673.5,14673.5
37,Michigan,34440.0,34812.0,35120.0,35378.0,35606.5,35806.5,35980.5,36131.0,36261.5,36377.0,36478.5,36568.0,36647.0,36716.5,36778.5,36833.0,36882.0,36925.5,36964.0,36998.5
38,South Dakota,1896.4,1924.15,1952.65,1979.4,1999.85,2020.25,2039.55,2055.5,2071.05,2085.8,2098.6500000000000,2111.1,2122.8,2133.4,2143.6,2153.2,2162.05,2170.5,2178.5,2186.0
39,Arkansas,2576.5,2784.45,3016.8500000000000,3236.95,3419.9,3627.1000000000000,3892.8,4218.05,4576.1,4919.6,5254.200000000000,5634.85,6093.450000000000,6637.05,7214.650000000000,7779.7,8361.25,9030.7,9831.2,10734.2
40,Delaware,3248.9000000000000,3352.25,3451.25,3536.75,3617.5,3697.05,3774.75,3848.0,3911.05,3968.05,4023.35,4078.35,4131.550000000000,4179.450000000000,4222.75,4263.65,4303.4,4341.6,4376.7,4408.6
41,Mississippi,5030.45,5115.6,5198.1,5289.55,5369.15,5442.95,5517.1,5590.5,5630.85,5665.9,5700.550000000000,5735.55,5771.25,5810.2,5848.75,5885.65,5922.1,5960.35,5982.65,6000.55
42,New Mexico,2282.05,2335.95,2388.8,2444.25,2479.35,2512.6,2546.95,2577.6000000000000,2608.0,2641.4,2662.5,2683.05,2705.3,2724.45,2743.9000000000000,2765.7,2779.7,2793.65,2809.05,2821.9
43,North Dakota,688.235,698.45,707.675,716.065,722.835,727.05,729.9550000000000,732.375,734.645,736.8,738.8400000000000,740.615,741.865,742.74,743.415,744.015,744.5800000000000,745.125,745.615,745.99
44,Wyoming,328.755,330.76,332.56,334.185,335.665,336.87,337.91500000000000,338.695,339.45500000000000,340.085,340.68000000000000,341.19,341.65,342.03,342.355,342.66000000000000,342.9,343.13,343.32,343.49
45,Alaska,336.425,339.67000000000000,342.16500000000000,344.95500000000000,347.70500000000000,350.345,352.53,354.905,357.245,359.52,361.53,363.645,365.745,367.80000000000000,369.695,371.655,373.605,375.53,377.365,379.225
46,Maine,917.065,923.775,928.99,934.185,938.0700000000000,941.585,944.325,946.8050000000000,949.05,950.7850000000000,951.925,953.185,954.38,955.49,956.52,957.46,958.265,958.9650000000000,959.5700000000000,960.125
47,Alabama,5726.0,5860.1,5951.55,6054.15,6165.65,6267.25,6333.4,6406.4,6480.800000000000,6550.9,6603.4,6660.75,6717.950000000000,6769.55,6808.35,6849.200000000000,6889.15,6926.85,6957.05,6988.200000000000
48,Idaho,1698.5,1705.0500000000000,1709.85,1713.4,1716.1,1718.0500000000000,1719.55,1720.6,1721.35,1721.95,1722.3000000000000,1722.6,1722.9,1723.0500000000000,1723.15,1723.25,1723.35,1723.35,1723.35,1723.4500000000000
49,Montana,440.23,441.115,441.615,442.16500000000000,442.32500000000000,442.6,442.77,442.935,443.03500000000000,443.14,443.17,443.22,443.26,443.29500000000000,443.315,443.335,443.345,443.355,443.365,443.37
51,Virgin Islands,54.071,54.2025,54.3625,54.548500000000000,54.7085,54.8335,54.893,54.936,54.967,55.0055,55.060500000000000,55.116,55.168,55.209,55.24,55.259,55.2775,55.2945,55.3125,55.332500000000000
52,Guam,939.71,958.82,980.36,1006.4650000000000,1025.19,1048.35,1073.3,1092.8,1117.8000000000000,1142.4,1163.0,1189.9500000000000,1215.0,1237.6,1266.7,1292.9,1318.35,1349.8,1377.75,1406.6
53,West Virginia,964.47,979.0450000000000,993.035,1006.835,1019.4000000000000,1031.4,1039.7000000000000,1047.5,1055.0,1062.0500000000000,1068.5,1074.5,1079.75,1084.9,1088.9500000000000,1092.7,1096.35,1099.8,1103.0,1106.05
54,Northern Mariana Islands,14.0015,14.002000000000000,14.002000000000000,14.002000000000000,14.002000000000000,14.002000000000000,14.002000000000000,14.002000000000000,14.002000000000000,14.002000000000000,14.002000000000000,14.002000000000000,14.002000000000000,14.002000000000000,14.002000000000000,14.002000000000000,14.002000000000000,14.002000000000000,14.002000000000000,14.002000000000000
