"","Geography","season","date.wk_end","MMWR.week","cum.death","cum.hosp","cum.visit","cum.sympt","incident.death","incident.hosp","incident.visit","incident.sympt","rate.incident.death","rate.incident.hosp","rate.incident.visit","rate.incident.sympt"
"18","United States","2018-2019",2019-04-13,"15",45850,556000,18050000,38650000,2000,22500,600000,1150000,0.607782810222823,6.83755661500676,182.334843066847,349.475115878123
"19","United States","2018-2019",2019-04-20,"16",47550,574000,18450000,39650000,1700,18000,400000,1000000,0.516615388689399,5.47004529200541,121.556562044565,303.891405111411
"20","United States","2018-2019",2019-04-27,"17",47850,580500,18600000,39950000,300,6500,150000,300000,0.0911674215334234,1.97529413322417,45.5837107667117,91.1674215334235
"21","United States","2019-2020",2019-11-30,"48",1655,22500,1000000,2100000,1655,22500,1000000,2100000,0.499322247737807,6.78836892694904,301.705285642179,633.581099848577
"22","United States","2019-2020",2019-12-07,"49",2300,32000,1500000,3150000,645,9500,500000,1050000,0.194599909239206,2.8662002136007,150.85264282109,316.790549924288
"23","United States","2019-2020",2019-12-14,"50",3150,44500,2200000,4500000,850,12500,700000,1350000,0.256449492795853,3.77131607052724,211.193699949526,407.302135616942
"24","United States","2019-2020",2019-12-21,"51",3650,53500,2700000,5600000,500,9000,500000,1100000,0.15085264282109,2.71534757077961,150.85264282109,331.875814206397
"25","United States","2019-2020",2019-12-28,"52",5050,74000,3700000,7750000,1400,20500,1000000,2150000,0.422387399899051,6.18495835566468,301.705285642179,648.666364130686
"26","United States","2019-2020",2020-01-04,"1",8400,118500,5500000,11850000,3350,44500,1800000,4100000,1.0107127069013,13.425885211077,543.069514155923,1236.99167113294
"27","United States","2019-2020",2020-01-11,"2",11800,165000,7200000,15500000,3400,46500,1700000,3650000,1.02579797118341,14.0292957823613,512.898985591705,1101.22429259395
"28","United States","2019-2020",2020-01-18,"3",14100,195000,8500000,18000000,2300,30000,1300000,2500000,0.693922156977013,9.05115856926538,392.216871334833,754.263214105449
"29","United States","2019-2020",2020-01-25,"4",17500,245000,10300000,22500000,3400,50000,1800000,4500000,1.02579797118341,15.085264282109,543.069514155923,1357.67378538981
"30","United States","2019-2020",2020-02-01,"5",21000,290000,12500000,26500000,3500,45000,2200000,4000000,1.05596849974763,13.5767378538981,663.751628412795,1206.82114256872
"31","United States","2019-2020",2020-02-08,"6",24750,340000,14250000,30750000,3750,50000,1750000,4250000,1.13139482115817,15.085264282109,527.984249873814,1282.24746397926
"32","United States","2019-2020",2020-02-15,"7",28500,390000,16000000,35000000,3750,50000,1750000,4250000,1.13139482115817,15.085264282109,527.984249873814,1282.24746397926
"33","United States","2019-2020",2020-02-22,"8",32000,435000,17500000,38500000,3500,45000,1500000,3500000,1.05596849974763,13.5767378538981,452.557928463269,1055.96849974763
"34","United States","2019-2020",2020-02-29,"9",36000,485000,19500000,41500000,4000,50000,2000000,3000000,1.20682114256872,15.085264282109,603.410571284359,905.115856926538
"35","United States","2019-2020",2020-03-07,"10",38500,520000,20500000,43500000,2500,35000,1000000,2000000,0.754263214105449,10.5596849974763,301.705285642179,603.410571284359
"36","United States","2019-2020",2020-03-14,"11",41000,550000,21000000,46000000,2500,30000,500000,2500000,0.754263214105449,9.05115856926538,150.85264282109,754.263214105449
"37","United States","2019-2020",2020-03-21,"12",43000,565000,22000000,47000000,2000,15000,1000000,1000000,0.603410571284359,4.52557928463269,301.705285642179,301.705285642179
"38","United States","2021-2022",2022-01-01,"52",1445,18802,728110,1628978,1445,18802,728110,1628978,0.43538030522389,5.6650660891485,219.380452620461,490.813106465746
"39","United States","2021-2022",2022-01-08,"1",1940,24749,974651,2144490,495,5947,246542,515511,0.149144118398495,1.79183852952697,74.2834126024279,155.32410832268
"40","United States","2021-2022",2022-01-15,"2",2162,28195,1122822,2450900,223,3446,148170,306410,0.0671901785916453,1.03828410505296,44.6438061072829,92.321715794915
"41","United States","2021-2022",2022-01-22,"3",2317,30528,1246445,2738562,155,2333,123623,287662,0.0467016936399329,0.702935814593312,37.247764340964,86.6729199732282
"42","United States","2021-2022",2022-01-29,"4",2376,31255,1300145,2849314,59,727,53700,110752,0.0177767737081035,0.21904600823375,16.1798770868671,33.3697159613538
"43","United States","2021-2022",2022-02-05,"5",2450,32531,1353986,2949168,74,1276,53841,99854,0.0222962924474518,0.384460394093899,16.2223605630169,30.0861349465926
"44","United States","2021-2022",2022-02-12,"6",2514,33591,1400507,3041726,64,1060,46520,92558,0.0192832799545529,0.319379324247283,14.0165341169657,27.8878410317736
"45","United States","2021-2022",2022-02-19,"7",2644,35183,1443618,3166386,129,1592,43112,124660,0.0388678611583957,0.479671588869504,12.9896994593857,37.5602137364776
"46","United States","2021-2022",2022-02-26,"8",2794,36762,1541534,3366592,150,1578,97915,200206,0.0451951873934834,0.475453371379446,29.5019118242195,60.3223179153316
"47","United States","2021-2022",2022-03-05,"9",3016,39987,1638390,3582459,222,3225,96857,215868,0.0668888773423555,0.971696528959893,29.1831351024708,65.0412980817099
"48","United States","2021-2022",2022-03-12,"10",3238,42434,1758078,3828948,222,2447,119688,246489,0.0668888773423555,0.737284157012359,36.0621439250083,74.2674436362156
"49","United States","2021-2022",2022-03-19,"11",3538,46592,1925818,4175810,300,4158,167740,346862,0.0903903747869668,1.25281059454736,50.5402715558861,104.50995393119
"50","United States","2021-2022",2022-03-26,"12",3939,51799,2145538,4663266,402,5208,219719,487456,0.121123102214536,1.56917690630174,66.2016091927252,146.871101773852
"51","United States","2021-2022",2022-04-02,"13",4350,57405,2351790,5119256,411,5605,206252,455991,0.123834813458145,1.68879350226983,62.1439852685383,137.390657964946
"52","United States","2021-2022",2022-04-09,"14",5121,64602,2596954,5667320,770,7197,245164,548064,0.232001961953215,2.16846509113933,73.8682194809065,165.132367890814
"53","United States","2021-2022",2022-04-16,"15",5512,71568,2897828,6276206,391,6966,300874,608886,0.117808788472347,2.09886450255337,90.6537120788462,183.458112475124
"54","United States","2021-2022",2022-04-23,"16",6316,81066,3264066,7039976,804,9499,366238,763770,0.242246204429071,2.86206056700466,110.347966937431,230.124855170139
"55","United States","2021-2022",2022-04-30,"17",6965,89174,3532060,7652769,650,8108,267993,612794,0.195845812038428,2.44295052924242,80.7466257009453,184.635597757349
"56","United States","2021-2022",2022-05-07,"18",7636,98726,3911468,8470171,671,9552,379408,817402,0.202173138273516,2.87802953321702,114.316104390578,246.284243772054
"57","United States","2021-2022",2022-05-14,"19",8388,105988,4104457,8930650,752,7262,192990,460479,0.226578539465997,2.18804967234318,58.1481281004558,138.742897971759
