"location","date","value","race_ethnicity","target"
"06","2021-02-13",5490,"asian","imputed inc case"
"06","2021-02-20",3799,"asian","imputed inc case"
"06","2021-02-27",3453,"asian","imputed inc case"
"06","2021-03-06",2851,"asian","imputed inc case"
"06","2021-03-13",2497,"asian","imputed inc case"
"06","2021-03-20",1933,"asian","imputed inc case"
"06","2021-03-27",1794,"asian","imputed inc case"
"06","2021-04-03",1724,"asian","imputed inc case"
"06","2020-04-18",1431,"black","imputed inc case"
"06","2020-04-25",488,"black","imputed inc case"
"06","2020-05-02",466,"black","imputed inc case"
"06","2020-05-09",479,"black","imputed inc case"
"06","2020-05-16",490,"black","imputed inc case"
"06","2020-05-23",458,"black","imputed inc case"
"06","2020-05-30",501,"black","imputed inc case"
"06","2020-06-06",469,"black","imputed inc case"
"06","2020-06-13",425,"black","imputed inc case"
"06","2020-06-20",575,"black","imputed inc case"
"06","2020-06-27",928,"black","imputed inc case"
"06","2020-07-04",1233,"black","imputed inc case"
"06","2020-07-11",1734,"black","imputed inc case"
"06","2020-07-18",1772,"black","imputed inc case"
"06","2020-07-25",1952,"black","imputed inc case"
"06","2020-08-01",1629,"black","imputed inc case"
"06","2020-08-08",1539,"black","imputed inc case"
"06","2020-08-15",1986,"black","imputed inc case"
"06","2020-08-22",1348,"black","imputed inc case"
"06","2020-08-29",1260,"black","imputed inc case"
"06","2020-09-05",1257,"black","imputed inc case"
"06","2020-09-12",990,"black","imputed inc case"
"06","2020-09-19",843,"black","imputed inc case"
"06","2020-09-26",946,"black","imputed inc case"
"06","2020-10-03",768,"black","imputed inc case"
"06","2020-10-10",758,"black","imputed inc case"
"06","2020-10-17",644,"black","imputed inc case"
"06","2020-10-24",933,"black","imputed inc case"
"06","2020-10-31",935,"black","imputed inc case"
"06","2020-11-07",1262,"black","imputed inc case"
"06","2020-11-14",1739,"black","imputed inc case"
"06","2020-11-21",2573,"black","imputed inc case"
"06","2020-11-28",2812,"black","imputed inc case"
"06","2020-12-05",4336,"black","imputed inc case"
"06","2020-12-12",6195,"black","imputed inc case"
"06","2020-12-19",8599,"black","imputed inc case"
"06","2020-12-26",8443,"black","imputed inc case"
"06","2021-01-02",8239,"black","imputed inc case"
"06","2021-01-09",9350,"black","imputed inc case"
"06","2021-01-16",9517,"black","imputed inc case"
"06","2021-01-23",6271,"black","imputed inc case"
"06","2021-01-30",5244,"black","imputed inc case"
"06","2021-02-06",3823,"black","imputed inc case"
"06","2021-02-13",2979,"black","imputed inc case"
"06","2021-02-20",2137,"black","imputed inc case"
"06","2021-02-27",1850,"black","imputed inc case"
"06","2021-03-06",1688,"black","imputed inc case"
"06","2021-03-13",1505,"black","imputed inc case"
"06","2021-03-20",1295,"black","imputed inc case"
"06","2021-03-27",1215,"black","imputed inc case"
"06","2021-04-03",1354,"black","imputed inc case"
"06","2020-04-18",16430,"latino","imputed inc case"
"06","2020-04-25",7543,"latino","imputed inc case"
"06","2020-05-02",7413,"latino","imputed inc case"
"06","2020-05-09",9452,"latino","imputed inc case"
"06","2020-05-16",8234,"latino","imputed inc case"
"06","2020-05-23",9365,"latino","imputed inc case"
"06","2020-05-30",10765,"latino","imputed inc case"
"06","2020-06-06",11945,"latino","imputed inc case"
"06","2020-06-13",14458,"latino","imputed inc case"
"06","2020-06-20",17946,"latino","imputed inc case"
"06","2020-06-27",26948,"latino","imputed inc case"
"06","2020-07-04",30916,"latino","imputed inc case"
"06","2020-07-11",39013,"latino","imputed inc case"
"06","2020-07-18",41835,"latino","imputed inc case"
"06","2020-07-25",44248,"latino","imputed inc case"
"06","2020-08-01",42526,"latino","imputed inc case"
"06","2020-08-08",33074,"latino","imputed inc case"
"06","2020-08-15",44351,"latino","imputed inc case"
"06","2020-08-22",29804,"latino","imputed inc case"
"06","2020-08-29",24626,"latino","imputed inc case"
"06","2020-09-05",22848,"latino","imputed inc case"
"06","2020-09-12",15878,"latino","imputed inc case"
"06","2020-09-19",16577,"latino","imputed inc case"
"06","2020-09-26",16084,"latino","imputed inc case"
"06","2020-10-03",15360,"latino","imputed inc case"
"06","2020-10-10",15229,"latino","imputed inc case"
"06","2020-10-17",14836,"latino","imputed inc case"
"06","2020-10-24",20257,"latino","imputed inc case"
"06","2020-10-31",18862,"latino","imputed inc case"
"06","2020-11-07",25804,"latino","imputed inc case"
"06","2020-11-14",33995,"latino","imputed inc case"
"06","2020-11-21",54859,"latino","imputed inc case"
"06","2020-11-28",59409,"latino","imputed inc case"
"06","2020-12-05",95205,"latino","imputed inc case"
"06","2020-12-12",138161,"latino","imputed inc case"
"06","2020-12-19",190213,"latino","imputed inc case"
"06","2020-12-26",164993,"latino","imputed inc case"
"06","2021-01-02",168691,"latino","imputed inc case"
"06","2021-01-09",172493,"latino","imputed inc case"
"06","2021-01-16",161608,"latino","imputed inc case"
"06","2021-01-23",104190,"latino","imputed inc case"
"06","2021-01-30",81148,"latino","imputed inc case"
"06","2021-02-06",58985,"latino","imputed inc case"
"06","2021-02-13",42685,"latino","imputed inc case"
"06","2021-02-20",28685,"latino","imputed inc case"
"06","2021-02-27",24474,"latino","imputed inc case"
"06","2021-03-06",21878,"latino","imputed inc case"
"06","2021-03-13",19268,"latino","imputed inc case"
"06","2021-03-20",15032,"latino","imputed inc case"
"06","2021-03-27",12828,"latino","imputed inc case"
"06","2021-04-03",13984,"latino","imputed inc case"
"06","2020-04-18",3100,"other","imputed inc case"
"06","2020-04-25",633,"other","imputed inc case"
"06","2020-05-02",730,"other","imputed inc case"
"06","2020-05-09",909,"other","imputed inc case"
"06","2020-05-16",690,"other","imputed inc case"
"06","2020-05-23",1389,"other","imputed inc case"
"06","2020-05-30",3907,"other","imputed inc case"
"06","2020-06-06",3087,"other","imputed inc case"
"06","2020-06-13",3101,"other","imputed inc case"
"06","2020-06-20",4394,"other","imputed inc case"
"06","2020-06-27",6088,"other","imputed inc case"
"06","2020-07-04",8450,"other","imputed inc case"
"06","2020-07-11",9208,"other","imputed inc case"
"06","2020-07-18",7842,"other","imputed inc case"
"06","2020-07-25",8760,"other","imputed inc case"
"06","2020-08-01",4269,"other","imputed inc case"
"06","2020-08-08",3376,"other","imputed inc case"
"06","2020-08-15",7536,"other","imputed inc case"
"06","2020-08-22",3040,"other","imputed inc case"
"06","2020-08-29",2892,"other","imputed inc case"
"06","2020-09-05",1503,"other","imputed inc case"
"06","2020-09-12",670,"other","imputed inc case"
"06","2020-09-19",1098,"other","imputed inc case"
"06","2020-09-26",1755,"other","imputed inc case"
"06","2020-10-03",1944,"other","imputed inc case"
"06","2020-10-10",2099,"other","imputed inc case"
"06","2020-10-17",1455,"other","imputed inc case"
"06","2020-10-24",3569,"other","imputed inc case"
"06","2020-10-31",2818,"other","imputed inc case"
"06","2020-11-07",4712,"other","imputed inc case"
"06","2020-11-14",7244,"other","imputed inc case"
"06","2020-11-21",10326,"other","imputed inc case"
"06","2020-11-28",13738,"other","imputed inc case"
"06","2020-12-05",19663,"other","imputed inc case"
"06","2020-12-12",30524,"other","imputed inc case"
"06","2020-12-19",43715,"other","imputed inc case"
"06","2020-12-26",40666,"other","imputed inc case"
"06","2021-01-02",40560,"other","imputed inc case"
"06","2021-01-09",44848,"other","imputed inc case"
"06","2021-01-16",41335,"other","imputed inc case"
"06","2021-01-23",20006,"other","imputed inc case"
"06","2021-01-30",15553,"other","imputed inc case"
"06","2021-02-06",9264,"other","imputed inc case"
"06","2021-02-13",5486,"other","imputed inc case"
"06","2021-02-20",1988,"other","imputed inc case"
"06","2021-02-27",884,"other","imputed inc case"
"06","2021-03-06",259,"other","imputed inc case"
"06","2021-03-13",351,"other","imputed inc case"
"06","2021-03-20",0,"other","imputed inc case"
"06","2021-03-27",116,"other","imputed inc case"
"06","2021-04-03",475,"other","imputed inc case"
"06","2020-04-18",6737,"white","imputed inc case"
"06","2020-04-25",2145,"white","imputed inc case"
"06","2020-05-02",1939,"white","imputed inc case"
"06","2020-05-09",1681,"white","imputed inc case"
"06","2020-05-16",1861,"white","imputed inc case"
"06","2020-05-23",2036,"white","imputed inc case"
"06","2020-05-30",1974,"white","imputed inc case"
"06","2020-06-06",2079,"white","imputed inc case"
"06","2020-06-13",2045,"white","imputed inc case"
"06","2020-06-20",2926,"white","imputed inc case"
"06","2020-06-27",4552,"white","imputed inc case"
"06","2020-07-04",6934,"white","imputed inc case"
"06","2020-07-11",8953,"white","imputed inc case"
"06","2020-07-18",8698,"white","imputed inc case"
"06","2020-07-25",9243,"white","imputed inc case"
"06","2020-08-01",7217,"white","imputed inc case"
"06","2020-08-08",6169,"white","imputed inc case"
"06","2020-08-15",8693,"white","imputed inc case"
"06","2020-08-22",5570,"white","imputed inc case"
"06","2020-08-29",5559,"white","imputed inc case"
"06","2020-09-05",5081,"white","imputed inc case"
"06","2020-09-12",4038,"white","imputed inc case"
"06","2020-09-19",4099,"white","imputed inc case"
"06","2020-09-26",4562,"white","imputed inc case"
"06","2020-10-03",4202,"white","imputed inc case"
"06","2020-10-10",4138,"white","imputed inc case"
"06","2020-10-17",3843,"white","imputed inc case"
"06","2020-10-24",5362,"white","imputed inc case"
"06","2020-10-31",5711,"white","imputed inc case"
"06","2020-11-07",7965,"white","imputed inc case"
"06","2020-11-14",11118,"white","imputed inc case"
"06","2020-11-21",16612,"white","imputed inc case"
"06","2020-11-28",19922,"white","imputed inc case"
"06","2020-12-05",27641,"white","imputed inc case"
"06","2020-12-12",37667,"white","imputed inc case"
"06","2020-12-19",50199,"white","imputed inc case"
"06","2020-12-26",47101,"white","imputed inc case"
"06","2021-01-02",47448,"white","imputed inc case"
"06","2021-01-09",50402,"white","imputed inc case"
"06","2021-01-16",47835,"white","imputed inc case"
"06","2021-01-23",30267,"white","imputed inc case"
"06","2021-01-30",26552,"white","imputed inc case"
"06","2021-02-06",19426,"white","imputed inc case"
"06","2021-02-13",14200,"white","imputed inc case"
"06","2021-02-20",10190,"white","imputed inc case"
"06","2021-02-27",8508,"white","imputed inc case"
"06","2021-03-06",7164,"white","imputed inc case"
"06","2021-03-13",7268,"white","imputed inc case"
"06","2021-03-20",5841,"white","imputed inc case"
"06","2021-03-27",5482,"white","imputed inc case"
"06","2021-04-03",5904,"white","imputed inc case"
"37","2020-03-07",1,"asian","imputed inc case"
"37","2020-03-14",9,"asian","imputed inc case"
"37","2020-03-21",36,"asian","imputed inc case"
"37","2020-03-28",31,"asian","imputed inc case"
"37","2020-04-04",40,"asian","imputed inc case"
"37","2020-04-11",43,"asian","imputed inc case"
"37","2020-04-18",35,"asian","imputed inc case"
"37","2020-04-25",99,"asian","imputed inc case"
"37","2020-05-02",131,"asian","imputed inc case"
"37","2020-05-09",159,"asian","imputed inc case"
"37","2020-05-16",214,"asian","imputed inc case"
"37","2020-05-23",268,"asian","imputed inc case"
"37","2020-05-30",272,"asian","imputed inc case"
"37","2020-06-06",391,"asian","imputed inc case"
"37","2020-06-13",495,"asian","imputed inc case"
"37","2020-06-20",530,"asian","imputed inc case"
"37","2020-06-27",622,"asian","imputed inc case"
"37","2020-07-04",551,"asian","imputed inc case"
"37","2020-07-11",632,"asian","imputed inc case"
"37","2020-07-18",489,"asian","imputed inc case"
"37","2020-07-25",401,"asian","imputed inc case"
"37","2020-08-01",372,"asian","imputed inc case"
"37","2020-08-08",347,"asian","imputed inc case"
"37","2020-08-15",348,"asian","imputed inc case"
"37","2020-08-22",524,"asian","imputed inc case"
"37","2020-08-29",463,"asian","imputed inc case"
"37","2020-09-05",368,"asian","imputed inc case"
"37","2020-09-12",290,"asian","imputed inc case"
"37","2020-09-19",321,"asian","imputed inc case"
"37","2020-09-26",303,"asian","imputed inc case"
"37","2020-10-03",327,"asian","imputed inc case"
"37","2020-10-10",356,"asian","imputed inc case"
"37","2020-10-17",391,"asian","imputed inc case"
"37","2020-10-24",472,"asian","imputed inc case"
"37","2020-10-31",463,"asian","imputed inc case"
"37","2020-11-07",533,"asian","imputed inc case"
"37","2020-11-14",687,"asian","imputed inc case"
"37","2020-11-21",757,"asian","imputed inc case"
"37","2020-11-28",766,"asian","imputed inc case"
"37","2020-12-05",1439,"asian","imputed inc case"
"37","2020-12-12",1452,"asian","imputed inc case"
"37","2020-12-19",1537,"asian","imputed inc case"
"37","2020-12-26",1328,"asian","imputed inc case"
"37","2021-01-02",2070,"asian","imputed inc case"
"37","2021-01-09",2605,"asian","imputed inc case"
"37","2021-01-16",1873,"asian","imputed inc case"
"37","2021-01-23",1518,"asian","imputed inc case"
"37","2021-01-30",1318,"asian","imputed inc case"
"37","2021-02-06",1024,"asian","imputed inc case"
"37","2021-02-13",791,"asian","imputed inc case"
"37","2021-02-20",604,"asian","imputed inc case"
"37","2021-02-27",505,"asian","imputed inc case"
"37","2021-03-06",421,"asian","imputed inc case"
"37","2021-03-13",439,"asian","imputed inc case"
"37","2021-03-20",469,"asian","imputed inc case"
"37","2021-03-27",393,"asian","imputed inc case"
"37","2021-04-03",347,"asian","imputed inc case"
"37","2020-03-07",1,"black","imputed inc case"
"37","2020-03-14",30,"black","imputed inc case"
"37","2020-03-21",230,"black","imputed inc case"
"37","2020-03-28",410,"black","imputed inc case"
"37","2020-04-04",553,"black","imputed inc case"
"37","2020-04-11",686,"black","imputed inc case"
"37","2020-04-18",884,"black","imputed inc case"
"37","2020-04-25",1006,"black","imputed inc case"
"37","2020-05-02",787,"black","imputed inc case"
"37","2020-05-09",990,"black","imputed inc case"
"37","2020-05-16",1019,"black","imputed inc case"
"37","2020-05-23",1299,"black","imputed inc case"
"37","2020-05-30",1360,"black","imputed inc case"
"37","2020-06-06",1899,"black","imputed inc case"
"37","2020-06-13",2182,"black","imputed inc case"
"37","2020-06-20",2481,"black","imputed inc case"
"37","2020-06-27",3181,"black","imputed inc case"
"37","2020-07-04",3510,"black","imputed inc case"
"37","2020-07-11",4179,"black","imputed inc case"
"37","2020-07-18",3964,"black","imputed inc case"
"37","2020-07-25",3518,"black","imputed inc case"
"37","2020-08-01",3120,"black","imputed inc case"
"37","2020-08-08",2620,"black","imputed inc case"
"37","2020-08-15",2562,"black","imputed inc case"
"37","2020-08-22",2649,"black","imputed inc case"
"37","2020-08-29",2864,"black","imputed inc case"
"37","2020-09-05",2400,"black","imputed inc case"
"37","2020-09-12",2100,"black","imputed inc case"
"37","2020-09-19",2424,"black","imputed inc case"
"37","2020-09-26",2506,"black","imputed inc case"
"37","2020-10-03",2841,"black","imputed inc case"
"37","2020-10-10",2916,"black","imputed inc case"
"37","2020-10-17",3532,"black","imputed inc case"
"37","2020-10-24",3891,"black","imputed inc case"
"37","2020-10-31",3602,"black","imputed inc case"
"37","2020-11-07",4067,"black","imputed inc case"
"37","2020-11-14",5453,"black","imputed inc case"
"37","2020-11-21",5857,"black","imputed inc case"
"37","2020-11-28",5493,"black","imputed inc case"
"37","2020-12-05",9878,"black","imputed inc case"
"37","2020-12-12",10063,"black","imputed inc case"
"37","2020-12-19",10385,"black","imputed inc case"
"37","2020-12-26",8217,"black","imputed inc case"
"37","2021-01-02",13067,"black","imputed inc case"
"37","2021-01-09",15236,"black","imputed inc case"
"37","2021-01-16",12619,"black","imputed inc case"
"37","2021-01-23",10733,"black","imputed inc case"
"37","2021-01-30",9013,"black","imputed inc case"
"37","2021-02-06",7069,"black","imputed inc case"
"37","2021-02-13",5680,"black","imputed inc case"
"37","2021-02-20",4358,"black","imputed inc case"
"37","2021-02-27",3699,"black","imputed inc case"
"37","2021-03-06",2942,"black","imputed inc case"
"37","2021-03-13",2642,"black","imputed inc case"
"37","2021-03-20",2866,"black","imputed inc case"
"37","2021-03-27",3155,"black","imputed inc case"
"37","2021-04-03",3146,"black","imputed inc case"
"37","2020-03-07",0,"other","imputed inc case"
"37","2020-03-14",7,"other","imputed inc case"
"37","2020-03-21",39,"other","imputed inc case"
"37","2020-03-28",74,"other","imputed inc case"
"37","2020-04-04",98,"other","imputed inc case"
"37","2020-04-11",169,"other","imputed inc case"
"37","2020-04-18",259,"other","imputed inc case"
"37","2020-04-25",412,"other","imputed inc case"
"37","2020-05-02",483,"other","imputed inc case"
"37","2020-05-09",587,"other","imputed inc case"
"37","2020-05-16",745,"other","imputed inc case"
"37","2020-05-23",989,"other","imputed inc case"
"37","2020-05-30",1291,"other","imputed inc case"
"37","2020-06-06",1828,"other","imputed inc case"
"37","2020-06-13",1888,"other","imputed inc case"
"37","2020-06-20",1798,"other","imputed inc case"
"37","2020-06-27",1944,"other","imputed inc case"
"37","2020-07-04",1972,"other","imputed inc case"
"37","2020-07-11",2207,"other","imputed inc case"
"37","2020-07-18",2226,"other","imputed inc case"
"37","2020-07-25",2087,"other","imputed inc case"
"37","2020-08-01",1774,"other","imputed inc case"
"37","2020-08-08",1410,"other","imputed inc case"
"37","2020-08-15",1334,"other","imputed inc case"
"37","2020-08-22",1554,"other","imputed inc case"
"37","2020-08-29",1759,"other","imputed inc case"
"37","2020-09-05",1410,"other","imputed inc case"
"37","2020-09-12",1136,"other","imputed inc case"
"37","2020-09-19",1056,"other","imputed inc case"
"37","2020-09-26",1147,"other","imputed inc case"
"37","2020-10-03",1511,"other","imputed inc case"
"37","2020-10-10",1737,"other","imputed inc case"
"37","2020-10-17",1853,"other","imputed inc case"
"37","2020-10-24",1914,"other","imputed inc case"
"37","2020-10-31",1876,"other","imputed inc case"
"37","2020-11-07",2219,"other","imputed inc case"
"37","2020-11-14",2805,"other","imputed inc case"
"37","2020-11-21",3190,"other","imputed inc case"
"37","2020-11-28",3005,"other","imputed inc case"
"37","2020-12-05",5129,"other","imputed inc case"
"37","2020-12-12",5755,"other","imputed inc case"
"37","2020-12-19",6297,"other","imputed inc case"
"37","2020-12-26",5031,"other","imputed inc case"
"37","2021-01-02",8427,"other","imputed inc case"
"37","2021-01-09",9795,"other","imputed inc case"
"37","2021-01-16",7837,"other","imputed inc case"
"37","2021-01-23",6584,"other","imputed inc case"
"37","2021-01-30",5480,"other","imputed inc case"
"37","2021-02-06",4167,"other","imputed inc case"
"37","2021-02-13",3179,"other","imputed inc case"
"37","2021-02-20",2425,"other","imputed inc case"
"37","2021-02-27",2013,"other","imputed inc case"
"37","2021-03-06",1737,"other","imputed inc case"
"37","2021-03-13",1475,"other","imputed inc case"
"37","2021-03-20",1551,"other","imputed inc case"
"37","2021-03-27",1798,"other","imputed inc case"
"37","2021-04-03",1547,"other","imputed inc case"
"37","2020-03-07",1,"white","imputed inc case"
"37","2020-03-14",55,"white","imputed inc case"
"37","2020-03-21",475,"white","imputed inc case"
"37","2020-03-28",629,"white","imputed inc case"
"37","2020-04-04",584,"white","imputed inc case"
"37","2020-04-11",955,"white","imputed inc case"
"37","2020-04-18",816,"white","imputed inc case"
"37","2020-04-25",1284,"white","imputed inc case"
"37","2020-05-02",1245,"white","imputed inc case"
"37","2020-05-09",1741,"white","imputed inc case"
"37","2020-05-16",2041,"white","imputed inc case"
"37","2020-05-23",2447,"white","imputed inc case"
"37","2020-05-30",2638,"white","imputed inc case"
"37","2020-06-06",3571,"white","imputed inc case"
"37","2020-06-13",4067,"white","imputed inc case"
"37","2020-06-20",4864,"white","imputed inc case"
"37","2020-06-27",5832,"white","imputed inc case"
"37","2020-07-04",5880,"white","imputed inc case"
"37","2020-07-11",6984,"white","imputed inc case"
"37","2020-07-18",6472,"white","imputed inc case"
"37","2020-07-25",6338,"white","imputed inc case"
"37","2020-08-01",5976,"white","imputed inc case"
"37","2020-08-08",5385,"white","imputed inc case"
"37","2020-08-15",5217,"white","imputed inc case"
"37","2020-08-22",6387,"white","imputed inc case"
"37","2020-08-29",6169,"white","imputed inc case"
"37","2020-09-05",5496,"white","imputed inc case"
"37","2020-09-12",4983,"white","imputed inc case"
"37","2020-09-19",5262,"white","imputed inc case"
"37","2020-09-26",5519,"white","imputed inc case"
"37","2020-10-03",7409,"white","imputed inc case"
"37","2020-10-10",8220,"white","imputed inc case"
"37","2020-10-17",8772,"white","imputed inc case"
"37","2020-10-24",9166,"white","imputed inc case"
"37","2020-10-31",9576,"white","imputed inc case"
"37","2020-11-07",10522,"white","imputed inc case"
"37","2020-11-14",13861,"white","imputed inc case"
"37","2020-11-21",15423,"white","imputed inc case"
"37","2020-11-28",15308,"white","imputed inc case"
"37","2020-12-05",23985,"white","imputed inc case"
"37","2020-12-12",23689,"white","imputed inc case"
"37","2020-12-19",26015,"white","imputed inc case"
"37","2020-12-26",21467,"white","imputed inc case"
"37","2021-01-02",33131,"white","imputed inc case"
"37","2021-01-09",35329,"white","imputed inc case"
"37","2021-01-16",26497,"white","imputed inc case"
"37","2021-01-23",21360,"white","imputed inc case"
"37","2021-01-30",18072,"white","imputed inc case"
"37","2021-02-06",15392,"white","imputed inc case"
"37","2021-02-13",12227,"white","imputed inc case"
"37","2021-02-20",9943,"white","imputed inc case"
"37","2021-02-27",7978,"white","imputed inc case"
"37","2021-03-06",6467,"white","imputed inc case"
"37","2021-03-13",6159,"white","imputed inc case"
"37","2021-03-20",6196,"white","imputed inc case"
"37","2021-03-27",6556,"white","imputed inc case"
"37","2021-04-03",6103,"white","imputed inc case"
