"date","location","value","min_suppressed","race_ethnicity","target"
2020-08-15,"06",230,0,"white","inc death"
2020-08-22,"06",383,0,"latino","inc death"
2020-08-22,"06",0,3,"other","inc death"
2020-08-22,"06",87,0,"asian","inc death"
2020-08-22,"06",61,0,"black","inc death"
2020-08-22,"06",216,1,"white","inc death"
2020-08-29,"06",333,2,"latino","inc death"
2020-08-29,"06",0,3,"other","inc death"
2020-08-29,"06",82,0,"asian","inc death"
2020-08-29,"06",42,0,"black","inc death"
2020-08-29,"06",198,0,"white","inc death"
2020-09-05,"06",253,1,"latino","inc death"
2020-09-05,"06",0,3,"other","inc death"
2020-09-05,"06",60,0,"asian","inc death"
2020-09-05,"06",49,0,"black","inc death"
2020-09-05,"06",169,1,"white","inc death"
2020-09-12,"06",243,0,"latino","inc death"
2020-09-12,"06",0,3,"other","inc death"
2020-09-12,"06",59,0,"asian","inc death"
2020-09-12,"06",27,0,"black","inc death"
2020-09-12,"06",145,0,"white","inc death"
2020-09-19,"06",209,1,"latino","inc death"
2020-09-19,"06",0,3,"other","inc death"
2020-09-19,"06",71,0,"asian","inc death"
2020-09-19,"06",27,0,"black","inc death"
2020-09-19,"06",122,0,"white","inc death"
2020-09-26,"06",208,1,"latino","inc death"
2020-09-26,"06",0,2,"other","inc death"
2020-09-26,"06",41,0,"asian","inc death"
2020-09-26,"06",27,0,"black","inc death"
2020-09-26,"06",121,1,"white","inc death"
2020-10-03,"06",174,1,"latino","inc death"
2020-10-03,"06",0,2,"other","inc death"
2020-10-03,"06",29,0,"asian","inc death"
2020-10-03,"06",18,0,"black","inc death"
2020-10-03,"06",78,1,"white","inc death"
2020-10-10,"06",167,2,"latino","inc death"
2020-10-10,"06",0,3,"other","inc death"
2020-10-10,"06",41,0,"asian","inc death"
2020-10-10,"06",14,0,"black","inc death"
2020-10-10,"06",103,0,"white","inc death"
2020-10-17,"06",128,0,"latino","inc death"
2020-10-17,"06",0,2,"other","inc death"
2020-10-17,"06",36,0,"asian","inc death"
2020-10-17,"06",14,0,"black","inc death"
2020-10-17,"06",76,0,"white","inc death"
2020-10-24,"06",126,4,"latino","inc death"
2020-10-24,"06",0,3,"other","inc death"
2020-10-24,"06",34,0,"asian","inc death"
2020-10-24,"06",12,0,"black","inc death"
2020-10-24,"06",86,0,"white","inc death"
2020-10-31,"06",139,1,"latino","inc death"
2020-10-31,"06",0,3,"other","inc death"
2020-10-31,"06",30,0,"asian","inc death"
2020-10-31,"06",13,0,"black","inc death"
2020-10-31,"06",106,0,"white","inc death"
2020-11-07,"06",152,2,"latino","inc death"
2020-11-07,"06",0,3,"other","inc death"
2020-11-07,"06",34,0,"asian","inc death"
2020-11-07,"06",16,0,"black","inc death"
2020-11-07,"06",109,1,"white","inc death"
2020-11-14,"06",187,1,"latino","inc death"
2020-11-14,"06",0,3,"other","inc death"
2020-11-14,"06",41,0,"asian","inc death"
2020-11-14,"06",23,0,"black","inc death"
2020-11-14,"06",154,0,"white","inc death"
2020-01-04,"37",0,0,"other","inc death"
2020-01-04,"37",0,0,"asian","inc death"
2020-01-04,"37",0,0,"black","inc death"
2020-01-04,"37",0,0,"white","inc death"
2020-01-11,"37",0,0,"other","inc death"
