"location","region","month","year","race_ethnicity","value","serology_type"
"06","southern",1,2021,"black","0.11","combined"
"06","southern",1,2021,"overall","0.189","combined"
"06","southern",2,2021,"white","0.285","combined"
"06","southern",2,2021,"latino","0.4","combined"
"06","southern",2,2021,"asian","0.353","combined"
"06","southern",2,2021,"other","0.264","combined"
"06","southern",2,2021,"black","0.296","combined"
"06","southern",2,2021,"overall","0.345","combined"
"06","southern",3,2021,"white","0.477","combined"
"06","southern",3,2021,"latino","0.581","combined"
"06","southern",3,2021,"asian","0.456","combined"
"06","southern",3,2021,"other","0.42","combined"
"06","southern",3,2021,"black","0.471","combined"
"06","southern",3,2021,"overall","0.517","combined"
"06","southern",4,2021,"white","0.751","combined"
"06","southern",4,2021,"latino","0.731","combined"
"06","southern",4,2021,"asian","0.773","combined"
"06","southern",4,2021,"other","0.706","combined"
"06","southern",4,2021,"black","0.677","combined"
"06","southern",4,2021,"overall","0.74","combined"
"37","central_western",7,2020,"white","0.012","combined"
"37","central_western",7,2020,"latino","0.035","combined"
"37","central_western",7,2020,"asian","0","combined"
"37","central_western",7,2020,"other","0.007","combined"
"37","central_western",7,2020,"black","0.013","combined"
"37","central_western ",7,2020,"overall","0.014","combined"
"37","central_western",8,2020,"white","0.019","combined"
"37","central_western",8,2020,"latino","0.1","combined"
"37","central_western",8,2020,"asian","0.075","combined"
"37","central_western",8,2020,"other","0.031","combined"
"37","central_western",8,2020,"black","0.032","combined"
"37","central_western ",8,2020,"overall","0.031","combined"
"37","central_western",9,2020,"white","0.028","combined"
"37","central_western",9,2020,"latino","0.097","combined"
"37","central_western",9,2020,"asian","na","combined"
"37","central_western",9,2020,"other","0.062","combined"
"37","central_western",9,2020,"black","0.016","combined"
"37","central_western ",9,2020,"overall","0.035","combined"
"37","central_western",10,2020,"white","0.033","combined"
"37","central_western",10,2020,"latino","0.074","combined"
"37","central_western",10,2020,"asian","0.038","combined"
"37","central_western",10,2020,"other","0.023","combined"
"37","central_western",10,2020,"black","0.049","combined"
"37","central_western ",10,2020,"overall","0.04","combined"
"37","central_western",11,2020,"white","0.059","combined"
"37","central_western",11,2020,"latino","0.068","combined"
"37","central_western",11,2020,"asian","na","combined"
"37","central_western",11,2020,"other","0.122","combined"
"37","central_western",11,2020,"black","0.097","combined"
"37","central_western ",11,2020,"overall","0.067","combined"
"37","central_western",12,2020,"white","0.075","combined"
"37","central_western",12,2020,"latino","0.114","combined"
"37","central_western",12,2020,"asian","0.042","combined"
"37","central_western",12,2020,"other","0.125","combined"
"37","central_western",12,2020,"black","0.093","combined"
"37","central_western ",12,2020,"overall","0.083","combined"
"37","central_western",1,2021,"white","0.168","combined"
"37","central_western",1,2021,"latino","0.171","combined"
"37","central_western",1,2021,"asian","0.184","combined"
"37","central_western",1,2021,"other","na","combined"
"37","central_western",1,2021,"black","0.142","combined"
"37","central_western ",1,2021,"overall","0.165","combined"
"37","central_western",2,2021,"white","0.339","combined"
"37","central_western",2,2021,"latino","0.396","combined"
"37","central_western",2,2021,"asian","0.278","combined"
"37","central_western",2,2021,"other","0.224","combined"
"37","central_western",2,2021,"black","0.35","combined"
"37","central_western ",2,2021,"overall","0.341","combined"
"37","central_western",3,2021,"white","0.52","combined"
"37","central_western",3,2021,"latino","0.45","combined"
"37","central_western",3,2021,"asian","0.411","combined"
"37","central_western",3,2021,"other","na","combined"
"37","central_western",3,2021,"black","0.497","combined"
"37","central_western ",3,2021,"overall","0.5","combined"
"37","central_western",4,2021,"white","0.771","combined"
"37","central_western",4,2021,"latino","0.778","combined"
"37","central_western",4,2021,"asian","na","combined"
"37","central_western",4,2021,"other","0.762","combined"
"37","central_western",4,2021,"black","0.735","combined"
"37","central_western ",4,2021,"overall","0.763","combined"
"06","bay_area",7,2020,"white","0.01","infection"
"06","bay_area",7,2020,"latino","0.009","infection"
"06","bay_area",7,2020,"asian","0.005","infection"
"06","bay_area",7,2020,"overall","0.008","infection"
"06","bay_area",8,2020,"white","0.013","infection"
"06","bay_area",8,2020,"latino","0.036","infection"
"06","bay_area",8,2020,"asian","0.004","infection"
"06","bay_area",8,2020,"overall","0.017","infection"
"06","bay_area",9,2020,"white","0.009","infection"
"06","bay_area",9,2020,"latino","0.04","infection"
"06","bay_area",9,2020,"asian","0.003","infection"
"06","bay_area",9,2020,"overall","0.014","infection"
"06","bay_area",10,2020,"white","0.013","infection"
"06","bay_area",10,2020,"latino","0.046","infection"
"06","bay_area",10,2020,"asian","0","infection"
"06","bay_area",10,2020,"overall","0.017","infection"
"06","bay_area",11,2020,"white","0.021","infection"
"06","bay_area",11,2020,"latino","0.03","infection"
"06","bay_area",11,2020,"asian","0.02","infection"
"06","bay_area",11,2020,"overall","0.026","infection"
"06","bay_area",12,2020,"white","0.025","infection"
"06","bay_area",12,2020,"latino","0.042","infection"
"06","bay_area",12,2020,"asian","0.009","infection"
"06","bay_area",12,2020,"overall","0.026","infection"
"06","bay_area",1,2021,"white","0.034","infection"
"06","bay_area",1,2021,"latino","0.046","infection"
"06","bay_area",1,2021,"asian","0.04","infection"
"06","bay_area",1,2021,"overall","0.043","infection"
"06","bay_area",2,2021,"white","0.05","infection"
"06","bay_area",2,2021,"latino","0.148","infection"
"06","bay_area",2,2021,"asian","0.041","infection"
"06","bay_area",2,2021,"overall","0.072","infection"
"06","bay_area",3,2021,"white","0.065","infection"
"06","bay_area",3,2021,"latino","0.145","infection"
"06","bay_area",3,2021,"asian","0.049","infection"
"06","bay_area",3,2021,"overall","0.079","infection"
"06","bay_area",4,2021,"white","0.072","infection"
"06","bay_area",4,2021,"latino","0.151","infection"
"06","bay_area",4,2021,"asian","0.057","infection"
"06","bay_area",4,2021,"overall","0.09","infection"
"06","sacramento",7,2020,"white","0.006","infection"
"06","sacramento",7,2020,"latino","0","infection"
"06","sacramento",7,2020,"asian","0.021","infection"
"06","sacramento",7,2020,"other","0","infection"
"06","sacramento",7,2020,"overall","0.006","infection"
"06","sacramento",8,2020,"white","0.011","infection"
"06","sacramento",8,2020,"latino","0.039","infection"
"06","sacramento",8,2020,"asian","0","infection"
"06","sacramento",8,2020,"other","na","infection"
"06","sacramento",8,2020,"overall","0.015","infection"
"06","sacramento",9,2020,"white","0.017","infection"
"06","sacramento",9,2020,"latino","0.029","infection"
"06","sacramento",9,2020,"asian","0.008","infection"
"06","sacramento",9,2020,"other","na","infection"
"06","sacramento",9,2020,"overall","0.02","infection"
"06","sacramento",10,2020,"white","0.032","infection"
"06","sacramento",10,2020,"latino","0.048","infection"
"06","sacramento",10,2020,"asian","0.011","infection"
"06","sacramento",10,2020,"other","0.02","infection"
"06","sacramento",10,2020,"overall","0.033","infection"
"06","sacramento",11,2020,"white","0.023","infection"
"06","sacramento",11,2020,"latino","0.047","infection"
"06","sacramento",11,2020,"asian","0","infection"
"06","sacramento",11,2020,"other","na","infection"
"06","sacramento",11,2020,"overall","0.024","infection"
"06","sacramento",12,2020,"white","0.034","infection"
"06","sacramento",12,2020,"latino","0.084","infection"
"06","sacramento",12,2020,"asian","0.077","infection"
"06","sacramento",12,2020,"other","0.059","infection"
"06","sacramento",12,2020,"overall","0.051","infection"
"06","sacramento",1,2021,"white","0.077","infection"
"06","sacramento",1,2021,"latino","0.165","infection"
"06","sacramento",1,2021,"asian","0.083","infection"
"06","sacramento",1,2021,"other","na","infection"
"06","sacramento",1,2021,"overall","0.096","infection"
"06","sacramento",2,2021,"white","0.118","infection"
"06","sacramento",2,2021,"latino","0.194","infection"
"06","sacramento",2,2021,"asian","0.077","infection"
"06","sacramento",2,2021,"other","na","infection"
"06","sacramento",2,2021,"overall","0.131","infection"
"06","sacramento",3,2021,"white","0.119","infection"
"06","sacramento",3,2021,"latino","0.191","infection"
"06","sacramento",3,2021,"asian","0.112","infection"
"06","sacramento",3,2021,"other","na","infection"
"06","sacramento",3,2021,"overall","0.129","infection"
"06","sacramento",4,2021,"white","0.11","infection"
"06","sacramento",4,2021,"latino","0.264","infection"
"06","sacramento",4,2021,"asian","0.159","infection"
"06","sacramento",4,2021,"other","na","infection"
"06","sacramento",4,2021,"overall","0.149","infection"
"06","southern",7,2020,"white","0.014","infection"
"06","southern",7,2020,"latino","0.029","infection"
"06","southern",7,2020,"asian","0.022","infection"
"06","southern",7,2020,"other","0.027","infection"
"06","southern",7,2020,"black","0.036","infection"
"06","southern",7,2020,"overall","0.023","infection"
"06","southern",8,2020,"white","0.02","infection"
"06","southern",8,2020,"latino","0.069","infection"
"06","southern",8,2020,"asian","0.039","infection"
"06","southern",8,2020,"other","0.036","infection"
"06","southern",8,2020,"black","0.03","infection"
"06","southern",8,2020,"overall","0.044","infection"
"06","southern",9,2020,"white","0.022","infection"
"06","southern",9,2020,"latino","0.071","infection"
"06","southern",9,2020,"asian","0.009","infection"
"06","southern",9,2020,"other","0.008","infection"
"06","southern",9,2020,"black","0","infection"
"06","southern",9,2020,"overall","0.039","infection"
"06","southern",10,2020,"white","0.017","infection"
"06","southern",10,2020,"latino","0.072","infection"
"06","southern",10,2020,"asian","0.016","infection"
"06","southern",10,2020,"other","0.04","infection"
"06","southern",10,2020,"black","0.062","infection"
"06","southern",10,2020,"overall","0.043","infection"
"06","southern",11,2020,"white","0.034","infection"
"06","southern",11,2020,"latino","0.097","infection"
"06","southern",11,2020,"asian","0.023","infection"
"06","southern",11,2020,"other","0.062","infection"
"06","southern",11,2020,"black","0.039","infection"
"06","southern",11,2020,"overall","0.06","infection"
"06","southern",12,2020,"white","0.037","infection"
"06","southern",12,2020,"latino","0.118","infection"
"06","southern",12,2020,"asian","0.045","infection"
"06","southern",12,2020,"other","0.056","infection"
"06","southern",12,2020,"black","0.094","infection"
"06","southern",12,2020,"overall","0.076","infection"
"06","southern",1,2021,"white","0.096","infection"
"06","southern",1,2021,"latino","0.26","infection"
"06","southern",1,2021,"asian","0.083","infection"
"06","southern",1,2021,"other","0.088","infection"
"06","southern",1,2021,"black","0.07","infection"
"06","southern",1,2021,"overall","0.161","infection"
"06","southern",2,2021,"white","0.118","infection"
"06","southern",2,2021,"latino","0.279","infection"
"06","southern",2,2021,"asian","0.125","infection"
"06","southern",2,2021,"other","0.163","infection"
"06","southern",2,2021,"black","0.231","infection"
"06","southern",2,2021,"overall","0.194","infection"
"06","southern",3,2021,"white","0.121","infection"
"06","southern",3,2021,"latino","0.339","infection"
"06","southern",3,2021,"asian","0.128","infection"
"06","southern",3,2021,"other","0.181","infection"
"06","southern",3,2021,"black","0.144","infection"
"06","southern",3,2021,"overall","0.219","infection"
"06","southern",4,2021,"white","0.121","infection"
"06","southern",4,2021,"latino","0.318","infection"
"06","southern",4,2021,"asian","0.103","infection"
"06","southern",4,2021,"other","0.182","infection"
"06","southern",4,2021,"black","0.124","infection"
"06","southern",4,2021,"overall","0.202","infection"
"37","central_western",7,2020,"white","0.012","infection"
"37","central_western",7,2020,"latino","0.035","infection"
"37","central_western",7,2020,"asian","0","infection"
"37","central_western",7,2020,"other","0.007","infection"
"37","central_western",7,2020,"black","0.013","infection"
"37","central_western ",7,2020,"overall","0.014","infection"
"37","central_western",8,2020,"white","0.017","infection"
"37","central_western",8,2020,"latino","0.1","infection"
"37","central_western",8,2020,"asian","0.075","infection"
"37","central_western",8,2020,"other","0.031","infection"
"37","central_western",8,2020,"black","0.032","infection"
"37","central_western ",8,2020,"overall","0.029","infection"
"37","central_western",9,2020,"white","0.026","infection"
"37","central_western",9,2020,"latino","0.084","infection"
"37","central_western",9,2020,"asian","na","infection"
"37","central_western",9,2020,"other","0.054","infection"
"37","central_western",9,2020,"black","0.008","infection"
"37","central_western ",9,2020,"overall","0.03","infection"
"37","central_western",10,2020,"white","0.032","infection"
"37","central_western",10,2020,"latino","0.074","infection"
"37","central_western",10,2020,"asian","0.038","infection"
"37","central_western",10,2020,"other","0.023","infection"
"37","central_western",10,2020,"black","0.043","infection"
"37","central_western ",10,2020,"overall","0.038","infection"
"37","central_western",11,2020,"white","0.056","infection"
"37","central_western",11,2020,"latino","0.068","infection"
"37","central_western",11,2020,"asian","na","infection"
"37","central_western",11,2020,"other","0.122","infection"
"37","central_western",11,2020,"black","0.097","infection"
"37","central_western ",11,2020,"overall","0.065","infection"
"37","central_western",12,2020,"white","0.073","infection"
"37","central_western",12,2020,"latino","0.114","infection"
"37","central_western",12,2020,"asian","0.042","infection"
"37","central_western",12,2020,"other","0.125","infection"
"37","central_western",12,2020,"black","0.093","infection"
"37","central_western ",12,2020,"overall","0.081","infection"
"37","central_western",1,2021,"white","0.13","infection"
"37","central_western",1,2021,"latino","0.16","infection"
"37","central_western",1,2021,"asian","0.094","infection"
"37","central_western",1,2021,"other","na","infection"
"37","central_western",1,2021,"black","0.128","infection"
"37","central_western ",1,2021,"overall","0.13","infection"
"37","central_western",2,2021,"white","0.14","infection"
"37","central_western",2,2021,"latino","0.245","infection"
"37","central_western",2,2021,"asian","0.131","infection"
"37","central_western",2,2021,"other","0.118","infection"
"37","central_western",2,2021,"black","0.222","infection"
"37","central_western ",2,2021,"overall","0.164","infection"
"37","central_western",3,2021,"white","0.166","infection"
"37","central_western",3,2021,"latino","0.303","infection"
"37","central_western",3,2021,"asian","0.095","infection"
"37","central_western",3,2021,"other","na","infection"
"37","central_western",3,2021,"black","0.164","infection"
"37","central_western ",3,2021,"overall","0.18","infection"
"37","central_western",4,2021,"white","0.179","infection"
"37","central_western",4,2021,"latino","0.333","infection"
"37","central_western",4,2021,"asian","na","infection"
"37","central_western",4,2021,"other","0.336","infection"
"37","central_western",4,2021,"black","0.21","infection"
"37","central_western ",4,2021,"overall","0.2","infection"
