place,week_ahead,quantile,value
Utah,1,0.025,8165.4950932276
Utah,1,0.1,8414.33685059899
Utah,1,0.25,9526.39016774017
Utah,1,0.5,10611.5141654449
Utah,1,0.75,11546.9465612347
Utah,1,0.9,13072.1691602897
Utah,1,0.975,14631.2658652862
Utah,2,point,10594.9447800251
Utah,2,0.025,6492.46795440733
Utah,2,0.1,7032.1340617921
Utah,2,0.25,8731.1838542503
Utah,2,0.5,10400.3943259385
Utah,2,0.75,11954.3554053876
Utah,2,0.9,14457.8809709808
Utah,2,0.975,17123.8280691182
Utah,3,point,10464.4155881576
Utah,3,0.025,5046.70328571415
Utah,3,0.1,5720.01018879896
Utah,3,0.25,7870.8158047162
Utah,3,0.5,10108.5445736256
Utah,3,0.75,12343.1306759648
Utah,3,0.9,15800.8528127418
Utah,3,0.975,19479.0126105647
Utah,4,point,10394.7806539794
Utah,4,0.025,3894.44730751263
Utah,4,0.1,4589.62799757157
Utah,4,0.25,7028.35862013279
Utah,4,0.5,9797.46094830372
Utah,4,0.75,12720.6491130591
Utah,4,0.9,17216.7637647482
Utah,4,0.975,22273.331226992
Utah,5,point,10298.7451051482
Utah,5,0.025,3008.28288948012
Utah,5,0.1,3726.05742770338
Utah,5,0.25,6330.06576499547
Utah,5,0.5,9486.67017041718
Utah,5,0.75,13024.8947118978
Utah,5,0.9,18289.8282636895
Utah,5,0.975,24204.0044397467
Utah,6,point,10261.5750193552
Utah,6,0.025,2351.17117474508
Utah,6,0.1,3011.71443957622
Utah,6,0.25,5707.78056148789
Utah,6,0.5,9220.8445119642
Utah,6,0.75,13418.6624542533
Utah,6,0.9,19362.8583711071
Utah,6,0.975,25855.5140821968
Utah,7,point,10201.7861412479
Utah,7,0.025,1856.66424703586
Utah,7,0.1,2477.36858138789
Utah,7,0.25,5202.42338734405
Utah,7,0.5,8970.26137026939
Utah,7,0.75,13749.4228685843
Utah,7,0.9,20160.5386529467
Utah,7,0.975,26829.3580620299
Oregon,1,point,5835.38603955599
Oregon,1,0.025,5176.0389789269
Oregon,1,0.1,5305.33486935009
Oregon,1,0.25,5579.06080095665
Oregon,1,0.5,5818.70343880026
Oregon,1,0.75,6003.10279271611
Oregon,1,0.9,6384.4177598695
Oregon,1,0.975,6878.54903185723
